list_fasil_id,hotel_id
2,832
4,832
5,832
6,832
7,832
9,832
4,833
5,833
6,833
7,833
9,833
11,833
2,834
4,834
5,834
7,834
9,834
2,835
4,835
5,835
7,835
9,835
2,836
4,836
7,836
9,836
2,837
4,837
5,837
7,837
9,837
2,838
4,838
5,838
7,838
9,838
12,838
2,839
4,839
5,839
7,839
9,839
1,840
2,840
4,840
5,840
6,840
7,840
9,840
12,840
1,841
2,841
4,841
5,841
7,841
9,841
2,843
4,843
5,843
7,843
9,843
4,844
5,844
7,844
9,844
4,845
5,845
7,845
9,845
4,846
5,846
7,846
9,846
2,847
4,847
5,847
6,847
7,847
9,847
11,847
4,848
5,848
7,848
9,848
2,849
4,849
5,849
7,849
9,849
2,850
4,850
5,850
7,850
9,850
2,851
4,851
5,851
7,851
9,851
2,852
4,852
5,852
7,852
9,852
2,853
4,853
5,853
7,853
9,853
2,854
4,854
5,854
7,854
9,854
2,855
4,855
5,855
6,855
7,855
9,855
12,855
2,856
4,856
5,856
6,856
7,856
9,856
4,857
5,857
6,857
9,857
4,858
5,858
7,858
9,858
2,859
4,859
5,859
7,859
9,859
2,860
4,860
5,860
7,860
9,860
2,861
3,861
4,861
5,861
6,861
7,861
11,861
2,862
4,862
5,862
7,862
9,862
4,864
5,864
7,864
9,864
2,865
4,865
5,865
6,865
7,865
9,865
4,866
5,866
7,866
9,866
1,867
2,867
5,867
7,867
2,868
3,868
4,868
5,868
6,868
7,868
8,868
9,868
10,868
11,868
12,868
2,869
4,869
5,869
6,869
7,869
8,869
9,869
11,869
12,869
2,870
4,870
5,870
6,870
7,870
8,870
9,870
12,870
2,871
4,871
5,871
6,871
7,871
8,871
9,871
11,871
12,871
2,872
4,872
5,872
6,872
7,872
9,872
11,872
2,873
4,873
5,873
6,873
7,873
8,873
9,873
11,873
2,874
4,874
5,874
6,874
7,874
8,874
12,874
2,875
4,875
5,875
9,875
2,876
4,876
5,876
9,876
2,877
4,877
5,877
6,877
7,877
9,877
11,877
12,877
2,878
4,878
5,878
6,878
7,878
8,878
9,878
2,879
4,879
5,879
7,879
9,879
4,880
5,880
6,880
9,880
2,881
4,881
5,881
7,881
9,881
1,882
