list_fasil_id,hotel_id
4,627
5,627
6,627
7,627
9,627
2,628
4,628
5,628
7,628
9,628
11,628
2,629
4,629
5,629
7,629
9,629
2,630
4,630
5,630
7,630
9,630
2,631
4,631
5,631
6,631
9,631
11,631
2,632
4,632
5,632
6,632
7,632
9,632
12,632
2,633
4,633
5,633
6,633
7,633
9,633
4,634
5,634
7,634
9,634
2,635
4,635
5,635
7,635
9,635
11,635
2,636
4,636
5,636
6,636
7,636
8,636
9,636
11,636
12,636
2,637
4,637
5,637
6,637
7,637
11,637
2,638
4,638
5,638
7,638
9,638
2,639
4,639
5,639
6,639
7,639
9,639
4,640
5,640
7,640
9,640
2,641
4,641
5,641
7,641
9,641
4,642
5,642
6,642
7,642
9,642
11,642
12,642
2,643
4,643
5,643
7,643
9,643
2,644
4,644
5,644
9,644
11,644
2,645
4,645
5,645
6,645
7,645
9,645
11,645
2,646
4,646
7,646
9,646
2,647
4,647
5,647
9,647
4,648
5,648
6,648
7,648
9,648
11,648
2,649
4,649
5,649
9,649
4,650
5,650
7,650
2,651
3,651
4,651
5,651
6,651
7,651
9,651
12,651
2,652
4,652
5,652
9,652
2,653
4,653
5,653
9,653
2,654
4,654
5,654
7,654
9,654
2,655
4,655
5,655
6,655
7,655
9,655
2,656
4,656
5,656
7,656
9,656
11,656
4,657
5,657
9,657
4,658
5,658
9,658
11,658
2,659
4,659
5,659
6,659
7,659
9,659
2,660
4,660
5,660
6,660
7,660
9,660
2,661
3,661
4,661
5,661
6,661
9,661
2,662
4,662
5,662
6,662
7,662
11,662
12,662
2,663
4,663
5,663
6,663
7,663
9,663
11,663
4,664
5,664
6,664
7,664
9,664
2,665
4,665
5,665
9,665
4,666
5,666
4,667
5,667
6,667
7,667
11,667
2,668
4,668
5,668
7,668
9,668
4,669
5,669
7,669
9,669
11,669
4,670
7,670
9,670
4,671
5,671
6,671
7,671
9,671
11,671
4,672
5,672
6,672
7,672
9,672
11,672
2,673
4,673
5,673
7,673
9,673
5,674
6,674
7,674
11,674
4,675
5,675
9,675
2,676
4,676
5,676
7,676
9,676
4,677
5,677
7,677
9,677
4,678
5,678
9,678
2,679
4,679
5,679
7,679
9,679
11,679
4,680
5,680
7,680
9,680
4,681
5,681
9,681
11,681
1,682
2,682
4,682
5,682
7,682
9,682
2,683
4,683
5,683
6,683
7,683
11,683
1,684
2,684
4,684
5,684
7,684
4,685
5,685
6,685
9,685
11,685
12,685
1,686
2,686
4,686
5,686
6,686
7,686
8,686
9,686
12,686
2,687
3,687
4,687
5,687
6,687
7,687
8,687
9,687
11,687
12,687
2,688
4,688
5,688
6,688
7,688
8,688
9,688
12,688
2,689
4,689
5,689
6,689
7,689
8,689
9,689
11,689
12,689
2,690
4,690
5,690
6,690
7,690
8,690
9,690
11,690
12,690
2,691
4,691
5,691
6,691
11,691
1,692
2,692
3,692
4,692
5,692
6,692
7,692
8,692
9,692
11,692
12,692
2,693
4,693
5,693
6,693
7,693
8,693
9,693
11,693
12,693
2,694
4,694
5,694
6,694
7,694
9,694
11,694
2,695
4,695
5,695
6,695
7,695
9,695
11,695
3,696
4,696
5,696
6,696
7,696
9,696
12,696
1,697
2,697
4,697
5,697
6,697
7,697
9,697
12,697
2,698
4,698
5,698
7,698
9,698
2,699
4,699
5,699
6,699
7,699
9,699
11,699
1,700
2,700
3,700
4,700
5,700
6,700
7,700
8,700
9,700
11,700
12,700
2,701
4,701
5,701
6,701
7,701
9,701
12,701
4,702
5,702
7,702
9,702
4,703
5,703
9,703
4,704
5,704
7,704
9,704
2,705
4,705
5,705
6,705
9,705
12,705
2,706
4,706
5,706
9,706
2,707
4,707
5,707
7,707
9,707
11,707
2,708
4,708
9,708
2,709
4,709
5,709
6,709
7,709
8,709
9,709
12,709
4,710
5,710
6,710
7,710
9,710
11,710
12,710
2,711
4,711
5,711
6,711
8,711
9,711
11,711
12,711
2,712
4,712
5,712
6,712
9,712
11,712
1,713
2,713
3,713
4,713
5,713
6,713
7,713
9,713
11,713
2,714
4,714
5,714
6,714
7,714
9,714
1,715
2,715
3,715
4,715
5,715
6,715
