,Hotel Image,Hotel Name,Tipe Properti,City,Address,Hotel Rating,Min,Max,Lattitute,Longitude
1801,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/ad8e1039-2548-4a22-8364-bb803e9be602-1615538127155-a860653dbf4b6475ae4d1b38582b2968.jpg,Green Leaf Inn,Hotel,Pontianak Selatan Pontianak,Jalan Gajahmada No. 65. Benua Melayu Darat. Kecamatan Pontianak Selatan. Benua Melayu Darat. Pontianak Sel.. Kota Pontianak. Kalimantan Barat 78243,3.7,220000,319000,-0.031401,109.339754
1802,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/84458e01-0fe0-492a-8d48-2ca6e1fc68c9-1603881929925-7c45fa3f40da4e88e03be813e875802f.jpg,ASTON Ketapang City Hotel,Hotel,Kec. Matan Hilir Utara Ketapang,Jl. R. Suprapto 68A,4.0,258324,788000,-1.83469,109.96499
1803,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/12/29/8890dbb0-e562-49c3-851e-8154dbd44613-1609228244774-840630d1d5afecf1dbf589f07a02d86b.jpg,Favehotel Ketapang,Hotel,Kec. Matan Hilir Utara Ketapang,Jl. Gatot Subroto. Payah Kumang. Delta Pawan. Kabupaten Ketapang. Kalimantan Barat 78811. Indonesia,4.3,319725,402101,-1.825183,109.97021
1804,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/29/e54026f8-8a34-456e-893d-9b901317c9e3-1603930144412-0b1db7cc2864c46a24aa193ad6541805.jpg,My Home Hotel Pontianak,Hotel,Pontianak Selatan Pontianak,Jl. WR Supratman No.33. Benua Melayu Darat. Pontianak Sel.. Kota Pontianak. Kalimantan Barat 78243. Indonesia,3.4,320000,444000,-0.0369414,109.3408205
1805,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/02/02/8df54d51-cd6c-4fc7-bdb9-78983d605a38-1643788517611-8b7b1aa1fa2d2b1417f2d026fd802e66.jpg,Urbanview Hotel Bagoes Sintang,Guest House,Kec. Sintang Sintang,Jl. Dharma Putra No.16. Ladang. Kec. Sintang. Kabupaten Sintang. Kalimantan Barat 78612. Indonesia,3.9,130662,317520,0.06138,111.491448
1806,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/31/9d402ba2-1f3e-43d1-8851-f424a309813a-1617136508542-b027d230e037a7c02244ede9e8f7efed.jpg,HOTEL REPPO,Hotel,Bengkayang Bengkayang,JL. BASUKI RAHMAT NO 32 BENGKAYANG,2.6,400000,400000,0.816504,109.49009
1807,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/706bbe71-b23c-4dea-beb2-ccb1390ea362-1615518315957-0e7e682427d22a5f265456a7be137ec1.jpg,Best Home,Hotel,Pontianak Tenggara Pontianak,Jl. Adisucipto 208 Pontianak,4.0,277109,277109,-0.051661,109.359672
1808,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/02/02/eb457c5e-8562-4e97-8c9d-c6e8618439ff-1643786722023-190ab8acd9182036e852790c85e4fd0e.jpg,Urbanview Hotel Syariah Dapen Pontianak,Hotel,Pontianak Selatan Pontianak,Jalan Budi Karya No. 9. Benua Melayu Darat. Kecamatan Pontianak Selatan,4.2,259107,267120,-0.044242,109.346108
1809,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/06/29/394fd41a-4c48-4e1e-a30d-94ad7a3817d1-1624938319944-393808e37198361d8a7fa8eb139e2ad0.jpg,Ladja Hotel,Hotel,Kec. Sintang Sintang,Jalan YC Oevang Oeray No.33. Baning Kota. Sintang. Kalimantan Barat,4.5,352000,1100000,0.061012,111.496346
1810,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/11/16/6e04b1e1-c6c3-46f5-88bc-d1b9fcdbfe5d-1637040328679-b8a567d9231eeb8f09f157322b0899b1.jpg,Homy Inn & Cafe,Guest House,Kec. Matan Hilir Utara Ketapang,Jl. R. Suprapto (Depan Aston. Samping Yamaha) Ketapang - Kalimantan Barat,4.4,216000,216000,-1.835227,109.966668
1811,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/bb6db456-c16f-4d6a-9c95-416091c57720-1615540525105-9d190455572aa00295018e49a433d564.jpg,KoolKost Syariah near Ayani Mega Mall Pontianak,Guest House,Pontianak Selatan Pontianak,Jl. Tanjung Harapan. Benua Melayu Darat. Pontianak Tenggara. Kota Pontianak. Kalimantan Barat tanjung harapan. 78113 Pontianak,3.4,264560,265740,-0.050308,109.346524
1812,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/58654587-398a-49c1-b6f5-67ba961b25ab-1615559303286-180713deb2dd6199286e518bd3c7b86e.jpg,Mahkota Kayong Hotel Sukadana,Hotel,Kec. Sukadana Kayong Utara,Jalan Irama Laut Sukadana. Pangkalan Buton. Kayong Utara. Kabupaten Kayong Utara. Kalimantan Barat 78852,3.8,369050,480000,-1.241523,109.948065
1813,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/18/e6610430-6ff5-4cf3-975c-0d4c5693abb0-1616067967848-5f017325ef19046783704e4e4a1cc12e.jpg,RedDoorz near Gajah Mada Pontianak,Hotel,Pontianak Selatan Pontianak,Jl Budi Karya Komplek Ruko. Villa Gama no D 22-24 Pontianak gajah mada. Pontianak. Indonesia,3.6,379890,427001,-0.042844,109.34549
1814,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/e7a005bf-6869-4a2f-8a75-a215d22d0061-1604124823165-adf55e889a09333916c6fc3954512eda.jpg,Hotel Kalbar,Hotel,Pasiran Singkawang,Jalan Kepol Mahmud No.1. Melayu. Singkawang Bar.. Kota Singkawang. Kalimantan Barat 79123,3.5,240000,280000,0.908107,108.987827
1815,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/04/28/482660b1-f083-4e86-b7db-26169db98806-1651142121931-92c9e033aafb6ec72d1dee0e8b6f2336.jpg,Hotel Lima Bintang,Hotel,Kec. Belimbing Melawi,MP47+R6. Sidomulyo. Nanga Pinoh. Melawi Regency. West Kalimantan,3.9,219568,332000,-0.342916,111.713067
1816,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/12/17/0a8665f7-95ce-4ef8-a68a-e09bd5f6baff-1639712122497-af9ff35b204d2831925e7176f2f308db.jpg,RedDoorz near Supadio Airport Pontianak,Hotel,Kubu Raya,Jl. Arteri Supadio No.2. Tlk. Kapuas. Kec. Sungai Raya. Kabupaten Kubu Raya. Kalimantan Barat 78391. Indonesia,2.9,150545,278208,-0.123378,109.399792
