,Hotel Image,Hotel Name,Tipe Properti,City,Address,Hotel Rating,Min,Max,Lattitute,Longitude
1983,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/33db59ed-b0cc-4bb3-9a03-ea7554d0279f-1615544156064-7f48c90dda2781729f42ff80321324f8.jpg,RedDoorz near Taman Kota Ternate,Guest House,Ternate Selatan Ternate,Jalan Sweering Mangga Dua. Mangga Dua. Ternate Sel.. Kota Ternate. Maluku Utara. Indonesia,4.1,205960,205960,0.771774,127.376871
1984,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/12/06/c6dc7b0f-e68a-4089-bc0a-a7c80b18e38b-1638786922525-4e6d66b3249b479f9ae87a80cf545617.jpg,RedDoorz Plus @ Grand Tabona Hotel Ternate,Hotel,Ternate Selatan Ternate,Jl. Tugu Maku Gawene. Kayu Merah. Ternate Sel.. Kota Ternate. Maluku Utara 97711. Indonesia,4.3,190242,336427,0.768056,127.366644
1985,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/01/19/f4860ec2-52d1-4f73-9a57-f15f87839792-1611021082352-4c128180535c3809a53c71f8d82afce0.jpg,Ternate City Hotel,Hotel,Ternate Tengah Ternate,Jalan Nuku No 1 Ternate. Ternate Tengah. Ternate. Maluku Utara. Indonesia,3.4,274725,544455,0.783139,127.388091
1986,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/4d41dbfe-4352-4a8b-9d3b-0c8813c1c971-1604129898295-efbd590912b3346afc55d52aba2b0aa6.jpg,Archie Hotel 2,Hotel,Ternate Tengah Ternate,Jl. Sultan Nuku No.6. Muhajirin. Ternate Tengah. Kota Ternate. Maluku Utara. Indonesia,3.8,298951,298951,0.783639,127.38663
1987,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/bbb03901-b844-434c-ac23-d25c67e53152-1603882806602-5bf1979e266387515b8d09cdc70aec34.jpg,Dragon Palace Hotel by Amazing,Hotel,Ternate Utara Ternate,Jalan Pemuda No. 144 A Koloncucu. Toboleu. Ternate. Kota Ternate. Maluku Utara 97726. Indonesia,4.3,388125,644000,0.808888,127.385114
1988,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/d0049f8d-2389-488e-9264-e8181e64a0cf-1604138806064-e3ee60228ec75b2e0745085f9cfeb9b8.jpg,Aini Homestay Ternate,Hotel,Ternate Utara Ternate,Jl. Toboleu Koloncucu Gipsy No. 45/703. Kelurahan. RT.16/RW.06. Toboleu. Ternate Utara. Kota Ternate. Maluku Utara,3.5,151999,338195,0.807052,127.384006
1989,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/18/9b9ea0fe-572f-4b1b-8403-a6c9380a916c-1616072143151-644e010551608dfb9190a3ab4f5a5adf.jpg,WISMA AIRA,Guest House,Ternate Utara Ternate,Jl. Sultan Khairun. Soa Sio. Ternate Utara. Kota Ternate. Maluku Utara. Indonesia,2.6,225000,225000,0.799408,127.384515
1990,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/12/24/e88f29e1-290c-4d8d-b3f5-14fcb9bfab1c-1640347245559-cc772d7f04a2856ce166fb05d3b9e266.jpg,Tiara Inn,Hotel,Ternate Tengah Ternate,Jl. Salim Fabanyo No. 1,3.0,325000,375000,0.7855499982833862,127.38672637939453
1991,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/05/17/4e847918-c6f0-492d-8ccd-17a1492c757d-1621186507992-479a7efdd0f69ec7d713375c151c7dd0.jpg,Hotel Nirwana Ternate RedPartner,Hotel,Ternate Tengah Ternate,Jl. Pahlawan Revolusi No.58-60 RT 002/04. Gamalama. Ternate Tengah. Kota Ternate. Maluku Utara 97721. Indonesia,1.7,213180,641088,0.787582,127.388682
1992,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/09/03/ca6b0b3a-42af-436a-aa46-6f334cfe0314-1662178273189-bf1a0fbc45b27de2c2032e4a7c66a94e.jpg,Muara Inn ternate,Inn,Ternate Tengah Ternate,Jln seruni no 88 Kampung Pisang. ternate tengah. Ternate,Belum ada rating,315957,355000,0.783469974994659,127.382606506348
1993,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/700d45fe-40a6-4f27-98ce-e8e89f52882a-1603891308565-a18eb92aa4da9cb8f4ad74ce9da11553.jpg,Everbright Hotel Ambon,Hotel,Sirimau Ambon,Cendrawasih Street No. 20,3.7,360458,495000,-3.690734,128.18678
