,Hotel Image,Hotel Name,Tipe Properti,City,Address,Hotel Rating,Min,Max,Lattitute,Longitude
627,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/01/e7402d9e-187f-4c0e-837c-d76f0174b865-1604174487628-689c96f4712171d94f807eedb6789187.jpg,Sacca Residence & Resto,Hotel,Pandawai Sumba Timur,Jl. S. Parman No.88. Tandarotu. Prailiu. Kota Waingapu. Kabupaten Sumba Timur. Nusa Tenggara Tim. 87113,3.7,212100,259466,-9.6637027,120.271478
628,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/06/25/e6c2d00b-427f-4603-9f78-4633936c2b5c-1656172525274-708ceeb1c19bf7e72885563dc8f82ae5.jpg,LOPE Homestay,Guest House,Waingapu Sumba Timur,Jl. Pulau Flores - Kambajawa - Waingapu - Sumba Timur,Belum ada rating,350000,350000,-9.667428,120.243919
629,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/04/11/949ccc6f-07db-4d59-ab59-87279dabbb91-1649655327799-f43bebef13f9a37df1b30e438ac24e82.jpg,RedDoorz @ Waikabubak Sumba,Hotel,Kota Waikabubak Sumba Barat,Jl. Ahmad Yani No.101. Wailiang. Kec. Kota Waikabubak. Kabupaten Sumba Barat. Nusa Tenggara Tim.. Indonesia,4.2,341223,428838,-9.636693,119.408415
630,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/03/21/97fe0329-aec4-495e-b4cd-11ddf1275748-1647834929969-e43784a7c8c4fa6d635c1bf1dd090e30.jpg,Shekinah Homestay & Cafe RedPartner,Hotel,Kota Waikabubak Sumba Barat,Gg. Teratai No.2. RT.11/RW.06. Kp. Sawah. Kec. Kota Waikabubak. Kabupaten Sumba Barat. Nusa Tenggara Tim. 84213. Indonesia,Belum ada rating,278460,278460,-9.635998,119.420231
631,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/ad196948-a618-4d87-91af-6b47bf54c86c-1615556123177-881d7496ba778dd2b2656ff9a1111526.jpg,Hotel Pasola,Hotel,Tambolaka Sumba Barat Daya,Jalan Soeharto. Radamata. Loura. Tambolaka. Sumba Barat Daya. Nusa Tenggara Timur,4.0,270000,325000,-9.412886,119.244397
632,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/ca748285-1e24-4042-adfa-ea754170552c-1615558990498-afc3c85101f37e50011c1a66cb3e1b1d.jpg,OYO 1682 Greenia Hotel,Hotel,Kupang Utara Kupang,Jl Hati Mulia V. RT 06A RW 002. Oebobo. Kota Kupang. Nusa Tenggara Tim. Kupang,3.6,72179,158289,-10.168242,123.600962
633,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/91529472-fad5-434b-adc4-2f39ff264b6f-1604133736718-53f51963f4d568d317f48d646b4b571a.jpg,OYO 967 Cajoma Guesthouse,Hotel,Komodo Manggarai Barat,Jl Pantai Pede Km 4. Gorontalo. Labuan Bajo. East Nusa Tenggara. Kabupaten Manggarai Barat,3.7,176665,517170,-8.521097,119.873289
634,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/08/09/3d31fad5-5fc8-4617-9ce6-a6267946b27f-1660064123590-ad0bc0f579fe5c61fe536e7af7ebc9b2.jpg,SPOT ON 91212 Hotel Kelimutu,Hotel,Kupang Utara Kupang,85229. Jl. Gn. Kelimutu No.38 RW.04. Merdeka. Kec. Kota Lama. Kota Kupang. Nusa Tenggara Tim. 85225. Indonesia. Kupang,1.2,50792,99000,-10.162735,123.583048
635,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/29/5c78734c-204c-4877-af9b-e0a7070f144d-1603925482450-70bbd50dcdc8c946a480e4311df2cbe9.jpg,CF Komodo Hotel,Hotel,Komodo Manggarai Barat,Jl. Alo Tanis. Labuan Bajo. Komodo. Labuan Bajo. Komodo. Kabupaten Manggarai Barat. Nusa Tenggara Tim.. Indonesia,3.2,323121,400001,-8.491549,119.881769
636,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/09/28/082fb6fb-4b00-4354-9acf-c5ac97a01755-1632764924865-694c1ff13c7d9368664dd1bb642a164f.jpg,Sylvia Hotel Budget,Hotel,Kota Raja Kupang,Naikoten I. Raja City. Kupang City. East Nusa Tenggara. Indonesia,3.7,333699,333699,-10.181155,123.600593
