,Hotel Image,Hotel Name,Tipe Properti,City,Address,Hotel Rating,Min,Max,Lattitute,Longitude
832,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/feb032b7-58b5-4043-9d8b-8ff7e19da956-1604144479023-41262191aa51d435741ffad391a78b47.jpg,Sunrise Hotel,Hotel,Kota Timur Gorontalo,Jl. Kasuari I No.50. Heledulaa Sel.. Kota Tim.. Kota Gorontalo. Gorontalo 96134. Indonesia,3.7,263157,263157,0.538075,123.063839
833,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/29/1d8c8d2f-54a9-487e-9525-3b4180735a4c-1603920060015-bc6624eeefc44f57ff1925410d991ea8.jpg,Wisma 88 Gorontalo,Guest House,Kota Timur Gorontalo,jalan sawah besar no 88,3.2,200001,249999,0.551447,123.064272
834,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/c69b01ab-d3ca-4d82-91ad-c56688796e87-1615563858790-2acc8112655460f2bfb334c307429125.jpg,The One Hotel Gorontalo RedPartner,Hotel,Sipatana Gorontalo,Jl. Tondano No.64. Bulotada Tim.. Kec. Sipatana. Kota Gorontalo. Gorontalo 96124. Indonesia,2.2,146277,258066,0.574667,123.059363
835,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/05/12/a34e8711-0807-447d-a921-c0ac77d44389-1652340318967-355a98569d08bcc98a0c16ca22f3313d.jpg,Julista House,Hotel,Tilamuta Boalemo,Modelomo. Tilamuta. Boalemo Regency. Gorontalo 96263. Indonesia,Belum ada rating,169537,237440,0.522371,122.346379
836,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/11/01/de78c7e9-40cf-4069-b9bb-be7d160acab7-1635747925579-fb6fe1afdf058680198d9f78e2c1b4f9.jpg,RedDoorz @ Karema Area Mamuju,Hotel,Mamuju Mamuju,Wisma Pondok Aisyah. Jalan Soekarno Hatta. Karema. Mamuju Regency. West Sulawesi. Indonesia,4.3,173177,173177,-2.694157,118.87781
837,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/27/8f56642c-5535-496b-b1d6-d6e232adc069-1616780721925-ee0e344f740037420b213310dd9b4d6f.jpg,RedDoorz @ Pasangkayu Mamuju Utara,Hotel,Pasangkayu Mamuju Utara,Jl. Moh. Hatta. Pasangkayu. Kabupaten Mamuju Utara. Sulawesi Barat 91574. Indonesia,4.8,192845,420000,-1.173136,119.362928
838,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/01/db4e9231-807d-46ed-b1e9-94a3a7ed3825-1604163809388-efaa1a10ec184f11dcd00c3af5f45ae1.jpg,RedDoorz @ Hotel Yaki Mamuju,Guest House,Mamuju Mamuju,Jl. H. Andi Endeng. Karema. Kec. Mamuju. Kabupaten Mamuju. Sulawesi Barat 91512,2.1,136066,313600,-2.68184,118.879824
839,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/12/10/f81b9ead-648e-46e1-beee-974bfd26a46c-1639128917772-9a1dc25ad1ca5d4df789127b5597fc61.jpg,Hotel Tomborang Mamuju RedPartner,Hotel,Mamuju Mamuju,Jl. Soekarno Hatta No.2. Karema. Kec. Mamuju. Kabupaten Mamuju. Sulawesi Barat 91511. Indonesia,3.0,139173,259765,-2.690025,118.870963
840,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/03/08/16d15723-ba8b-491b-b86d-78e02358500c-1646710520367-b78026ce179c4b1b2f5adf4f3710237f.jpg,Lilianto Hotel,Hotel,,Jl. Jend. Ahmad Yani No.54B. Polewali. Kabupaten Polewali Mandar. Sulawesi Barat,Belum ada rating,314127,571140,-3.55166,118.946604
841,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/11/25/6c811f1a-0439-4fa2-91c5-3442cd856d2e-1637819733832-f415205a153932c0df3cc261389297b3.jpg,Hotel Bumi Raya,Hotel,Polewali Polewali Mandar,Jl Todilaling No 18. Pekkabata. Polewali. Polewali Mandar Regency. West Sulawesi,2.5,1623967,1623967,-3.408702,119.314394
