,Hotel Image,Hotel Name,Tipe Properti,City,Address,Hotel Rating,Min,Max,Lattitute,Longitude
1564,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/399d2cd5-6185-4335-945b-7c6600746aef-1604144471536-51157e4562649536ba65e002acc7c299.jpg,Cordela Inn Bengkulu,Hotel,Teluk Segara Bengkulu,Tengah Padang. Teluk Segara. Bengkulu City. Bengkulu,4.1,310000,360000,-3.7921862,102.2584667
1565,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/d3aedc82-5ff8-42da-8c64-8951af665649-1604127785674-d9835f3d79e9866ea2cb1e2fc87bd496.jpg,Jodipati Hotel Bengkulu,Hotel,Singaran Pati Bengkulu,Jembatan Kecil. Singaran Pati. Bengkulu City. Bengkulu 38224. Indonesia,4.2,351450,351450,-3.812399,102.287109
1566,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/06/22/35414453-2c0e-4130-b50d-d3f117b1f133-1624347922253-1bd74dd5fbf7fd63d1ec26d0b5db80e8.jpg,Djo Front One Inn Bengkulu,Hotel,Muara Bangka Hulu Bengkulu,Jl. Wr. Supratman No.8. Kandang Limun. Muara Bangka Hulu. Kota Bengkulu. Bengkulu 38119. Indonesia,3.8,154763,257399,-3.758962,102.276963
1567,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/08/20/d89568eb-fc6f-499b-ad16-4b7060b9bfbf-1660950433643-960988a2b811db828e81ab65eec79252.jpg,Tanjung Karang Hotel Bengkulu,Hotel,Ratu Agung Bengkulu,Jalan Mayjen. Sutoyo No.04. RT 19/RW 2. Tanah Patah. Ratu Agung. Bengkulu,4.2,307618,600000,-3.810468,102.284939
1568,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/01/38991368-b6d5-4b9c-a981-75fa3edf61b9-1604171035529-17dda56403965c33a0b7f1dbc0a86c0c.jpg,King Suite Hotel Bengkulu,Hotel,Gading Cempaka Bengkulu,Jalan Pangeran Natadirja No. 93. KM. 6.5. Jl. Gedang. Gading Cemp.. Kota Bengkulu. Bengkulu 38225. Indonesia,3.6,238580,459261,-3.819725,102.295961
1569,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/08/25/a5e0b671-ff46-4e4a-8963-583c2d2be904-1661403902082-dc5589add15978a9eafcc54b3f46bfdb.jpg,Pringgading Surf Camp RedPartner,Hotel,Lempuing Bengkulu,Jl. Ciliwung Bawah No.33. Lkr. Barat. Kec. Gading Cemp.. Kota Bengkulu. Bengkulu 38228. Indonesia,4.7,319410,319410,-3.829835,102.286933
1570,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/60893266-f65f-4794-b2cd-65b0ca2df3f4-1604157114924-e683f0ca930e286a524fa23e84f471e3.jpg,OYO 680 Grhadika Jodipati Syariah,Guest House,Ratu Agung Bengkulu,Jl. Batanghari. No 39. Nusa Indah. Kota Bengkulu. Bengkulu 38224,3.6,208564,208564,-3.815902,102.275445
1571,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/bfbc5108-cc23-47e2-af1f-1fa4e46c9b6a-1615558574006-1b03a1b88cf21919bed97f2cf6e6f514.jpg,SPOT ON 2842 Hotel Rindu,Hotel,Sungai Serut Bengkulu,Jl. Sumatra No.15. Suka Merindu. Sungai Serut. Bengkulu,3.6,60156,80000,-3.785548,102.267519
1572,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/3d0050ec-0481-46d7-8d58-779a7ae3173f-1615555513144-8d0c136841f4f38c2e53b2efe33eec21.jpg,OYO 1678 Jati Exclusive Homestay,Hotel,Ratu Samban Bengkulu,Jl. Jati No.45. Padang Jati. Kec. Ratu Samban. Kota Bengkulu. Bengkulu 38222. Indonesia. Bengkulu,3.2,129390,432454,-3.798187,102.272658
1573,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/8968a82c-ae8b-4d27-8be2-55d2e4ca3141-1615559720719-4292fa7e1a96cfd2e16ff9a7632f709e.jpg,SPOT ON 2647 Anissa Guest House,Hotel,Muara Bangka Hulu Bengkulu,Jl. Kalimantan No.17. Rw. Makmur Permai. Kec. Muara Bangka Hulu. Bengkulu,2.5,60694,116273,-3.769301,102.271281
1574,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/01/14/adc5dad8-c2d0-47dd-91f2-1fa307f3e483-1610595420683-22e90f499dd5a4909b92825027c30a2b.jpg,RedDoorz near Pantai Panjang Bengkulu 2,Hotel,Ratu Samban Bengkulu,Jalan Nala no. 54. Anggut Bawah. Bengkulu. Bengkulu,3.9,203175,229635,-3.804375,102.260763
1575,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/fc7537a2-cd7a-4c16-973d-da72c8c0259c-1615561713934-36252353175a276198c2be227ac04219.jpg,RedDoorz Syariah near Balai Kota Bengkulu,Guest House,Sungai Serut Bengkulu,Jl. Jawa No.RT 12. Suka Merindu. Kec. Sungai Serut. Kota Bengkulu. Bengkulu 38115. Indonesia,4.1,206102,364500,-3.788374,102.266882
1576,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/ed5b34f3-3460-413e-a7ce-4dd4bdce288a-1604148513975-98b72e5558ced7f2200a28476c2bf71d.jpg,RedDoorz Syariah @ Hotel Putri Gading Bengkulu,Hotel,Ratu Samban Bengkulu,Jl. Sukajadi No.133. Anggut Bawah. Kec. Ratu Samban. Kota Bengkulu. Bengkulu. Indonesia,3.0,317520,317520,-3.805026,102.262458
1577,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/b72b3acf-c112-430a-99b6-1d147801887b-1604155978942-7115d2ce01ebca1512e6e94b02c2bf6a.jpg,OYO 2360 Hotel Rio,Hotel,Teluk Segara Bengkulu,67. Jl. Veteran. Ps. Jitra. Kec. Tlk. Segara. Bengkulu,3.2,86167,128744,-3.791247,102.253199
1578,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/9a401641-45ea-4e3e-a9e0-71e9ec02267d-1615561119411-cb867a2a6cbe3b112b83728e3d34d15f.jpg,OYO 2994 Hotel Wedika,Hotel,Singaran Pati Bengkulu,Jalan Kapten Tandean. No.26 Kel. Jembatan Kecil. Kec. Singaran Pati. Bengkulu. 38224. Indonesia. Bengkulu,2.6,79200,138995,-3.814455,102.289613
1579,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/5b3983eb-c519-4fd2-b34b-f7cdeae95c69-1615543250889-5c47e1a36674b47ed81bcb4854ea023d.jpg,OYO 1865 Hotel Ss Syariah,Hotel,Teluk Segara Bengkulu,Jl. MT. Haryono No. 16. Bajak. Kec. Tlk. Segara. Bengkulu,2.8,51200,127680,-3.789418,102.263264
1580,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/01/a2aad4fa-d827-4137-b525-4854622aaacb-1604171600678-8e9c2a7aee44b3931ca761ddf7862809.jpg,Queen Guest House,Guest House,Muara Bangka Hulu Bengkulu,Jl. Kalimantan No.02. Rw. Makmur Permai. Muara Bangka Hulu. Kota Bengkulu. Bengkulu 38119. Indonesia,3.6,205920,329670,-3.766188,102.290238
1581,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/06/07/a588db97-1e39-4ecb-9887-c94f8d0a02ff-1654576235687-2ef76ac0420278d0ba0bcb6ce49c87ac.jpg,Urbanview Hotel Syariah Seruni Bengkulu,Hotel,Gading Cempaka Bengkulu,Jl. Ciliwung Raya No.19. Padang Harapan. Kec. Gading Cemp.. Kota Bengkulu. Bengkulu 38225. Indonesia,3.1,183897,640080,-3.824112,102.290127
1582,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/18/27a49eb7-0d3b-4087-9c04-8041d97f098d-1616069361118-1d124a31cb4e3bdcdc6efcfbfb16eb72.jpg,Qieran Hotel Syariah,Hotel,Selebar Bengkulu,JL.Adam Malik No. 49 Pagar Dewa Bengkulu. Selebar. Bengkulu. Bengkulu Province. Indonesia. 38211,4.3,222505,222505,-3.84012,102.315207
1583,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/02/25/39bc1ec3-314b-4be7-8158-77dc7e6221b3-1645765519838-e5586d782d1bd8837f776fddaad91251.jpg,RedDoorz Syariah @ Jalan Raflesia Nusa Indah Bengkulu,Guest House,Ratu Agung Bengkulu,Jl. Raflesia No.34. Nusa Indah. Kec. Ratu Agung. Kota Bengkulu. Bengkulu 38223. Indonesia,4.4,137686,226047,-3.808249,102.276747
1584,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/20/586ebaa8-3c92-4792-a2ea-2a98f89ba4cd-1603127585542-d537f6401b5e4e09b394b7b539b73c97.jpg,RedDoorz near Jalan Soeprapto Bengkulu,Guest House,Teluk Segara Bengkulu,Jl. Mayor Salim Batubara No.1. Kebun Ros. Kec. Tlk. Segara. Kota Bengkulu. Bengkulu 38117. Indonesia,2.4,227853,234899,-3.789749,102.257911
1585,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/10/24/c515d58a-62e2-49d3-9b60-ac83a5263b7c-1635017468715-6febb31487acafe23040c98d39e2dd79.jpg,Omnea Hotel - Syariah,Hotel,Selebar Bengkulu,Jl.Adam Malik No. 62 Rt.01/RW.01 Kel. Pagar Dewa. Kec. Selebar Kota Bengkulu,3.9,195000,255000,-3.8394999504089355,102.31427001953125
1586,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/51a82eb1-e9e4-4240-862d-3356b54392d6-1604161649342-46fc3d8e916c205fb920f28514f7f1d2.jpg,Hotel SINDU Bengkulu,Hotel,Singaran Pati Bengkulu,Jl. Salak Raya No. 293 Kel. Dusun Besar Bengkulu- Indonesia,2.8,128700,386100,-3.816166,102.301158
1587,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/09/29/55d95d35-a321-4c19-ae98-60f30701b0f2-1664423132876-585b227f32c2a17fd4dff240d9dcbbfd.jpg,RedDoorz Syariah near Universitas Bengkulu,Hotel,Muara Bangka Hulu Bengkulu,Jl. WR. Supratman. Gg. Jaya No.46. Kandang Limun. Kec. Muara Bangka Hulu. Kota Bengkulu. Bengkulu 38119. Indonesia,Belum ada rating,178308,181250,-3.761786,102.272086
1588,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/09/13/15899ed2-4e5e-4993-9933-28f88e882c88-1663027556356-09bd60deb9349782e6da747920b84625.jpg,Bidadari Hotel,Cottage,Ratu Agung Bengkulu,Jln. Pariwisata No.14. Kec. Ratu Agung. Kel. Tanah Patah,Belum ada rating,305000,388000,-3.820997,102.274847
1589,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/bc421445-6677-498a-aa3f-6c3469ae5f63-1604133146048-cbe2d69d7196f147933b761adbdbea19.jpg,Grand Zuri Lahat,Hotel,Kec. Lahat Lahat,Jl Lingkar Lintas Sumatera no.138Desa Manggul,4.0,349499,658012,-3.77629,103.57017
1590,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/08/31/ed316b59-6275-4230-81b6-335a3e034750-1661943337054-6ea19c9e018b438ac5b140aec4f23a1d.jpg,Cordela Inn R Sukamto - Palembang,Hotel,Ilir Timur Tiga Palembang,Jl. R. Sukamto. Lorong Masjid No.40. 8 Ilir. Kec. Ilir Tim. II. Kota Palembang. Sumatera Selatan. Indonesia,4.3,275000,383737,-2.952583,104.761584
1591,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/bc421445-6677-498a-aa3f-6c3469ae5f63-1604133146048-cbe2d69d7196f147933b761adbdbea19.jpg,Grand Zuri Lahat,Hotel,Kec. Lahat Lahat,Jl Lingkar Lintas Sumatera no.138Desa Manggul,4.0,349499,658012,-3.77629,103.57017
1592,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/29/970455bf-e5dc-4443-9c54-211c08597178-1603916803494-17a4b07d1765f354fa0a080d83867784.jpg,Hotel Grand Sigma,Hotel,Kec. Lahat Lahat,Jl. Laskar Rukiah No.2. Ps. Baru. Kec. Lahat. Kabupaten Lahat. Sumatera Selatan. Indonesia,3.9,285000,395000,-3.791186,103.538565
