list_fasil_id,hotel_id
2,431
3,431
4,431
5,431
6,431
7,431
9,431
11,431
3,432
4,432
5,432
6,432
9,432
11,432
2,433
3,433
4,433
5,433
7,433
9,433
4,434
5,434
7,434
9,434
4,435
5,435
6,435
7,435
2,436
4,436
5,436
6,436
7,436
9,436
3,437
4,437
5,437
6,437
7,437
11,437
2,438
4,438
5,438
6,438
7,438
9,438
11,438
3,439
4,439
5,439
9,439
3,440
4,440
5,440
6,440
7,440
9,440
12,440
2,441
3,441
4,441
5,441
6,441
7,441
9,441
11,441
12,441
3,442
4,442
5,442
6,442
7,442
9,442
11,442
15,442
3,443
4,443
5,443
7,443
2,444
4,444
5,444
9,444
11,444
3,445
4,445
5,445
6,445
7,445
9,445
11,445
3,446
4,446
5,446
6,446
7,446
11,446
2,447
4,447
5,447
9,447
2,448
3,448
4,448
5,448
6,448
9,448
2,449
3,449
4,449
5,449
6,449
9,449
4,450
5,450
7,450
9,450
3,451
4,451
5,451
7,451
9,451
11,451
15,451
2,452
4,452
5,452
6,452
9,452
4,453
7,453
4,454
5,454
7,454
9,454
5,455
7,455
2,456
4,456
5,456
7,456
9,456
15,456
2,457
4,457
5,457
7,457
9,457
2,458
3,458
4,458
5,458
6,458
7,458
9,458
3,459
4,459
5,459
6,459
7,459
9,459
11,459
3,460
4,460
5,460
6,460
7,460
11,460
14,460
2,461
4,461
5,461
7,461
9,461
2,462
4,462
5,462
1,463
2,463
4,463
5,463
3,464
4,464
5,464
6,464
7,464
9,464
11,464
3,465
4,465
5,465
6,465
11,465
4,466
5,466
9,466
4,467
5,467
7,467
9,467
11,467
4,468
5,468
9,468
3,469
4,469
5,469
6,469
9,469
11,469
4,470
5,470
9,470
15,470
2,471
4,471
11,471
2,472
3,472
4,472
5,472
6,472
7,472
8,472
9,472
10,472
11,472
1,473
2,473
3,473
4,473
5,473
6,473
7,473
8,473
9,473
11,473
12,473
2,474
3,474
4,474
5,474
6,474
7,474
8,474
9,474
11,474
12,474
2,475
3,475
4,475
5,475
6,475
7,475
8,475
9,475
11,475
12,475
2,476
3,476
4,476
5,476
6,476
7,476
8,476
9,476
11,476
12,476
1,477
2,477
3,477
4,477
5,477
6,477
7,477
8,477
9,477
11,477
12,477
2,478
4,478
5,478
7,478
8,478
9,478
11,478
2,479
3,479
4,479
5,479
6,479
7,479
8,479
9,479
11,479
1,480
2,480
3,480
4,480
5,480
6,480
7,480
8,480
9,480
10,480
12,480
1,481
2,481
4,481
5,481
6,481
7,481
8,481
9,481
11,481
12,481
2,482
3,482
4,482
5,482
6,482
7,482
8,482
9,482
10,482
11,482
12,482
2,483
4,483
5,483
6,483
7,483
8,483
2,484
3,484
4,484
5,484
6,484
7,484
11,484
12,484
4,485
5,485
6,485
7,485
9,485
11,485
12,485
2,486
3,486
4,486
5,486
7,486
9,486
11,486
1,487
2,487
3,487
4,487
5,487
6,487
7,487
8,487
9,487
10,487
11,487
12,487
1,488
2,488
3,488
4,488
5,488
7,488
8,488
9,488
11,488
1,489
2,489
3,489
4,489
5,489
6,489
7,489
8,489
9,489
11,489
12,489
3,490
4,490
5,490
6,490
7,490
9,490
11,490
12,490
2,491
3,491
4,491
5,491
9,491
11,491
2,492
3,492
4,492
5,492
6,492
7,492
9,492
11,492
13,492
2,493
5,493
7,493
9,493
11,493
1,494
2,494
3,494
4,494
5,494
6,494
7,494
8,494
9,494
6,495
7,495
2,496
3,496
4,496
5,496
6,496
7,496
8,496
9,496
11,496
12,496
14,496
2,497
3,497
4,497
5,497
6,497
7,497
8,497
9,497
11,497
2,498
3,498
5,498
6,498
7,498
8,498
9,498
11,498
12,498
2,499
4,499
5,499
6,499
8,499
11,499
12,499
1,500
2,500
3,500
4,500
5,500
6,500
8,500
9,500
11,500
12,500
2,501
3,501
4,501
5,501
9,501
1,502
2,502
4,502
5,502
6,502
7,502
8,502
9,502
2,503
3,503
4,503
5,503
7,503
9,503
12,503
15,503
3,504
4,504
5,504
6,504
7,504
9,504
11,504
12,504
2,505
3,505
4,505
5,505
9,505
2,506
4,506
5,506
9,506
2,507
4,507
5,507
7,507
9,507
11,507
2,508
3,508
4,508
5,508
6,508
7,508
9,508
11,508
1,509
2,509
3,509
4,509
5,509
6,509
7,509
8,509
9,509
2,510
3,510
4,510
5,510
6,510
7,510
9,510
11,510
2,511
4,511
5,511
7,511
9,511
2,512
3,512
4,512
5,512
6,512
7,512
9,512
11,512
2,513
3,513
4,513
5,513
6,513
9,513
11,513
14,513
2,514
3,514
4,514
5,514
6,514
7,514
9,514
11,514
3,515
4,515
5,515
6,515
7,515
9,515
11,515
2,516
3,516
4,516
5,516
6,516
9,516
11,516
3,517
4,517
5,517
7,517
9,517
11,517
13,517
2,518
4,518
5,518
6,518
7,518
9,518
11,518
2,519
3,519
4,519
5,519
6,519
11,519
14,519
3,520
4,520
5,520
7,520
9,520
11,520
2,521
3,521
4,521
5,521
6,521
7,521
8,521
9,521
12,521
2,522
4,522
5,522
9,522
12,522
2,523
3,523
4,523
5,523
9,523
3,524
4,524
5,524
6,524
7,524
9,524
11,524
14,524
4,525
5,525
6,525
9,525
3,526
4,526
5,526
6,526
9,526
11,526
4,527
5,527
7,527
11,527
2,528
4,528
5,528
6,528
7,528
9,528
11,528
4,529
5,529
6,529
7,529
2,530
3,530
4,530
5,530
7,530
9,530
5,531
11,531
7,532
2,533
3,533
4,533
5,533
7,533
9,533
2,534
4,534
5,534
7,534
9,534
11,534
3,535
4,535
5,535
6,535
7,535
11,535
1,536
2,536
3,536
4,536
5,536
6,536
7,536
9,536
2,537
3,537
4,537
5,537
6,537
7,537
9,537
11,537
12,537
4,538
5,538
7,538
9,538
11,538
14,538
2,539
4,539
5,539
9,539
11,539
3,540
4,540
5,540
9,540
4,541
5,541
6,541
7,541
11,541
15,541
2,542
3,542
4,542
5,542
6,542
7,542
9,542
11,542
5,543
9,543
2,544
4,544
5,544
7,544
9,544
11,544
4,546
5,546
14,546
4,547
5,547
6,547
7,547
11,547
3,548
4,548
5,548
7,548
9,548
11,548
3,549
4,549
5,549
9,549
4,550
5,550
7,550
11,550
3,551
4,551
5,551
6,551
7,551
9,551
11,551
1,552
2,552
4,552
5,552
7,552
9,552
4,553
5,553
2,554
4,554
5,554
6,554
7,554
8,554
11,554
15,554
3,555
4,555
5,555
6,555
7,555
9,555
10,555
11,555
15,555
2,556
3,556
4,556
5,556
6,556
7,556
9,556
11,556
5,557
7,557
4,558
5,558
9,558
4,559
5,559
15,559
4,560
7,560
9,560
4,561
5,561
6,561
11,561
2,562
4,562
5,562
9,562
11,562
4,563
5,563
7,563
11,563
14,563
2,564
4,564
5,564
6,564
7,564
9,564
14,564
2,565
4,565
5,565
11,565
2,566
4,566
5,566
6,566
7,566
4,567
5,567
9,567
4,568
5,568
4,569
5,569
3,570
4,570
5,570
9,570
11,570
15,570
4,571
5,571
6,571
11,571
4,572
5,572
1,573
2,573
4,573
5,573
7,573
2,574
4,574
5,574
4,575
2,576
4,576
5,576
