list_fasil_id,hotel_id
2,380
4,380
5,380
7,380
5,381
6,381
7,381
2,382
4,382
5,382
7,382
9,382
2,383
4,383
5,383
9,383
4,384
5,384
9,384
2,385
4,385
5,385
9,385
2,386
3,386
4,386
5,386
6,386
9,386
12,386
2,387
4,387
5,387
7,387
9,387
2,388
3,388
4,388
5,388
7,388
11,388
14,388
2,389
4,389
5,389
7,389
11,389
2,390
4,390
5,390
7,390
9,390
4,391
9,391
2,392
4,392
5,392
6,392
7,392
9,392
4,393
5,393
7,393
9,393
4,394
5,394
2,395
4,395
5,395
9,395
2,396
4,396
5,396
9,396
4,397
5,397
7,397
9,397
12,397
2,398
4,398
5,398
7,398
9,398
4,399
5,399
9,399
4,400
5,400
7,400
2,401
3,401
4,401
5,401
6,401
7,401
9,401
11,401
12,401
2,402
4,402
5,402
7,402
9,402
2,403
4,403
5,403
7,403
9,403
2,404
4,404
7,404
9,404
2,405
4,405
5,405
9,405
5,406
7,406
5,407
2,408
4,408
5,408
7,408
9,408
2,409
5,409
2,410
5,410
2,411
4,411
5,411
7,411
9,411
12,411
2,412
4,412
5,412
7,412
9,412
11,412
2,413
4,413
5,413
7,413
9,413
2,414
4,414
5,414
6,414
7,414
9,414
12,414
2,415
5,415
9,415
2,416
5,416
6,416
7,416
9,416
11,416
2,417
4,417
5,417
7,417
9,417
11,417
2,418
4,418
5,418
7,418
9,418
5,419
7,419
9,419
5,420
7,420
4,421
5,421
7,421
9,421
5,422
9,422
2,423
3,423
4,423
5,423
9,423
2,424
4,424
5,424
9,424
2,425
4,425
5,425
7,425
9,425
13,425
4,426
5,426
7,426
9,426
2,427
4,427
5,427
7,427
4,428
9,428
4,429
4,430
