list_fasil_id,hotel_id
4,1
5,1
6,1
7,1
8,1
9,1
12,1
1,2
4,2
5,2
6,2
7,2
8,2
9,2
12,2
1,3
2,3
4,3
5,3
6,3
7,3
8,3
9,3
12,3
1,4
2,4
3,4
4,4
5,4
6,4
7,4
8,4
9,4
10,4
11,4
12,4
13,4
3,5
4,5
5,5
7,5
8,5
9,5
1,6
2,6
4,6
5,6
6,6
7,6
8,6
9,6
11,6
12,6
13,6
2,7
4,7
5,7
6,7
7,7
8,7
9,7
1,8
2,8
4,8
5,8
6,8
7,8
9,8
13,8
2,9
3,9
4,9
5,9
6,9
7,9
8,9
9,9
11,9
12,9
2,10
4,10
5,10
6,10
7,10
8,10
9,10
11,10
12,10
2,11
4,11
5,11
7,11
8,11
9,11
2,12
4,12
5,12
6,12
7,12
8,12
9,12
11,12
12,12
2,13
4,13
5,13
6,13
7,13
8,13
9,13
11,13
12,13
2,14
4,14
5,14
6,14
7,14
8,14
9,14
12,14
2,15
4,15
5,15
6,15
7,15
8,15
9,15
12,15
1,16
2,16
3,16
4,16
5,16
6,16
7,16
9,16
10,16
12,16
1,17
2,17
4,17
5,17
6,17
7,17
8,17
9,17
10,17
11,17
12,17
1,18
2,18
4,18
5,18
6,18
8,18
11,18
12,18
1,19
2,19
4,19
5,19
6,19
7,19
8,19
9,19
11,19
12,19
2,20
4,20
5,20
6,20
7,20
8,20
9,20
11,20
12,20
2,21
4,21
5,21
7,21
9,21
6,22
8,22
9,22
12,22
3,23
4,23
5,23
6,23
7,23
8,23
9,23
12,23
1,24
2,24
4,24
5,24
6,24
7,24
8,24
9,24
11,24
12,24
2,25
4,25
5,25
7,25
9,25
1,26
2,26
4,26
5,26
6,26
7,26
8,26
9,26
1,27
2,27
4,27
5,27
6,27
7,27
8,27
9,27
12,27
2,28
4,28
5,28
6,28
7,28
8,28
9,28
11,28
12,28
15,28
1,29
2,29
3,29
4,29
5,29
6,29
7,29
8,29
9,29
11,29
12,29
13,29
2,30
4,30
5,30
7,30
9,30
1,31
2,31
3,31
4,31
5,31
6,31
7,31
8,31
9,31
11,31
12,31
13,31
2,32
4,32
5,32
6,32
7,32
9,32
10,32
2,33
3,33
4,33
5,33
6,33
7,33
8,33
9,33
10,33
12,33
2,34
4,34
5,34
7,34
9,34
1,35
2,35
4,35
5,35
6,35
7,35
8,35
9,35
11,35
12,35
13,35
2,36
4,36
5,36
2,37
4,37
5,37
6,37
7,37
9,37
12,37
4,38
5,38
7,38
9,38
2,39
4,39
5,39
6,39
7,39
8,39
9,39
12,39
2,40
4,40
5,40
7,40
9,40
1,41
2,41
4,41
5,41
6,41
7,41
9,41
11,41
12,41
2,42
4,42
5,42
4,43
5,43
7,43
2,44
5,44
2,45
4,45
5,45
6,45
12,45
2,46
4,46
5,46
9,46
2,47
4,47
5,47
6,47
7,47
11,47
2,48
4,48
5,48
7,48
9,48
4,49
5,49
7,49
11,49
2,50
4,50
5,50
2,51
4,51
5,51
7,51
9,51
2,52
4,52
7,52
9,52
2,53
4,53
5,53
7,53
9,53
4,54
5,54
2,55
5,55
4,56
5,56
4,57
9,57
2,58
4,58
5,58
7,58
9,58
2,59
4,59
5,59
6,59
7,59
9,59
11,59
2,60
4,60
5,60
7,60
9,60
4,61
5,61
9,61
4,62
5,62
9,62
2,63
4,63
5,63
7,63
9,63
2,64
4,64
5,64
6,64
7,64
9,64
3,65
4,65
5,65
7,65
9,65
2,66
4,66
5,66
6,66
9,66
4,67
5,67
7,67
9,67
2,68
3,68
4,68
5,68
6,68
7,68
9,68
11,68
4,69
5,69
7,69
9,69
2,70
4,70
5,70
2,71
4,71
5,71
6,71
11,71
2,72
3,72
4,72
5,72
7,72
9,72
4,73
5,73
1,74
2,74
4,74
5,74
7,74
9,74
2,75
4,75
5,75
6,75
9,75
4,76
5,76
9,76
5,77
7,77
11,77
2,78
4,78
5,78
4,79
5,79
14,79
5,80
9,80
11,80
14,80
2,81
4,81
5,81
6,81
7,81
9,81
2,82
4,82
5,82
9,82
4,83
5,83
7,83
9,83
4,84
5,84
7,84
9,84
4,85
5,85
7,85
9,85
2,86
4,86
5,86
7,86
9,86
2,87
4,87
5,87
7,87
9,87
2,88
4,88
5,88
6,88
7,88
9,88
12,88
2,89
4,89
5,89
7,89
9,89
