list_fasil_id,hotel_id
2,230
4,230
5,230
9,230
2,231
4,231
5,231
6,231
9,231
2,232
3,232
4,232
5,232
9,232
4,233
5,233
7,233
9,233
2,234
4,234
5,234
7,234
2,235
4,235
5,235
7,235
9,235
2,236
4,236
5,236
6,236
7,236
9,236
2,237
4,237
5,237
7,237
9,237
2,238
4,238
5,238
4,239
7,239
9,239
2,240
4,240
5,240
7,240
9,240
4,241
5,241
9,241
15,241
2,242
4,242
5,242
7,242
9,242
4,243
5,243
7,243
9,243
2,244
4,244
5,244
7,244
9,244
5,245
7,245
4,246
5,246
7,246
9,246
2,247
4,247
7,247
2,248
3,248
4,248
5,248
6,248
7,248
9,248
12,248
2,249
4,249
5,249
7,249
2,250
5,250
7,250
9,250
4,251
5,251
7,251
9,251
2,252
4,252
7,252
9,252
4,253
5,253
7,253
9,253
4,254
5,254
7,254
9,254
2,255
4,255
5,255
7,255
9,255
4,256
5,256
7,256
9,256
2,257
4,257
5,257
7,257
9,257
4,258
5,258
7,258
9,258
2,259
3,259
4,259
5,259
6,259
7,259
9,259
12,259
3,260
4,260
5,260
7,260
9,260
5,261
2,262
4,262
5,262
7,262
9,262
2,263
4,263
5,263
7,263
9,263
3,264
4,264
5,264
7,264
2,265
3,265
4,265
5,265
7,265
11,265
3,266
4,266
5,266
4,267
5,267
7,267
9,267
10,267
12,267
2,268
4,268
5,268
7,268
9,268
2,269
4,269
5,269
7,269
9,269
2,270
4,270
5,270
7,270
9,270
12,270
4,271
5,271
7,271
9,271
2,272
4,272
5,272
7,272
1,273
2,273
4,273
5,273
9,273
4,274
5,274
7,274
9,274
10,274
2,275
4,275
5,275
7,275
9,275
4,276
5,276
6,276
7,276
8,276
15,276
2,277
4,277
5,277
7,277
9,277
2,278
4,278
7,278
9,278
4,279
5,279
6,279
7,279
9,279
4,280
5,280
7,280
9,280
4,281
5,281
9,281
2,282
4,282
5,282
6,282
7,282
9,282
4,283
5,283
7,283
9,283
10,283
5,284
9,284
2,285
4,285
5,285
5,286
2,287
3,287
4,287
5,287
9,287
4,288
7,288
9,288
2,289
4,289
5,289
6,289
7,289
9,289
2,290
4,290
5,290
7,290
9,290
4,291
5,291
7,291
2,292
4,292
5,292
6,292
11,292
4,293
5,293
7,293
9,293
12,293
2,294
3,294
4,294
5,294
6,294
7,294
8,294
9,294
12,294
2,295
4,295
5,295
7,295
9,295
2,296
4,296
5,296
6,296
12,296
2,297
4,297
5,297
6,297
7,297
9,297
11,297
12,297
2,298
5,298
6,298
7,298
11,298
12,298
4,299
5,299
7,299
9,299
2,300
3,300
4,300
5,300
6,300
7,300
8,300
12,300
1,301
2,301
4,301
5,301
7,301
8,301
9,301
12,301
13,301
2,302
4,302
5,302
6,302
8,302
9,302
12,302
2,303
4,303
5,303
6,303
7,303
9,303
2,304
4,304
5,304
7,304
8,304
9,304
2,305
4,305
5,305
7,305
9,305
11,305
12,305
1,306
2,306
4,306
5,306
6,306
7,306
9,306
2,307
4,307
5,307
6,307
7,307
9,307
11,307
12,307
2,308
4,308
5,308
7,308
9,308
2,309
4,309
5,309
7,309
2,310
4,310
5,310
6,310
7,310
9,310
2,311
4,311
5,311
6,311
7,311
9,311
11,311
12,311
4,312
5,312
6,312
8,312
9,312
12,312
4,313
5,313
6,313
7,313
8,313
9,313
11,313
12,313
2,314
3,314
4,314
5,314
6,314
11,314
12,314
2,315
4,315
5,315
7,315
2,316
4,316
5,316
7,316
9,316
2,317
4,317
5,317
15,317
14,317
3,318
4,318
5,318
7,318
9,318
