list_fasil_id,hotel_id
4,319
5,319
6,319
7,319
9,319
11,319
15,319
14,319
5,320
6,320
9,320
2,321
4,321
7,321
9,321
2,322
4,322
5,322
7,322
9,322
5,323
9,323
11,323
15,323
14,323
1,324
2,324
5,324
9,324
4,325
5,325
7,325
9,325
3,326
4,326
5,326
9,326
2,327
3,327
4,327
9,327
1,328
2,328
4,328
5,328
6,328
7,328
8,328
9,328
11,328
12,328
13,328
2,329
4,329
5,329
6,329
8,329
9,329
12,329
4,330
5,330
6,330
7,330
8,330
9,330
2,331
4,331
5,331
6,331
7,331
9,331
12,331
2,332
4,332
5,332
7,332
9,332
4,333
5,333
6,333
7,333
9,333
2,334
4,334
5,334
7,334
9,334
2,335
3,335
4,335
5,335
7,335
8,335
9,335
4,336
5,336
7,336
2,337
4,337
5,337
6,337
7,337
8,337
9,337
2,338
3,338
4,338
5,338
6,338
7,338
8,338
9,338
12,338
4,339
5,339
6,339
7,339
8,339
9,339
11,339
12,339
2,340
4,340
5,340
6,340
7,340
8,340
9,340
12,340
2,341
4,341
5,341
6,341
7,341
8,341
9,341
11,341
12,341
2,342
4,342
5,342
6,342
7,342
8,342
9,342
12,342
13,342
1,343
2,343
4,343
5,343
6,343
7,343
8,343
9,343
11,343
12,343
4,344
5,344
6,344
12,344
2,345
4,345
5,345
6,345
7,345
8,345
11,345
2,346
4,346
5,346
7,346
9,346
2,347
4,347
5,347
6,347
7,347
9,347
2,348
4,348
5,348
7,348
8,348
9,348
2,349
4,349
5,349
9,349
2,350
4,350
5,350
7,350
9,350
2,351
4,351
5,351
6,351
7,351
9,351
2,352
4,352
5,352
7,352
9,352
4,353
5,353
7,353
9,353
2,354
4,354
5,354
6,354
9,354
3,355
9,355
2,356
4,356
5,356
6,356
7,356
9,356
4,357
5,357
6,357
7,357
8,357
9,357
2,358
4,358
5,358
6,358
8,358
9,358
2,359
4,359
5,359
6,359
7,359
8,359
9,359
11,359
12,359
2,360
4,360
7,360
9,360
2,361
4,361
5,361
7,361
9,361
1,362
2,362
4,362
5,362
6,362
7,362
8,362
9,362
12,362
2,363
4,363
5,363
7,363
9,363
4,364
5,364
6,364
7,364
8,364
9,364
12,364
2,365
4,365
5,365
7,365
9,365
2,366
4,366
5,366
6,366
7,366
9,366
2,367
4,367
7,367
9,367
4,368
5,368
6,368
7,368
8,368
9,368
11,368
15,368
2,369
4,369
5,369
7,369
9,369
4,370
9,370
4,371
7,371
9,371
2,372
4,372
5,372
6,372
7,372
9,372
2,373
4,373
5,373
7,373
8,373
9,373
1,374
2,374
4,374
7,374
9,374
2,375
4,375
7,375
9,375
4,376
6,376
7,376
9,376
2,377
4,377
5,377
6,377
7,377
8,377
9,377
11,377
2,378
4,378
5,378
7,378
9,378
4,379
5,379
7,379
9,379
