list_fasil_id,hotel_id
4,577
5,577
6,577
7,577
9,577
2,578
4,578
5,578
7,578
9,578
11,578
2,579
4,579
5,579
7,579
9,579
2,580
4,580
5,580
7,580
9,580
2,581
4,581
5,581
6,581
9,581
11,581
2,582
4,582
5,582
6,582
7,582
9,582
12,582
2,583
4,583
5,583
6,583
7,583
9,583
4,584
5,584
7,584
9,584
2,585
4,585
5,585
7,585
9,585
11,585
2,586
4,586
5,586
6,586
7,586
8,586
9,586
11,586
12,586
2,587
4,587
5,587
6,587
7,587
11,587
2,588
4,588
5,588
7,588
9,588
2,589
4,589
5,589
6,589
7,589
9,589
4,590
5,590
7,590
9,590
2,591
4,591
5,591
7,591
9,591
4,592
5,592
6,592
7,592
9,592
11,592
12,592
14,592
2,593
4,593
5,593
7,593
9,593
2,594
4,594
5,594
9,594
11,594
2,595
4,595
5,595
6,595
7,595
9,595
11,595
2,596
4,596
7,596
9,596
2,597
4,597
5,597
9,597
2,598
4,598
5,598
9,598
4,599
5,599
7,599
2,600
3,600
4,600
5,600
6,600
7,600
9,600
12,600
2,601
4,601
5,601
9,601
2,602
4,602
5,602
9,602
2,603
4,603
5,603
7,603
9,603
2,604
4,604
5,604
6,604
7,604
9,604
2,605
4,605
5,605
7,605
9,605
11,605
4,606
5,606
9,606
4,607
5,607
9,607
11,607
2,608
4,608
5,608
6,608
7,608
9,608
2,609
4,609
5,609
6,609
7,609
9,609
2,610
3,610
4,610
5,610
6,610
9,610
2,611
4,611
5,611
6,611
7,611
11,611
12,611
2,612
4,612
5,612
6,612
7,612
9,612
11,612
4,613
5,613
6,613
7,613
9,613
15,613
2,614
4,614
5,614
9,614
4,615
5,615
6,615
7,615
11,615
2,616
4,616
5,616
7,616
9,616
4,617
5,617
7,617
9,617
11,617
14,617
4,618
7,618
9,618
4,619
5,619
6,619
7,619
9,619
11,619
14,619
4,620
5,620
6,620
7,620
9,620
11,620
2,621
4,621
5,621
7,621
9,621
1,622
2,622
4,622
5,622
7,622
5,623
6,623
7,623
11,623
15,623
14,623
4,624
5,624
9,624
2,625
4,625
5,625
7,625
9,625
4,626
5,626
7,626
9,626
4,627
5,627
9,627
2,628
4,628
5,628
7,628
9,628
11,628
4,629
5,629
7,629
9,629
4,630
5,630
9,630
11,630
1,631
2,631
4,631
5,631
7,631
9,631
2,632
4,632
5,632
6,632
7,632
11,632
1,633
2,633
4,633
5,633
7,633
4,634
5,634
6,634
9,634
11,634
12,634
1,635
2,635
4,635
5,635
6,635
7,635
8,635
9,635
12,635
2,636
3,636
4,636
5,636
6,636
7,636
8,636
9,636
11,636
12,636
2,637
4,637
5,637
6,637
7,637
8,637
9,637
12,637
2,638
4,638
5,638
6,638
7,638
8,638
9,638
11,638
12,638
2,639
4,639
5,639
6,639
7,639
8,639
9,639
11,639
12,639
2,640
4,640
5,640
6,640
11,640
1,641
2,641
3,641
4,641
5,641
6,641
7,641
8,641
9,641
11,641
12,641
2,642
4,642
5,642
6,642
7,642
8,642
9,642
11,642
12,642
2,643
4,643
5,643
6,643
7,643
