list_fasil_id,hotel_id
1,770
2,770
4,770
5,770
6,770
7,770
9,770
4,771
5,771
9,771
2,772
4,772
5,772
7,772
9,772
2,773
4,773
5,773
6,773
7,773
9,773
11,773
2,774
4,774
5,774
9,774
2,775
4,775
5,775
7,775
9,775
2,776
4,776
5,776
7,776
9,776
11,776
2,777
4,777
5,777
6,777
7,777
8,777
9,777
11,777
12,777
2,778
4,778
5,778
7,778
9,778
4,779
5,779
9,779
11,779
2,780
4,780
5,780
6,780
7,780
8,780
9,780
4,781
5,781
9,781
11,781
4,782
5,782
7,782
9,782
11,782
4,783
7,783
9,783
2,784
4,784
5,784
11,784
2,785
4,785
5,785
7,785
9,785
4,786
5,786
6,786
7,786
9,786
2,787
4,787
5,787
6,787
7,787
8,787
9,787
12,787
4,788
5,788
6,788
7,788
8,788
9,788
11,788
2,789
4,789
5,789
6,789
7,789
9,789
4,790
5,790
6,790
7,790
9,790
2,791
4,791
5,791
6,791
7,791
9,791
2,792
4,792
5,792
7,792
8,792
9,792
2,793
4,793
5,793
6,793
7,793
9,793
2,794
4,794
5,794
6,794
7,794
8,794
9,794
11,794
2,795
4,795
5,795
7,795
9,795
2,796
4,796
5,796
7,796
9,796
2,797
4,797
5,797
6,797
7,797
9,797
12,797
2,798
4,798
5,798
7,798
9,798
2,799
4,799
5,799
6,799
9,799
11,799
2,800
4,800
5,800
7,800
9,800
12,800
2,801
4,801
5,801
7,801
9,801
2,802
4,802
5,802
6,802
7,802
9,802
11,802
4,803
5,803
6,803
9,803
2,804
4,804
5,804
6,804
7,804
9,804
11,804
12,804
2,805
4,805
5,805
7,805
9,805
1,806
2,806
4,806
5,806
7,806
9,806
2,807
3,807
4,807
5,807
6,807
7,807
9,807
2,808
4,808
5,808
9,808
2,809
4,809
5,809
9,809
11,809
1,810
2,810
4,810
5,810
7,810
9,810
2,811
4,811
5,811
7,811
9,811
4,812
5,812
7,812
9,812
4,813
9,813
4,816
5,816
6,816
7,816
8,816
9,816
2,817
4,817
5,817
7,817
9,817
12,817
14,817
2,818
4,818
7,818
9,818
4,819
5,819
6,819
9,819
2,820
5,820
7,820
9,820
15,821
2,822
4,822
5,822
7,822
9,822
2,823
4,823
5,823
6,823
7,823
8,823
9,823
10,823
11,823
12,823
1,824
2,824
4,824
5,824
7,824
9,824
2,825
4,825
5,825
6,825
7,825
8,825
9,825
12,825
2,826
4,826
5,826
7,826
9,826
2,827
4,827
5,827
6,827
7,827
9,827
1,828
2,828
4,828
5,828
7,828
9,828
2,829
4,829
5,829
7,829
9,829
4,830
5,830
6,830
7,830
9,830
2,831
4,831
5,831
7,831
9,831
4,832
5,832
6,832
9,832
2,833
4,833
7,833
9,833
2,834
4,834
5,834
7,834
9,834
2,835
4,835
5,835
6,835
7,835
9,835
2,836
4,836
5,836
7,836
9,836
11,836
2,837
4,837
5,837
7,837
9,837
2,838
4,838
5,838
7,838
9,838
4,839
5,839
7,839
