,Hotel Image,Hotel Name,Tipe Properti,City,Address,Hotel Rating,Min,Max,Lattitute,Longitude,Map Link,Hotel Link
431,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/05/11/6931e857-a317-4caa-99f0-41c7243bff46-1620726667890-f8c4efad1c53d66bc57630f82ad579de.jpg,Hotel Suma,Hotel,Buleleng Buleleng,Jl. Loviana. Anturan. Kec. Buleleng. Kabupaten Buleleng. Bali 81119. Indonesia,3.6,268493,550000,-8.151673,115.035532,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-8.150673000000001,115.035532&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-8.151673,115.035532",https://www.tiket.com/hotel/indonesia/hotel-suma-412001639983397342?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=2&soldOut=false
432,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/01/19/5e92712b-aebc-4ca5-a647-48b3312de0a9-1642601123409-81c14e31788950162cb183ab57a99f7a.jpg,Josh Guest House,Guest House,Buleleng Buleleng,Jl. Pantai Penimbangan Gg. Balbo No.Blok E. Baktiseraga. Kec. Buleleng. Kabupaten Buleleng. Bali 81115,Belum ada rating,292499,344250,-8.124934,115.06569,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-8.123934,115.06569&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-8.124934,115.06569",https://www.tiket.com/hotel/indonesia/josh-guest-house-501001642742145424?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=2&soldOut=false
433,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/02/04/91bec8b9-ca46-4f45-a70f-f2054db24940-1612412713635-4f5ad7af5580108a0afb93cf3bbaca30.jpg,OYO 3836 Vedanta Villa,Hotel,Buleleng Buleleng,B.2. Jalan Kartika No B.2 Kalibukbuk. Lovina. Sukasada - Bali. Bali,4.2,112732,183761,-8.158096,115.029305,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-8.157096000000001,115.029305&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-8.158096,115.029305",https://www.tiket.com/hotel/indonesia/oyo-3836-vedanta-villa-412001639107867370?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=2&soldOut=false
434,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/74b439a8-2ffd-41eb-a6c1-f192290487d8-1615562472805-27cf576ada58cee8e4bd36f2841f391e.jpg,RedDoorz near Penimbangan Beach Singaraja,Hotel,Buleleng Buleleng,Jl. A. Yani No.177. Baktiseraga. Kec. Buleleng. Kabupaten Buleleng. Bali 81119. Indonesia,4.2,137231,233172,-8.124436,115.068904,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-8.123436,115.068904&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-8.124436,115.068904",https://www.tiket.com/hotel/indonesia/reddoorz-near-penimbangan-beach-singaraja-307001595297993799?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=2&soldOut=false
435,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/10/19/340ec16b-c149-4adb-91b0-84aa14644654-1634656841140-fb211c683db9da967e8ef8c73231b65d.jpg,Hotel Sentral,Hotel,Buleleng Buleleng,Jalan. A. Yani No. 48,3.2,110600,245000,-8.11551570892334,115.078254699707,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-8.11451570892334,115.078254699707&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-8.11551570892334,115.078254699707",https://www.tiket.com/hotel/indonesia/hotel-sentral-206001560499531662?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=2&soldOut=false
436,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/06/0c55bc3a-e36c-4ce5-8890-cce3fb34036a-1615035026314-ea366d8dde0dcdb8977eeafd67bf2673.jpg,Mandari Hotel,Hotel,Buleleng Buleleng,Jl. Pantai Asri. Banyuasri. Kec. Buleleng. Kabupaten Buleleng. Bali 81119. Indonesia,4.0,281746,341417,-8.118042,115.073527,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-8.117042000000001,115.073527&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-8.118042,115.073527",https://www.tiket.com/hotel/indonesia/mandari-hotel-108001534490369533?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=2&soldOut=false
437,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/11/11/f03ebc0e-8983-4b44-a7c8-169ee259d3ce-1636611031284-07b5192ad7d5498a998131f09a933d44.jpg,Puri Bali Hotel,Bed & Breakfast,Buleleng Buleleng,Jl. Mawar Lovina Kalibukbuk Singaraja,3.9,380001,610000,-8.159740447998047,115.0271224975586,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-8.158740447998047,115.0271224975586&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-8.159740447998047,115.0271224975586",https://www.tiket.com/hotel/indonesia/puri-bali-hotel-506001655430261531?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=2&soldOut=false
438,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/07e460fd-0b47-4d94-8d1e-da6934df7fb4-1615550762047-4a71e057e4f95b741b1b0182751b478d.jpg,Asiana Lovina Hotel and Karaoke,Hotel,Buleleng Buleleng,Jalan Lovina. Dusun Banyualit. Desa Kalibukbuk. Kec. Buleleng. Kab. Buleleng. Bali. Indonesia,Belum ada rating,243825,495000,-8.157495,115.039155,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-8.156495000000001,115.039155&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-8.157495,115.039155",https://www.tiket.com/hotel/indonesia/asiana-lovina-hotel-and-karaoke-203001551429847651?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=2&soldOut=false
439,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/7eb83fa4-c37e-4a06-aa6c-02882e94ce04-1604134907060-d5a6b0b34d86f9b396e8df9901b3c1ad.jpg,RedDoorz Plus @ Singaraja,Hotel,Buleleng Buleleng,Jl. Natuna. Penarukan. Kec. Buleleng. Kabupaten Buleleng. Bali 81155,4.4,165363,267670,-8.085821,115.114892,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-8.084821,115.114892&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-8.085821,115.114892",https://www.tiket.com/hotel/indonesia/reddoorz-plus-singaraja-208001565077510437?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=2&soldOut=false
440,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/12/28/89ebcdb1-e837-4faf-8d01-3c19bd3c6152-1640688332432-97d59f97906add31a3597de9e02d20c4.jpg,Collection O 90805 Aditya Beach Resort And Spa,Hotel,Buleleng Buleleng,Singaraja. Parma hotel. Jalan Seririt-Singaraja. Kaliasem. Bali. 00362. Indonesia. Bali,4.2,164000,256000,-8.132512,115.060936,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-8.131512,115.060936&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-8.132512,115.060936",https://www.tiket.com/hotel/indonesia/collection-o-90805-aditya-beach-resort-and-spa-412001638953523852?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=2&soldOut=false
