,Hotel Image,Hotel Name,Tipe Properti,City,Address,Hotel Rating,Min,Max,Lattitute,Longitude,Map Link,Hotel Link
319,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/14/6df9a866-5f5d-4f88-a398-968299b54f53-1602661870341-62d30f5a3b5904e7ac0bbddf83e5130c.jpg,Pari Solata Seaview Homestay Syariah,Guest House,Kepulauan Seribu Selatan Kepulauan Seribu,Jl. Jalan Dermaga Pulau Pari no.2. Pulau Pari. Kec. Kepulauan Seribu Selatan. Kel. Pulau Pari,3.5,349999,709201,-5.858170032501221,106.62001037597656,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-5.85717003250122,106.62001037597656&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-5.858170032501221,106.62001037597656",https://www.tiket.com/hotel/indonesia/pari-solata-seaview-homestay-syariah-310001602355659892?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=2&soldOut=false
320,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/a3cb68b5-c62a-4e7a-97f3-4d124e23d198-1604120509868-e25b54b2317c10fc1cf3c19b68c8782e.jpg,Pulau Tidung Sera Homestay,Homestay,Kepulauan Seribu Selatan Kepulauan Seribu,Tidung Island. South Kepulauan Seribu. Kepulauan Seribu Regency. Jakarta. Indonesia,4.3,300000,350000,-5.7984519,106.5005529,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-5.7974518999999995,106.5005529&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-5.7984519,106.5005529",https://www.tiket.com/hotel/indonesia/sera-homestay-pulau-tidung-109001537352171813?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=2&soldOut=false
321,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/02/18/eee91110-90c2-426b-b624-510213629b49-1645185320559-cb0cd2adcccf3cb26d6604ab1237801c.jpg,Fadila Homestay RedPartner,Guest House,Kepulauan Seribu Utara Kepulauan Seribu,Pulau panggang RT 02/03. Pulau Panggang. Kepulauan Seribu Utara. Kab. Administrasi Kepulauan Seribu. Daerah Khusus Ibukota Jakarta 14530. Indonesia,Belum ada rating,251406,455000,-5.738747,106.600396,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-5.737747,106.600396&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-5.738747,106.600396",https://www.tiket.com/hotel/indonesia/fadila-homestay-redpartner-502001645167906770?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=2&soldOut=false
322,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/12/15/a86153ca-e35d-42a5-b6ea-0957ca54884c-1639544119879-802237f7bcd4bb2988542600a1ca8907.jpg,Arwana Homestay Syariah RedPartner,Hotel,Kepulauan Seribu Selatan Kepulauan Seribu,2PC4+XWV. Untungjawa Island. South Kepulauan Seribu. Kepulauan Seribu Regency. Jakarta. Indonesia,Belum ada rating,251892,1164800,-5.977501,106.707247,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-5.976501,106.707247&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-5.977501,106.707247",https://www.tiket.com/hotel/indonesia/arwana-homestay-syariah-redpartner-412001639976778690?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=2&soldOut=false
323,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/12/24/17fef9db-56d1-443e-a0e4-eb297f709283-1640333428496-aaea8b68e20132f793472b171aee13c8.jpg,Harapan Solata Homestay Syariah,Hotel,Kepulauan Seribu Utara Kepulauan Seribu,Jalan Ikan Marlin RT 02 RW 01 26,3.0,564160,819999,-5.6528000831604,106.5765609741211,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-5.6518000831604,106.5765609741211&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-5.6528000831604,106.5765609741211",https://www.tiket.com/hotel/indonesia/harapan-solata-homestay-syariah-310001602351473555?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=2&soldOut=false
324,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/02/23/6fbeed8e-ef98-49fa-a561-3965a592521f-1645613123712-09924926aed0e56f819b5426b6b59ea6.jpg,Mutiara Tidung Resort ,Bungalow,Kepulauan Seribu Selatan Kepulauan Seribu,Jln. Pantai Timur Rt.07 Rw.02 Kelurahan Pulau Tidung .Kecamatan Kepulauan Seribu Selatan . Kabupaten Administrasi Kepulauan Seribu . DKI Jakarta,4.0,171389,536250,-5.801558,106.506782,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-5.800558,106.506782&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-5.801558,106.506782",https://www.tiket.com/hotel/indonesia/mutiara-tidung-resort--310001603794196123?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=2&soldOut=false
325,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/5a31c1ba-62a6-45d0-b344-fc594bf3027b-1615562784061-b465037d01bffc835b0d23865e91ef9e.jpg,Kamar Pluit By Beranda Istirahat,Guest House,Penjaringan Jakarta Utara,Jl. Pluit Tim. Raya No.11B. RT.10/RW.9. Pluit. Kec. Penjaringan. Kota Jkt Utara. Daerah Khusus Ibukota Jakarta 14450,3.4,202500,225000,-6.119089,106.793696,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-6.1180889999999994,106.793696&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-6.119089,106.793696",https://www.tiket.com/hotel/indonesia/kamar-pluit-by-beranda-istirahat-310001602362371760?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=2&soldOut=false
326,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/10/16/7f9556f1-1299-46d9-9d3c-13abdf5c778c-1634366424953-f736c44b7a36c46aa0aad7365e94a5f9.jpg,Grandboutique-Inn,Apartment,Penjaringan Jakarta Utara,grandboutique-inn.Jl. Pluit karang ayu blok B1 Utara Greenbay Pluit Tower B-LGM-30 North Jakarta. 14450. Indonesia,3.5,475500,475500,-6.108740999999999,106.7788116,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-6.107740999999999,106.7788116&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-6.108740999999999,106.7788116",https://www.tiket.com/hotel/indonesia/grandboutiqueinn-405001621303691129?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=2&soldOut=false
327,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/09/16/37f2f8cd-eabe-4e5c-9b1b-016d4e513f5a-1663299941564-04bb5d106077c589dd9a7971804121b0.jpg,Studio Apartemen Baywalk Green Bay Pluit Estetika Nyaman,Apartment,Penjaringan Jakarta Utara,l. Pluit Karang Ayu 1 No.B1. RT.20/RW.2. Pluit. Kec. Penjaringan. Kota Jkt Utara. Daerah Khusus Ibukota Jakarta 14450,Belum ada rating,268000,268000,-6.108622,106.778157,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-6.107622,106.778157&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-6.108622,106.778157",https://www.tiket.com/hotel/indonesia/studio-apartemen-baywalk-green-bay-pluit-estetika-nyaman-509001663299931179?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=2&soldOut=false
328,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/cfc2ace5-5a8b-48fa-a746-a34c9682fd7e-1603886167024-c857c98231cfa4c0125871d49442767a.jpg,Neo Hotel Mangga Dua by ASTON,Hotel,Ancol Jakarta Utara,<p>Gunung Sahari Raya no.1. Rukan Mangga Dua Square Blok A No. 10</p>,4.1,357689,553212,-6.135813,106.830974,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-6.134812999999999,106.830974&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-6.135813,106.830974",https://www.tiket.com/hotel/indonesia/neo-hotel-mangga-dua-108001534490302487?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=2&soldOut=false
