,Hotel Image,Hotel Name,Tipe Properti,City,Address,Hotel Rating,Min,Max,Lattitute,Longitude,Map Link,Hotel Link
90,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/12/10/1a9ee311-120f-40a6-9d45-48f33055adcb-1639082457528-1581dc20e03150f42cda7021779776b4.jpg,Charaka Residence,Hotel,Dieng Wonosobo,Jl. Dieng No.13. Krajan. Dieng Kulon. Kec. Batur. Kab. Banjarnegara. Jawa Tengah,3.7,300000,750000,-7.202985,109.905053,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-7.201985,109.905053&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-7.202985,109.905053",https://www.tiket.com/hotel/indonesia/charaka-residence-504001650252941109?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=1&soldOut=alse
91,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/04/12/3d778d3a-6814-459f-bdd2-fcc08d1da73a-1649717732446-705c06fc4c328e7f1501145748d3a5f1.jpg,Turu Hostel Syariah,Homestay,Pucang Banjarnegara,Remembe RT 03 RW 07. Pucang. Bawang. Banjarnegara,5.0,87274,152726,-7.401333,109.661466,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-7.400333,109.661466&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-7.401333,109.661466",https://www.tiket.com/hotel/indonesia/turu-hostel-syariah-504001649467589507?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=1&soldOut=alse
92,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/03/22/fac8b115-64b7-46a7-818e-35daa5712de3-1647945932895-05cce219cda8a54ed0afee36eaf6ec13.jpg,RedDoorz Syariah near Komplek Candi Arjuna Dieng 2,Guest House,Banjarnegara,Jl. Telaga Warna No.168. Dieng. Kejajar. Kabupaten Wonosobo. Jawa Tengah 56354. Indonesia,4.5,137592,360297,-7.206518,109.911781,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-7.205518,109.911781&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-7.206518,109.911781",https://www.tiket.com/hotel/indonesia/reddoorz-syariah-near-komplek-candi-arjuna-dieng-2-501001641541541324?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=1&soldOut=alse
93,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/12/24/c162e1b5-d5a8-44ae-8a9f-798c9dee9333-1640338827607-82f9ed004ec5b66407779e1bfa124123.jpg,Tani Jiwo Hostel Dieng,Guest House,Banjarnegara,JL Raya Dieng Rt 03 /03 Dieng Kulon,4.0,97073,399600,-7.20293,109.903314,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-7.20193,109.903314&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-7.20293,109.903314",https://www.tiket.com/hotel/indonesia/tani-jiwo-hostel-dieng-108001534490365178?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=1&soldOut=alse
94,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/04/14/3bce473b-cbef-4e9c-afc5-f7b9e562501d-1649906143465-35fc9d30a4fecb3e08df501597afb380.jpg,Homestay Merpati Dieng Syariah RedPartner,Hotel,Banjarnegara,Jl. Telaga Warna No.168. RT.003/RW.001. Dieng. wonosobo. Kabupaten Wonosobo. Jawa Tengah 56354. Indonesia,4.4,214461,346922,-7.206149,109.911612,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-7.205149,109.911612&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-7.206149,109.911612",https://www.tiket.com/hotel/indonesia/homestay-merpati-dieng-syariah-redpartner-504001650878313604?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=1&soldOut=alse
95,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/08/05/bdccda24-3159-466c-8e89-c677133b9b54-1659678346135-c0faa65c5483f2d37ec39b8b93359f39.jpg,Homestay Nakula Sadewa,Homestay,Banjarnegara,Jl. Telaga Warna RT 4 RW 1. Dieng. Kec. Kejajar. Kabupaten Wonosobo. Jawa Tengah,Belum ada rating,163764,300000,-7.207458,109.911926,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-7.206458,109.911926&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-7.207458,109.911926",https://www.tiket.com/hotel/indonesia/homestay-nakula-sadewa-508001659689155099?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=1&soldOut=alse
96,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/08/05/6fd493e6-79c7-4493-9ebe-2368cba68781-1659677135006-889dbe8909a14950c9ef7406ef058fde.jpg,Homestay Nakula Sadewa 2,Homestay,Banjarnegara,Jl. Telaga Warna RT 4 RW 1( depan SD Dieng ). Dieng. Kec. Kejajar. Kabupaten Wonosobo. Jawa Tengah,Belum ada rating,250000,250000,-7.209679,109.911688,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-7.208679,109.911688&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-7.209679,109.911688",https://www.tiket.com/hotel/indonesia/homestay-nakula-sadewa-2-508001659689447945?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=1&soldOut=alse
97,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/05/07/a589b13b-b023-4c9f-a43e-58bbfe856b73-1651926921327-f2b5c9a510d78b5cbf7ce0e0aa8784da.jpg,Diekul Potato Homestay by Luxury Degree,Homestay,Pasurenan Banjarnegara,QWX4+JPF. Krajan. Dieng Kulon. Kec. Batur. Kab. Banjarnegara. Jawa Tengah,Belum ada rating,309999,319999,-7.210109,109.848466,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-7.209109,109.848466&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-7.210109,109.848466",https://www.tiket.com/hotel/indonesia/diekul-potato-homestay-by-luxury-degree-505001652089688164?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=1&soldOut=alse
98,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/04/04/fcb5a1b7-cad6-4a42-abeb-0b5aafc9adb2-1649042129373-f389baa64a5cd3a35aca94c25fecd498.jpg,Kurnia Pandawa Homestay Syariah by Luxury Degree,Homestay,Banjarnegara,Dieng Kulon RT 03 RW 03. Banjarnegara. Jawa Tengah. Indonesia. Banjarnegara,Belum ada rating,320000,320000,-7.202131,109.905225,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-7.201130999999999,109.905225&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-7.202131,109.905225",https://www.tiket.com/hotel/indonesia/kurnia-pandawa-homestay-syariah-by-luxury-degree-504001649135973943?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=1&soldOut=alse
99,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/01/19/acc4b5e6-10c6-4f01-8299-21bcdf01f775-1642571125806-52d4ad144769fdee90627e614e83145b.jpg,Tikako Cottage,Cottage,Banjarmangu Banjarnegara,Dusun I. Kalilunjar. Banjarmangu. Banjarnegara. Central Java,4.1,388000,388000,-7.331235,109.710535,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-7.330235,109.710535&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-7.331235,109.710535",https://www.tiket.com/hotel/indonesia/tikako-cottage-501001642571150335?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=1&soldOut=alse
