,Hotel Image,Hotel Name,Tipe Properti,City,Address,Hotel Rating,Min,Max,Lattitute,Longitude,Map Link,Hotel Link
1,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/7093c3e9-0d69-44a9-8010-3c51c0b7e8d1-1604151059629-dcf20fc2e2ddcdaf5afd53bb8cfbe34a.jpg,MaxoneHotels at Dharmahusada Surabaya,Hotel,Gubeng Surabaya,Jl. Dharmahusada No.189. Mojo. Gubeng. Kota SBY. Jawa Timur 60285. Indonesia,4.3,375000,1230000,-7.2674349,112.7711245,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-7.266434899999999,112.7711245&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-7.2674349,112.7711245",https://www.tiket.com/hotel/indonesia/maxonehotels-at-dharmahusada-surabaya-108001534490348837?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=1&soldOut=alse
2,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/05/10/161d0e43-e474-41ab-9b39-806d503b85ac-1620621307658-21c39a0b15596c6f50602bc986143452.jpg,D Carol Hotel Surabaya,Hotel,Bubutan Surabaya,Jl. Gundih No. 8. Gundih. Kec. Bubutan. Kota Surabaya. Jawa Timur. Indonesia,4.3,195000,230000,-7.247228,112.72946,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-7.2462279999999994,112.72946&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-7.247228,112.72946",https://www.tiket.com/hotel/indonesia/d-carol-hotel-surabaya-412001639107378535?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=1&soldOut=alse
3,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/01/78f1cc53-fab5-42dc-a48a-654585d2b9af-1604170357265-18dda4c6f1b8a909db85a6966faf43b0.jpg,Choice City Hotel,Hotel,Bubutan Surabaya,Bubutan. Surabaya City. East Java 60174. Indonesia,4.4,259200,360000,-7.25599,112.733686,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-7.254989999999999,112.733686&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-7.25599,112.733686",https://www.tiket.com/hotel/indonesia/choice-city-hotel-108001534490376040?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=1&soldOut=alse
4,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/09/14/00618b5d-7451-4ccf-9ad8-b0271403f279-1631591122423-8be985e7bbdda20f68b9cd0b6ae0e62f.jpg,G Suites Hotel By AMITHYA,Hotel,Gubeng Surabaya,Jl. Raya Gubeng No.43. Gubeng. Kec. Gubeng. Kota SBY. Jawa Timur,4.0,350000,2300000,-7.273623,112.747475,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-7.272622999999999,112.747475&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-7.273623,112.747475",https://www.tiket.com/hotel/indonesia/g-suites-surabaya-by-amithya-108001534490324500?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=1&soldOut=alse
5,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/09/30/926a9e4c-cd11-47ec-b0d8-529aae29a977-1632992723027-a7610ba2da86cce645bd67e088af4806.jpg,Livinn Taman Melati Surabaya,Hotel,Mulyorejo Surabaya,Jl. Mulyorejo Utara No.201. RT.006/RW.001. Mulyorejo. Kec. Mulyorejo. Mulyorejo. Surabaya. Jawa Timur. Indonesia. 60115,4.2,224999,249999,-7.261569,112.78547,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-7.260568999999999,112.78547&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-7.261569,112.78547",https://www.tiket.com/hotel/indonesia/livinn-taman-melati-surabaya-410001633025234697?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=1&soldOut=alse
6,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/01/10/a80c76c4-f3df-4c5f-8d9e-804e46aa3029-1610251521716-b02af7092e8d9278dcafd2689eadbec3.jpg,Hotel Great Diponegoro Surabaya,Hotel,Wonokromo Surabaya,Jalan Diponegoro No.215. Surabaya. Jawa Timur 60241,4.3,320000,620000,-7.279568,112.730086,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-7.278568,112.730086&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-7.279568,112.730086",https://www.tiket.com/hotel/indonesia/hotel-great-diponegoro-surabaya-402001613719815965?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=1&soldOut=alse
7,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/01/698b37f1-f06f-4497-9894-b25789322801-1604178059944-03515eda333baac64bd43a20bbbfde50.jpg,Arimbi Stay,Hotel,Gayungan Surabaya,Jl. Cipta Menanggal Utara 66 Surabaya,4.2,262200,440000,-7.341528,112.721507,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-7.340528,112.721507&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-7.341528,112.721507",https://www.tiket.com/hotel/indonesia/arimbi-stay-412001639107218351?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=1&soldOut=alse
8,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/10/10/13c97e13-df98-4977-aac1-cf1f97974095-1665370006277-10b2bd1ab11c968139084afd753ca50f.jpg,Cleo Hotel Basuki Rahmat Surabaya,Hotel,Genteng Surabaya,Jl. Jenderal Basuki Rachmat No.11. Embong Kaliasin. Kec. Genteng. Kota SBY. Jawa Timur,4.0,308000,318000,-7.263531,112.741318,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-7.262531,112.741318&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-7.263531,112.741318",https://www.tiket.com/hotel/indonesia/cleo-hotel-basuki-rahmat-surabaya-412001639641650556?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=1&soldOut=alse
9,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/03/28/897c677b-c4ff-4c7f-a0f5-ccdc77ce1970-1648433500619-e0d81ad07c3651ce9b3c855b658acc35.jpg,ASTON Inn Jemursari,Hotel,Wonocolo Surabaya,Jl. Sidosermo II No. 70. Surabaya,4.5,393278,1562500,-7.311514,112.749716,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-7.3105139999999995,112.749716&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-7.311514,112.749716",https://www.tiket.com/hotel/indonesia/aston-inn-jemursari-408001628583494550?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=1&soldOut=alse
10,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/464b29ed-123a-4d56-9e70-a5c9d80d2b61-1603896600804-55a4d043761ab173053fe65ad5a4428a.jpg,Varna Culture Hotel Tunjungan Surabaya,Hotel,Genteng Surabaya,Jalan Tunjungan No.51,4.2,285032,1888000,-7.259055,112.739016,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-7.258055,112.739016&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-7.259055,112.739016",https://www.tiket.com/hotel/indonesia/varna-culture-hotel-tunjungan-surabaya-108001534490321068?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=1
