,Hotel Image,Hotel Name,Tipe Properti,City,Address,Hotel Rating,Min,Max,Lattitute,Longitude,Map Link,Hotel Link
230,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/a646ae2c-8ba0-46a1-8dbb-9973bdad0bb6-1615548909527-f6595ec9b277943e76320f183a481cad.jpg,OYO 1240 Hotel Pantai Jaya,Hotel,Pangandaran Pangandaran,Jl. Kidang Pananjung No.65. Pangandaran. Jawa Barat 46396. Indonesia. Pangandaran,3.5,127151,320833,-7.695668,108.658078,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-7.694668,108.658078&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-7.695668,108.658078",https://www.tiket.com/hotel/indonesia/oyo-1240-hotel-pantai-jaya-208001565239505902?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=1&soldOut=false
231,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/0e3361c8-1af9-40ee-b6ff-e5023dfa4395-1604119507166-07ffaf5c03e191cfcfabbbdecc2e46c8.jpg,Rose Inn Pangandaran,Hotel,Pangandaran Pangandaran,Jl. Kidang Pananjung No.119. Pangandaran. Kec. Pangandaran. Pangandaran. Jawa Barat,3.7,164623,329245,-7.694772,108.657879,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-7.693772,108.657879&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-7.694772,108.657879",https://www.tiket.com/hotel/indonesia/rose-inn-pangandaran-412001639986526246?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=1&soldOut=false
232,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/a75f6792-b31e-448b-a754-68ae4fb6fbcb-1615544734519-f47d306dfff74d97dfc8a004780268c8.jpg,OYO 1525 Benson Hotel,Hotel,Pangandaran Pangandaran,Wonoharjo. Pangandaran. Ciamis Regency. West Java. Pangandaran,3.5,118388,412500,-7.684519,108.621971,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-7.6835189999999995,108.621971&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-7.684519,108.621971",https://www.tiket.com/hotel/indonesia/oyo-1525-benson-hotel-209001568781906432?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=1&soldOut=false
233,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/06/10/c11dc1c0-c751-4c78-bb84-17ea1f5baa8d-1623321912517-c8103df5601c654724a7cbc0d28a5589.jpg,RedDoorz Syariah near Sunrise Park Pangandaran,Hotel,Pangandaran Pangandaran,Jl. Pengadilan Lama No.45. Pangandaran. Kec. Pangandaran. Pangandaran. Jawa Barat 46396. Indonesia,3.6,124967,182700,-7.692968,108.662478,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-7.691967999999999,108.662478&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-7.692968,108.662478",https://www.tiket.com/hotel/indonesia/reddoorz-syariah-near-sunrise-park-pangandaran-412001639108008635?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=1&soldOut=false
234,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/12/10/64ff9bb1-3717-4c29-835a-7255b4206c18-1639131921420-449031a0612af16c21a67abaa72c674d.jpg,Pondok Sundawa 2 Pangandaran RedPartner,Hotel,Sidamulih Pangandaran,Jl. Pamugaran No.10. Cikembulan. Kec. Pangandaran. Kab. Pangandaran. Jawa Barat 46365. Indonesia,3.7,87400,184950,-7.684428,108.621111,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-7.683427999999999,108.621111&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-7.684428,108.621111",https://www.tiket.com/hotel/indonesia/pondok-sundawa-2-pangandaran-redpartner-412001639976476777?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=1&soldOut=false
235,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/09/30/f9ca09e7-64e6-4a27-aeb3-183ac78d5027-1632986119851-69a819091c7ff93de360854a44497664.jpg,Yokima Beach Hotel,Properti,Pangandaran Pangandaran,Jl. Kidang Pananjung 262. Pantai Timur Pangandaran. Pangandaran. Kabupaten Pangandaran. Jawa Barat,4.5,257050,257050,-7.703406,108.658235,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-7.702406,108.658235&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-7.703406,108.658235",https://www.tiket.com/hotel/indonesia/yokima-beach-hotel-406001624955540627?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=1&soldOut=false
236,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/06/20/24249f1d-7c34-4374-8832-cc77e0b79651-1655691922641-0adff4c19794e702e2659aec9ec2415a.jpg,AHLEN Pangandaran Hotel & Resto,Guest House,Pangandaran Pangandaran,Jl. Prapat No. 503. Pangandaran. Kec. Pangandaran. Kab. Pangandaran. Jawa Barat,4.5,242500,2182500,-7.69167,108.65877,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-7.69067,108.65877&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-7.69167,108.65877",https://www.tiket.com/hotel/indonesia/ahlen-pangandaran-hotel-resto-506001656056844260?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=1&soldOut=false
237,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/07/14/d2f7fc3b-052d-4ec0-8506-584c8ecf3031-1626254718442-b05c9ad318d4ba0e447bed27ecd2ef41.jpg,RedDoorz near Pantai Barat Pangandaran 2,Hotel,Pangandaran Pangandaran,Jl. Kidang Pananjung No.168. Pangandaran. Kec. Pangandaran. Pangandaran. Jawa Barat 46396. Indonesia,4.4,200408,226539,-7.698394,108.657624,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-7.697394,108.657624&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-7.698394,108.657624",https://www.tiket.com/hotel/indonesia/reddoorz-near-pantai-barat-pangandaran-2-412001639108010763?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=1&soldOut=false
238,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/01/14/bbbeb54e-193a-454e-ba46-d7d945277de8-1642144528691-c422752ac9a0c114ac5f528437ed53ca.jpg,Nayyla Homestay,Homestay,Cijulang Pangandaran,Jalan Pantai Indah Legok Pari Batukaras Cijulang Pangandaran. 46394,3.0,184950,217500,-7.742987,108.478167,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-7.741987,108.478167&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-7.742987,108.478167",https://www.tiket.com/hotel/indonesia/nayyla-homestay-212001576573211054?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=1&soldOut=false
239,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/09/10/8cf82704-17e8-41c0-ad06-5f089d903f06-1599698370783-02025309e211539e8b7624f347f91d8b.jpg,Panorama A La Plage Guest House,Guest House,Pangandaran Pangandaran,Jalan Pamugaran No. 1. Boulevard. Pantai Barat,4.0,130000,400001,-7.6875200271606445,108.64723205566406,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-7.686520027160644,108.64723205566406&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-7.6875200271606445,108.64723205566406",https://www.tiket.com/hotel/indonesia/panorama-a-la-plage-guest-house-306001593184654911?checkin=2022-10-11&checkout=2022-10-12&room=1&adult=1&soldOut=false
