,Hotel Image,Hotel Name,Tipe Properti,City,Address,Hotel Rating,Min,Max,Lattitute,Longitude,Map Link,Hotel Link
577,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/01/e7402d9e-187f-4c0e-837c-d76f0174b865-1604174487628-689c96f4712171d94f807eedb6789187.jpg,Sacca Residence & Resto,Hotel,Pandawai Sumba Timur,Jl. S. Parman No.88. Tandarotu. Prailiu. Kota Waingapu. Kabupaten Sumba Timur. Nusa Tenggara Tim. 87113,3.7,207858,254277,-9.6637027,120.271478,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-9.6627027,120.271478&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-9.6637027,120.271478",https://www.tiket.com/hotel/indonesia/sacca-residence-resto-210001570415423120?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
578,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/06/25/e6c2d00b-427f-4603-9f78-4633936c2b5c-1656172525274-708ceeb1c19bf7e72885563dc8f82ae5.jpg,LOPE Homestay,Guest House,Waingapu Sumba Timur,Jl. Pulau Flores - Kambajawa - Waingapu - Sumba Timur,Belum ada rating,320407,350000,-9.667428,120.243919,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-9.666428,120.243919&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-9.667428,120.243919",https://www.tiket.com/hotel/indonesia/lope-homestay-507001656902597993?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
579,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/04/11/949ccc6f-07db-4d59-ab59-87279dabbb91-1649655327799-f43bebef13f9a37df1b30e438ac24e82.jpg,RedDoorz @ Waikabubak Sumba,Hotel,Kota Waikabubak Sumba Barat,Jl. Ahmad Yani No.101. Wailiang. Kec. Kota Waikabubak. Kabupaten Sumba Barat. Nusa Tenggara Tim.. Indonesia,4.3,438734,595350,-9.636693,119.408415,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-9.635693,119.408415&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-9.636693,119.408415",https://www.tiket.com/hotel/indonesia/reddoorz-waikabubak-sumba-504001649840837060?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
580,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/03/21/97fe0329-aec4-495e-b4cd-11ddf1275748-1647834929969-e43784a7c8c4fa6d635c1bf1dd090e30.jpg,Shekinah Homestay & Cafe RedPartner,Hotel,Kota Waikabubak Sumba Barat,Gg. Teratai No.2. RT.11/RW.06. Kp. Sawah. Kec. Kota Waikabubak. Kabupaten Sumba Barat. Nusa Tenggara Tim. 84213. Indonesia,Belum ada rating,283052,289170,-9.635998,119.420231,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-9.634998000000001,119.420231&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-9.635998,119.420231",https://www.tiket.com/hotel/indonesia/shekinah-homestay-cafe-redpartner-503001647863301593?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
581,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/ad196948-a618-4d87-91af-6b47bf54c86c-1615556123177-881d7496ba778dd2b2656ff9a1111526.jpg,Hotel Pasola,Hotel,Tambolaka Sumba Barat Daya,Jalan Soeharto. Radamata. Loura. Tambolaka. Sumba Barat Daya. Nusa Tenggara Timur,4.0,286650,365000,-9.412886,119.244397,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-9.411886,119.244397&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-9.412886,119.244397",https://www.tiket.com/hotel/indonesia/hotel-pasola-211001573122619097?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
582,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/ca748285-1e24-4042-adfa-ea754170552c-1615558990498-afc3c85101f37e50011c1a66cb3e1b1d.jpg,OYO 1682 Greenia Hotel,Hotel,Kupang Utara Kupang,Jl Hati Mulia V. RT 06A RW 002. Oebobo. Kota Kupang. Nusa Tenggara Tim. Kupang,3.6,92385,254121,-10.168242,123.600962,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-10.167242,123.600962&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-10.168242,123.600962",https://www.tiket.com/hotel/indonesia/oyo-1682-greenia-hotel-210001570516218214?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
583,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/91529472-fad5-434b-adc4-2f39ff264b6f-1604133736718-53f51963f4d568d317f48d646b4b571a.jpg,OYO 967 Cajoma Guesthouse,Hotel,Komodo Manggarai Barat,Jl Pantai Pede Km 4. Gorontalo. Labuan Bajo. East Nusa Tenggara. Kabupaten Manggarai Barat,3.7,176665,488428,-8.521097,119.873289,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-8.520097,119.873289&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-8.521097,119.873289",https://www.tiket.com/hotel/indonesia/oyo-967-cajoma-guesthouse-207001562847946400?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
584,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/08/09/3d31fad5-5fc8-4617-9ce6-a6267946b27f-1660064123590-ad0bc0f579fe5c61fe536e7af7ebc9b2.jpg,SPOT ON 91212 Hotel Kelimutu,Hotel,Kupang Utara Kupang,85229. Jl. Gn. Kelimutu No.38 RW.04. Merdeka. Kec. Kota Lama. Kota Kupang. Nusa Tenggara Tim. 85225. Indonesia. Kupang,1.2,65805,180780,-10.162735,123.583048,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-10.161735,123.583048&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-10.162735,123.583048",https://www.tiket.com/hotel/indonesia/spot-on-91212-hotel-kelimutu-505001651718950987?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
585,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/29/5c78734c-204c-4877-af9b-e0a7070f144d-1603925482450-70bbd50dcdc8c946a480e4311df2cbe9.jpg,CF Komodo Hotel,Hotel,Komodo Manggarai Barat,Jl. Alo Tanis. Labuan Bajo. Komodo. Labuan Bajo. Komodo. Kabupaten Manggarai Barat. Nusa Tenggara Tim.. Indonesia,3.2,342334,426667,-8.491549,119.881769,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-8.490549,119.881769&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-8.491549,119.881769",https://www.tiket.com/hotel/indonesia/cf-komodo-hotel-108001534518245399?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
586,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/09/28/082fb6fb-4b00-4354-9acf-c5ac97a01755-1632764924865-694c1ff13c7d9368664dd1bb642a164f.jpg,Sylvia Hotel Budget,Hotel,Kota Raja Kupang,Naikoten I. Raja City. Kupang City. East Nusa Tenggara. Indonesia,3.7,302001,412096,-10.181155,123.600593,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-10.180155000000001,123.600593&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-10.181155,123.600593",https://www.tiket.com/hotel/indonesia/sylvia-hotel-budget-206001560504469817?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
