,Hotel Image,Hotel Name,Tipe Properti,City,Address,Hotel Rating,Min,Max,Lattitute,Longitude,Map Link,Hotel Link
770,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/0e6b82b0-7e56-4b5e-8d12-ac17a6125bb3-1604153503002-f9e967f1577ce942bc1ffe524b7e43a6.jpg,Muara Inn Ternate,Hotel,Ternate Tengah Ternate,Jl. Seruni. Kp. Pisang. Ternate Tengah. Kota Ternate. Maluku Utara 97712. Indonesia,3.7,310000,800000,0.783474,127.382627,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=0.784474,127.382627&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|0.783474,127.382627",https://www.tiket.com/hotel/indonesia/muara-inn-ternate-205001557476741139?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
771,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/33db59ed-b0cc-4bb3-9a03-ea7554d0279f-1615544156064-7f48c90dda2781729f42ff80321324f8.jpg,RedDoorz near Taman Kota Ternate,Guest House,Ternate Selatan Ternate,Jalan Sweering Mangga Dua. Mangga Dua. Ternate Sel.. Kota Ternate. Maluku Utara. Indonesia,4.0,180414,237405,0.771774,127.376871,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=0.772774,127.376871&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|0.771774,127.376871",https://www.tiket.com/hotel/indonesia/reddoorz-near-taman-kota-ternate-410001633440731346?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
772,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/12/06/c6dc7b0f-e68a-4089-bc0a-a7c80b18e38b-1638786922525-4e6d66b3249b479f9ae87a80cf545617.jpg,RedDoorz Plus @ Grand Tabona Hotel Ternate,Hotel,Ternate Selatan Ternate,Jl. Tugu Maku Gawene. Kayu Merah. Ternate Sel.. Kota Ternate. Maluku Utara 97711. Indonesia,4.4,190242,330750,0.768056,127.366644,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=0.769056,127.366644&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|0.768056,127.366644",https://www.tiket.com/hotel/indonesia/reddoorz-plus-grand-tabona-hotel-ternate-507001657873889113?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
773,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/01/19/f4860ec2-52d1-4f73-9a57-f15f87839792-1611021082352-4c128180535c3809a53c71f8d82afce0.jpg,Ternate City Hotel,Hotel,Ternate Tengah Ternate,Jalan Nuku No 1 Ternate. Ternate Tengah. Ternate. Maluku Utara. Indonesia,3.4,275000,545000,0.783139,127.388091,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=0.784139,127.388091&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|0.783139,127.388091",https://www.tiket.com/hotel/indonesia/hotel-ternate-city-210001572015620758?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
774,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/6dffefc1-18d3-47fa-a985-e878aca3c5f8-1604141155063-0f2f9372f71c45cde5f4d82788413682.jpg,RedDoorz near Pantai Falajawa Ternate,Hotel,Ternate Tengah Ternate,Jl. Sultan Nuku no. 100. Muhajirin. Ternate Tengah. Kota Ternate. Maluku Utara,3.4,298988,298988,0.783403,127.387872,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=0.784403,127.387872&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|0.783403,127.387872",https://www.tiket.com/hotel/indonesia/reddoorz-near-pantai-falajawa-ternate-410001633440626795?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
775,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/08/11/4bb09ffc-92fa-40d7-a4b5-faff1d61be28-1660191939225-109959c734ec282ef70cced819814698.jpg,Hotel Karunia 2 Jailolo,Hotel,Jailolo Halmahera Barat,Jl. Baru. Kec. Jailolo. Kabupaten Halmahera Barat. Maluku Utara 91131. Indonesia,Belum ada rating,585585,1041885,1.068399,127.467316,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=1.069399,127.467316&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|1.068399,127.467316",https://www.tiket.com/hotel/indonesia/hotel-karunia-2-jailolo-508001660211726005?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
776,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/4d41dbfe-4352-4a8b-9d3b-0c8813c1c971-1604129898295-efbd590912b3346afc55d52aba2b0aa6.jpg,Archie Hotel 2,Hotel,Ternate Tengah Ternate,Jl. Sultan Nuku No.6. Muhajirin. Ternate Tengah. Kota Ternate. Maluku Utara. Indonesia,3.8,315000,315000,0.783639,127.38663,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=0.784639,127.38663&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|0.783639,127.38663",https://www.tiket.com/hotel/indonesia/archie-hotel-2-412001639107216672?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
777,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/bbb03901-b844-434c-ac23-d25c67e53152-1603882806602-5bf1979e266387515b8d09cdc70aec34.jpg,Dragon Palace Hotel by Amazing,Hotel,Ternate Utara Ternate,Jalan Pemuda No. 144 A Koloncucu. Toboleu. Ternate. Kota Ternate. Maluku Utara 97726. Indonesia,4.3,388125,644000,0.808888,127.385114,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=0.809888,127.385114&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|0.808888,127.385114",https://www.tiket.com/hotel/indonesia/dragon-palace-hotel-by-amazing-108001534490297471?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
778,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/06/23/c336c490-9438-4131-8653-299c58c144a6-1655965521930-b2e5ae2cd29429a0eb57fa7a94eafe21.jpg,Hotel Asna 2 Pusat Kota Halmahera Barat,Hotel,Jailolo Halmahera Barat,Acango. Jailolo. West Halmahera Regency. North Maluku 97711. Indonesia,5.0,324750,573300,1.097673,127.476883,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=1.0986729999999998,127.476883&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|1.097673,127.476883",https://www.tiket.com/hotel/indonesia/hotel-asna-2-pusat-kota-halmahera-barat-506001656060415422?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
779,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/d0049f8d-2389-488e-9264-e8181e64a0cf-1604138806064-e3ee60228ec75b2e0745085f9cfeb9b8.jpg,Aini Homestay Ternate,Hotel,Ternate Utara Ternate,Jl. Toboleu Koloncucu Gipsy No. 45/703. Kelurahan. RT.16/RW.06. Toboleu. Ternate Utara. Kota Ternate. Maluku Utara,3.5,151999,400000,0.807052,127.384006,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=0.808052,127.384006&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|0.807052,127.384006",https://www.tiket.com/hotel/indonesia/aini-homestay-ternate-209001567673106194?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
