,Hotel Image,Hotel Name,Tipe Properti,City,Address,Hotel Rating,Min,Max,Lattitute,Longitude,Map Link,Hotel Link
840,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/feb032b7-58b5-4043-9d8b-8ff7e19da956-1604144479023-41262191aa51d435741ffad391a78b47.jpg,Sunrise Hotel,Hotel,Kota Timur Gorontalo,Jl. Kasuari I No.50. Heledulaa Sel.. Kota Tim.. Kota Gorontalo. Gorontalo 96134. Indonesia,3.8,263157,263157,0.538075,123.063839,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=0.539075,123.063839&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|0.538075,123.063839",https://www.tiket.com/hotel/indonesia/sunrise-hotel-210001571802314327?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
841,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/12/10/37b6baaf-c54a-4e72-a6a5-b469f70c60f4-1639092631044-6636fb8ad39d8ff21831916c45524efe.jpg,Hotel Sumber Ria,Hotel,Kota Selatan Gorontalo,Budi Utomo Street. No. 7. Kota Selatan. Kota Gorontalo. Gorontalo. Indonesia. 96115,4.0,190000,280000,0.54359,123.059616,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=0.54459,123.059616&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|0.54359,123.059616",https://www.tiket.com/hotel/indonesia/hotel-sumber-ria-202001551286898402?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
842,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/432f0296-f65a-4f3b-a90b-018d673da073-1615548346379-46cf5d7d7fba5c8902980cbf48cbeab4.jpg,RedDoorz near TVRI Gorontalo,Hotel,Kota Tengah Gorontalo,Jl. Prof. Dr. H.B. Jassin No.248. Dulalowo. Kota Tengah. Kota Gorontalo. Sulawesi Utara,2.8,215250,215250,0.560413,123.047887,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=0.561413,123.047887&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|0.560413,123.047887",https://www.tiket.com/hotel/indonesia/reddoorz-near-tvri-gorontalo-208001565255796868?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
843,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/06/02/735a118b-c379-4598-ac88-1894808bf512-1654150119404-303567485a1706fa9caeb60be7f04d8e.jpg,New Melati Hotel,Hotel,Hulonthalangi Gorontalo,Jalan Wolter Monginsidi No. 01 Kota Gorontalo,Belum ada rating,372000,372000,0.530111,123.058668,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=0.531111,123.058668&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|0.530111,123.058668",https://www.tiket.com/hotel/indonesia/new-melati-hotel-509001663919730483?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
844,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/cbe00b7b-fc54-479e-a27c-8f6c2e9c2b76-1615541128686-1fd8de8b400dcc0f00e43d21ca17dcf9.jpg,RedDoorz Syariah near RSUD Ainun Habibie Gorontalo,Hotel,Telaga Gorontalo,Jl. Asparaga No. 6 Limboto (Kompl. Mall. Dutulanaa. Limboto. Kota Gorontalo. Sulawesi Utara,3.4,184320,218880,0.625705,122.99133,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=0.626705,122.99133&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|0.625705,122.99133",https://www.tiket.com/hotel/indonesia/reddoorz-syariah-near-rsud-ainun-habibie-gorontalo-306001591702284820?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
845,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/05/15/6e1d58d6-9129-4bd0-a003-dfcf5281e994-1652595920672-1fbaf4f05ed81600bc41309a1eea4efd.jpg,Zanur Bandara Hotel by Kazeem,Hotel,Tibawa Gorontalo,Jl. Bandara Jalaludin. Kecamatan Tibawa. Kabupaten Gorontalo. Desa Tolotio,5.0,300000,300000,0.641855,122.845845,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=0.642855,122.845845&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|0.641855,122.845845",https://www.tiket.com/hotel/indonesia/zanur-bandara-hotel-by-kazeem-505001652849217841?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
846,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/29/1d8c8d2f-54a9-487e-9525-3b4180735a4c-1603920060015-bc6624eeefc44f57ff1925410d991ea8.jpg,Wisma 88 Gorontalo,Guest House,Kota Timur Gorontalo,jalan sawah besar no 88,3.1,200001,249999,0.551447,123.064272,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=0.552447,123.064272&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|0.551447,123.064272",https://www.tiket.com/hotel/indonesia/wisma-88-gorontalo-108001534490380368?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
847,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/c69b01ab-d3ca-4d82-91ad-c56688796e87-1615563858790-2acc8112655460f2bfb334c307429125.jpg,The One Hotel Gorontalo RedPartner,Hotel,Sipatana Gorontalo,Jl. Tondano No.64. Bulotada Tim.. Kec. Sipatana. Kota Gorontalo. Gorontalo 96124. Indonesia,2.5,166691,326300,0.574667,123.059363,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=0.575667,123.059363&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|0.574667,123.059363",https://www.tiket.com/hotel/indonesia/the-one-hotel-gorontalo-redpartner-412001639108166585?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
848,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/05/12/a34e8711-0807-447d-a921-c0ac77d44389-1652340318967-355a98569d08bcc98a0c16ca22f3313d.jpg,Julista House,Hotel,Tilamuta Boalemo,Modelomo. Tilamuta. Boalemo Regency. Gorontalo 96263. Indonesia,5.0,152950,322560,0.522371,122.346379,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=0.523371,122.346379&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|0.522371,122.346379",https://www.tiket.com/hotel/indonesia/julista-house-506001654591559295?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
849,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/11/01/de78c7e9-40cf-4069-b9bb-be7d160acab7-1635747925579-fb6fe1afdf058680198d9f78e2c1b4f9.jpg,RedDoorz @ Karema Area Mamuju,Hotel,Mamuju Mamuju,Wisma Pondok Aisyah. Jalan Soekarno Hatta. Karema. Mamuju Regency. West Sulawesi. Indonesia,4.4,157355,252720,-2.694157,118.87781,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=-2.6931570000000002,118.87781&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|-2.694157,118.87781",https://www.tiket.com/hotel/indonesia/reddoorz-karema-area-mamuju-411001636359392799?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
