,Hotel Image,Hotel Name,Tipe Properti,City,Address,Hotel Rating,Min,Max,Lattitute,Longitude,Map Link,Hotel Link
1163,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/10/18/82adfe7d-f2aa-41a6-ab22-368b143d41c0-1634563844846-804bb3cb94854f84eac5ffdebaa06dd9.jpg,Freddies Santai Sumurtiga,Resort,Sabang,Jl. Bahagia. Skajaya. Sabang,4.2,308750,463777,5.8909101486206055,95.34078216552734,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=5.891910148620606,95.34078216552734&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|5.8909101486206055,95.34078216552734",https://www.tiket.com/hotel/indonesia/freddies-santai-sumurtiga-408001629345080710?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
1164,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/be0e5220-0501-485b-86f2-bc82131c11cc-1604131378637-8de3b0792c76f3d1f5eea3b732baa8fb.jpg,GM Inn Hotel Aceh,Hotel,Kuta Alam Banda Aceh,Jl. Khairil Anwar No.15-19. Peunayong. Kuta Alam. Kota Banda Aceh. Aceh 24415. Indonesia,3.9,267896,464129,5.557882,95.321038,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=5.5588820000000005,95.321038&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|5.557882,95.321038",https://www.tiket.com/hotel/indonesia/gm-inn-hotel-206001559549830787?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
1165,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/12/27/9e46612a-3ddb-412c-b515-8674b301ae9d-1640575525352-cee8e25ce53d9b4a7f6496e3adfd9030.jpg,Plum Hotel Lading Banda Aceh,Hotel,Baiturrahman Banda Aceh,Jalan Cut Meutia 19. Kampung Baru. Kec Baiturrahman. Kota Banda Aceh. Aceh,4.2,359999,410000,5.555826,95.317267,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=5.556826,95.317267&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|5.555826,95.317267",https://www.tiket.com/hotel/indonesia/plum-hotel-lading-banda-aceh-412001638926149102?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
1166,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/0e23fa3d-8bd0-46a8-8b43-e80ae83d63be-1604149776905-8a03d86ec6d73ae7894407f9c329166d.jpg,RedDoorz Syariah @ Sumur Tiga Beach Sabang,Hotel,Sukajaya Sabang,Jl. K.H. Agus Salim No.3. Ujong Kareung. Sukajaya. Kota Sabang. Aceh,3.6,233920,233920,5.887755,95.344051,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=5.888755000000001,95.344051&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|5.887755,95.344051",https://www.tiket.com/hotel/indonesia/reddoorz-syariah-sumur-tiga-beach-sabang-208001566384306438?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
1167,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/6114d334-c495-460e-aece-5fb2574dd1f1-1604131614105-962098d07d5b3b4587f75071d13927c9.jpg,OYO 854 UB Caisar Hotel,Hotel,Syiah Kuala Banda Aceh,Jl. Teuku Nyak Arief No 17-24. Lamgugob. Syiah Kuala. Kota Banda Aceh. Aceh 23114. Indonesia. Banda Aceh,3.0,149019,298787,5.579585,95.353817,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=5.580585,95.353817&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|5.579585,95.353817",https://www.tiket.com/hotel/indonesia/oyo-854-ub-caisar-hotel-205001558091149846?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
1168,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/c4a6a24c-ce7a-480b-8598-ed972adc1aef-1604158227955-7264bac0c236d53aec0e9f7b287445b8.jpg,Mita Mulia Hotel,Hotel,Syiah Kuala Banda Aceh,Jl. Teuku Nyak Arief No.23. Kec. Syiah Kuala. Kota Banda Aceh. Aceh. Indonesia,3.4,280000,603000,5.572208,95.365385,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=5.573208,95.365385&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|5.572208,95.365385",https://www.tiket.com/hotel/indonesia/mita-mulia-hotel-301001580108416937?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
1169,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/5fcb5c73-f5d7-4068-96eb-793268230acf-1615548948580-8ded9baf9d058adfccae719f8b00fc25.jpg,RedDoorz Syariah @ Panglima Nyak Makam Aceh,Hotel,Syiah Kuala Banda Aceh,Jl. Tj. III No.4a. Ie Masen Kaye Adang. Kec. Syiah Kuala. Kota Banda Aceh. Aceh . Indonesia,4.1,276250,276250,5.559574,95.345204,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=5.560574,95.345204&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|5.559574,95.345204",https://www.tiket.com/hotel/indonesia/reddoorz-syariah-panglima-nyak-makam-aceh-410001633440130397?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
1170,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/b475d784-b193-46ca-89fa-977edbddef2d-1615559488255-b3b198047c416c02b34ca6bc28c9d56f.jpg,Capital O 2018 Ring Road Guest House Syariah,Hotel,Lueng Bata Banda Aceh,Jl. AMD Manunggal XLI No.17. Banda Aceh,3.6,123233,341879,5.532257,95.336528,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=5.533257000000001,95.336528&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|5.532257,95.336528",https://www.tiket.com/hotel/indonesia/capital-o-2018-ring-road-guest-house-syariah-507001657515480595?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
1171,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/096b2ded-c93b-4e02-8e70-bda44ef0624a-1604148610813-b19757dc10687ea36710f97bbc690a05.jpg,RedDoorz Syariah near Suzuya Mall Banda Aceh,Hotel,Banda Raya Banda Aceh,Jl. Sultan Malikul Saleh No.93. Lam Lagang. Kec. Banda Raya. Kota Banda Aceh. Aceh 23231. Indonesia,3.7,163546,263453,5.533529,95.316884,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=5.534529,95.316884&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|5.533529,95.316884",https://www.tiket.com/hotel/indonesia/reddoorz-syariah-near-suzuya-mall-banda-aceh-410001633440372504?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
1172,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/09/22/1a6bcafb-4610-4c5c-bdcc-cdd30f918723-1632296117765-c02f9676b26ce60461a3a1d05fea81d6.jpg,OYO 90618 Hanania House,Hotel,Langsa,Langsa . Langsa Kota. Langsa. Aceh. Indonesia. Langsa,4.2,99753,290236,4.472535,97.975634,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=4.473535,97.975634&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|4.472535,97.975634",https://www.tiket.com/hotel/indonesia/oyo-90618-hanania-house-412001639107896173?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
1173,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/28319fe3-1875-4483-aca7-e68897e9bc9d-1615558536760-93a82e979e53145c1496285ca965b991.jpg,SPOT ON 2134 Seunia Hotel,Hotel,Syiah Kuala Banda Aceh,Jl. Teuku Nyak Arief. Banda Aceh,3.4,107533,743462,5.572755,95.356022,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=5.573755,95.356022&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|5.572755,95.356022",https://www.tiket.com/hotel/indonesia/spot-on-2134-seunia-hotel-211001574658907577?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
1174,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/03/17/3de4f0d3-2b05-424a-a257-bb229f82e136-1647528034188-8ca0da1cc97a5265ca62884388efe71c.jpg,RedDoorz Syariah near Banda Aceh Convention Hall,Hotel,Syiah Kuala Banda Aceh,'Jalan Bintara' 'Jalan Bintara Pineung No.35',5.0,161539,225000,5.568699836730957,95.3465576171875,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=5.569699836730957,95.3465576171875&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|5.568699836730957,95.3465576171875",https://www.tiket.com/hotel/indonesia/reddoorz-syariah-near-banda-aceh-convention-hall-506001654584994936?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
1175,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/c63f65c3-deaf-469e-9958-290fa4f2bfa9-1615562576653-a92984eb297dded24771a793ca4e8ee2.jpg,RedDoorz Syariah near RSUD Zainoel Abidin Banda Aceh,Hotel,Kuta Alam Banda Aceh,Jl. Pati. Keuramat. Kec. Kuta Alam. Kota Banda Aceh. Aceh 24415,4.4,269800,332605,5.563792,95.328279,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyB67q8ThLbgVsPCbfRoWQSEusBjpnj8Bus&center=5.564792000000001,95.328279&zoom=15&size=560x130&maptype=roadmap&markers=|icon:https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/tix-hotel/static/2021/01/04/bdfe4915-e5ba-49b3-af26-d83965625530-1609757621407-783f2d783ff4034d48e4bd9f9ff91bff.png|5.563792,95.328279",https://www.tiket.com/hotel/indonesia/reddoorz-syariah-near-rsud-zainoel-abidin-banda-aceh-308001596773740290?checkin=2022-10-17&checkout=2022-10-18&room=1&adult=2&soldOut=false
