"Name","Fulladdress","Street","Municipality","Categories","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening hours","Featured image","Cid","Place Id"
"Warung Kopi Dasar Tumpak Sewu","QW98+2QG, Wonokerto, Sidorenggo, Kec. Ampelgading, Kabupaten Malang, Jawa Timur 65183","QW98+2QG","Wonokerto, Sidorenggo","Restoran Indonesia","","","NO",15,4.2,"https://search.google.com/local/reviews?placeid=ChIJS4pyOfgT1i0R4LBQDYrpbBw&q=warung+dekat+air+terjun+tumpak+sewu&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=2048268709684883680",-8.2324251,112.91695879999999,"","","Kamis:[07.00-21.00], Jumat:[07.00-21.00], Sabtu:[07.00-21.00], Minggu:[07.00-21.00], Senin:[07.00-21.00], Selasa:[07.00-21.00], Rabu:[07.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipMVC5ARN5kYoovJFpMnm2yDUA3iyqUiiE2Zg_dg=w80-h100-k-no","2048268709684883680","ChIJS4pyOfgT1i0R4LBQDYrpbBw"
"Warung Ndeso Tumpak Sewu Semeru","Krajan, Sidomulyo, Kec. Pronojiwo, Kabupaten Lumajang, Jawa Timur 67374","Krajan, Sidomulyo","Kec. Pronojiwo","Rumah Makan","0813-7083-5118","0813-7083-5118, +62 813-7083-5118","YES",8,4.9,"https://search.google.com/local/reviews?placeid=ChIJP6StKx8V1i0RqkkM2CWnI7w&q=warung+dekat+air+terjun+tumpak+sewu&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=13556863084295637418",-8.2298732,112.92009859999999,"","","Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam], Rabu:[Buka 24 jam]","https://lh5.googleusercontent.com/p/AF1QipOjZoHYcPw8GmcgfK9DQfj8O7NhnorbwnulVjQO=w122-h92-k-no","13556863084295637418","ChIJP6StKx8V1i0RqkkM2CWnI7w"
"Warung Aji","Parkir tumpak sewu, Sidomulyo, Besukcukit, Sidomulyo, Kec. Pronojiwo, Kabupaten Lumajang, Jawa Timur 67374","Parkir tumpak sewu, Sidomulyo","Besukcukit, Sidomulyo","Rumah Makan","0812-4908-9538","0812-4908-9538, +62 812-4908-9538","YES",4,4.8,"https://search.google.com/local/reviews?placeid=ChIJN8feBCUT1i0REiK2c0c3fMU&q=warung+dekat+air+terjun+tumpak+sewu&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=14230309702607446546",-8.230305099999999,112.9201617,"","","Kamis:[06.00-19.00], Jumat:[06.00-19.00], Sabtu:[06.00-19.00], Minggu:[06.00-20.00], Senin:[06.00-19.00], Selasa:[06.00-19.00], Rabu:[06.00-19.00]","https://lh5.googleusercontent.com/p/AF1QipM-zWlsSeZ5EM13wHKMMkWwTb1gz6fAQgtXgDZE=w80-h142-k-no","14230309702607446546","ChIJN8feBCUT1i0REiK2c0c3fMU"
"Warung Anugrah","QW99+PXQ, Besukcukit, Sidomulyo, Kec. Pronojiwo, Kabupaten Lumajang, Jawa Timur 67374","QW99+PXQ","Besukcukit, Sidomulyo","Restoran","0853-3123-8963","0853-3123-8963, +62 853-3123-8963","NO",2,5,"https://search.google.com/local/reviews?placeid=ChIJ6Xhx-38T1i0R-fEIy-AxK7U&q=warung+dekat+air+terjun+tumpak+sewu&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=13054582786412311033",-8.2306589,112.9199984,"","","Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam], Rabu:[Buka 24 jam]","https://lh5.googleusercontent.com/p/AF1QipPelLxSH6GnxHsZ7fr-_Nr20feiwOhjaw4l2YV-=w122-h92-k-no","13054582786412311033","ChIJ6Xhx-38T1i0R-fEIy-AxK7U"
"Warung JANUR","QW99+XW5, Besukcukit, Sidomulyo, Kec. Pronojiwo, Kabupaten Lumajang, Jawa Timur 67374","QW99+XW5","Besukcukit, Sidomulyo","Restoran","","","NO","","","","https://www.google.com/maps?cid=17202725177172760769",-8.2301164,112.9198462,"","","","","17202725177172760769","ChIJOe_ubL4T1i0RwRgNmmdbvO4"
"Warung Rujak","QW9C+R2P, Besukcukit, Sidomulyo, Kec. Pronojiwo, Kabupaten Lumajang, Jawa Timur 67374","QW9C+R2P","Besukcukit, Sidomulyo","Restoran","","","NO","","","","https://www.google.com/maps?cid=13717626259542716961",-8.2304123,112.92006909999999,"","","","https://lh5.googleusercontent.com/p/AF1QipMxIFgqyoryW7DHdxoQmWVmF6TRKXcUG2BJe4hs=w80-h142-k-no","13717626259542716961","ChIJlUk9vOQT1i0RITKdaWfMXr4"
"Warung Rokhim","QWC9+XWJ, Besukcukit, Sidomulyo, Kec. Pronojiwo, Kabupaten Lumajang, Jawa Timur 67374","QWC9+XWJ","Besukcukit, Sidomulyo","Warung nasi","","","NO","","","","https://www.google.com/maps?cid=4347151558365968982",-8.2275359,112.9197664,"","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pc5r5F6djE0Uq9m-1-LjTg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=187.64897&pitch=0&thumbfov=100","4347151558365968982","ChIJVbnQLzIV1i0RVnowZU8vVDw"
"WARUNG LESEHAN KLOPO KEMBAR","Jl. Raya Dampit-Lumajang No.16, Krajan, Sidomulyo, Kec. Pronojiwo, Kabupaten Lumajang, Jawa Timur 67374","Jl. Raya Dampit-Lumajang No.16","Krajan, Sidomulyo","Restoran","0822-6469-6251","0822-6469-6251, +62 822-6469-6251","YES",14,4.7,"https://search.google.com/local/reviews?placeid=ChIJfVPG7AAT1i0RXg00cQEPpTg&q=warung+dekat+air+terjun+tumpak+sewu&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=4081685136149843294",-8.2310526,112.9230309,"","","Kamis:[06.00-22.00], Jumat:[Tutup], Sabtu:[06.00-22.00], Minggu:[06.00-22.00], Senin:[06.00-22.00], Selasa:[06.00-22.00], Rabu:[06.00-22.00]","https://lh5.googleusercontent.com/p/AF1QipOLufl0GnIMl-Wr7J1A33q9xmCfblNL71fiw_bG=w163-h92-k-no","4081685136149843294","ChIJfVPG7AAT1i0RXg00cQEPpTg"
"Warung Tombo Luwe","QWG8+2QM, Jl. Raya Dampit-Lumajang, Krajan, Sidomulyo, Kec. Pronojiwo, Kabupaten Lumajang, Jawa Timur 67374","QWG8+2QM","Jl. Raya Dampit-Lumajang","Rumah Makan","","","NO",19,3.8,"https://search.google.com/local/reviews?placeid=ChIJm2zi4gUU1i0RmRCz2yrFXdc&q=warung+dekat+air+terjun+tumpak+sewu&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=15518776678853841049",-8.2249199,112.9169283,"","","Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam], Rabu:[Buka 24 jam]","https://lh5.googleusercontent.com/p/AF1QipNWZjS-3s6rbDS2gnTE2KZIIWGvSvPQsQDrytov=w80-h106-k-no","15518776678853841049","ChIJm2zi4gUU1i0RmRCz2yrFXdc"
"Warung Pojok Panorama Tumpak Sewu","Jl. Raya Dampit-Lumajang No.16, Besukcukit, Sidomulyo, Kec. Pronojiwo, Kabupaten Lumajang, Jawa Timur 67374","Jl. Raya Dampit-Lumajang No.16","Besukcukit, Sidomulyo","Kafe","0853-3104-8135","0853-3104-8135, +62 853-3104-8135","YES",10,4.7,"https://search.google.com/local/reviews?placeid=ChIJY47M91gT1i0R2AENSEl1GAI&q=warung+dekat+air+terjun+tumpak+sewu&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=150999545118786008",-8.2319088,112.9180985,"","","Kamis:[07.00-18.00], Jumat:[07.00-18.00], Sabtu:[07.00-18.00], Minggu:[07.00-18.00], Senin:[07.00-18.00], Selasa:[07.00-18.00], Rabu:[07.00-18.00]","https://lh5.googleusercontent.com/p/AF1QipM0yRAVzgzis36Vu8RMtET2178juVHmXGWxkqJB=w163-h92-k-no","150999545118786008","ChIJY47M91gT1i0R2AENSEl1GAI"
