"Name","Fulladdress","Street","Municipality","Categories","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening hours","Featured image","Cid","Place Id"
"Warung nasi uduk Bu eni","9CW5+HPF, Kp Jl. Muhara, Ciladaeun, Kec. Lebakgedong, Kabupaten Lebak, Banten 42372","9CW5+HPF","Kp Jl. Muhara","Restoran Nasi Uduk","","","NO",2,3,"https://search.google.com/local/reviews?placeid=ChIJY1WCDD5xQi4RSPdIMoIqyD0&q=warung+dekat+arung+jeram+sungai+ciberang&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=4451854970333493064",-6.603561999999999,106.40930499999999,"","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pg3AC9Hak25ah8W3iXbTjQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=282.94592&pitch=0&thumbfov=100","4451854970333493064","ChIJY1WCDD5xQi4RSPdIMoIqyD0"
"Warung nasi ibu rosta","Jl. Raya Cipanas desa No.km 14, Pajagan, Kec. Sajira, Kabupaten Lebak, Banten 42371","Jl. Raya Cipanas desa No.km 14","Pajagan","Warung nasi","","","NO","","","","https://www.google.com/maps?cid=1325078137497549575",-6.41189,106.33279999999999,"","","","https://lh5.googleusercontent.com/p/AF1QipMrxcmZGOAJlb3ZYjWdSj5nT_tqkPzfcFErXSc=w163-h92-k-no","1325078137497549575","ChIJ0YGdfP4TQi4RB3stpYufYxI"
"SMPN 1 Lebakgedong","Warung Banten, Jl. Raya Cipanas No.Km. 10, Ciladaeun, Kec. Lebakgedong, Kab. Lebak, Banten 42372","Warung Banten","Jl. Raya Cipanas No.Km. 10","Sekolah","","","NO",2,5,"https://search.google.com/local/reviews?placeid=ChIJe7PEUwlxQi4RFS13mPs1QD8&q=warung+dekat+arung+jeram+sungai+ciberang&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=4557702177609952533",-6.6039471999999995,106.4104069,"","","","https://lh5.googleusercontent.com/p/AF1QipOXDXcIR3INNfALD-MkxEQbCLCR_FjPivJ33Qw=w122-h92-k-no","4557702177609952533","ChIJe7PEUwlxQi4RFS13mPs1QD8"
"tks","G8X7+J83, Ptp, Mekarsari, Kec. Sajira, Kabupaten Lebak, Banten 42371","G8X7+J83","Ptp","Restoran","0811-727-889","0811-727-889, +62 811-727-889","NO",4,3.3,"https://search.google.com/local/reviews?placeid=ChIJ6blwsO8SQi4R3uKyhIZNEGQ&q=warung+dekat+arung+jeram+sungai+ciberang&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=7210348243567436510",-6.4509903,106.3132954,"","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=J0w743jFMTz1A457m086gA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=358.724&pitch=0&thumbfov=100","7210348243567436510","ChIJ6blwsO8SQi4R3uKyhIZNEGQ"
"D'VARA CAFE","Jl. Rt Hardiwinangun No.16, Muara Ciujung Tim., Kec. Rangkasbitung, Kabupaten Lebak, Banten 42312","Jl. Rt Hardiwinangun No.16","Muara Ciujung Tim.","Restoran,Kedai Kopi,Kafe","0877-7293-6363","0877-7293-6363, +62 877-7293-6363","YES",522,4.3,"https://search.google.com/local/reviews?placeid=ChIJ9z71l9UWQi4RdRU7e7uOsKE&q=warung+dekat+arung+jeram+sungai+ciberang&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=11650969171884971381",-6.3599402,106.248544,"","","Kamis:[09.00-00.00], Jumat:[09.00-00.00], Sabtu:[09.00-00.00], Minggu:[09.00-00.00], Senin:[09.00-00.00], Selasa:[09.00-00.00], Rabu:[09.00-00.00]","https://lh5.googleusercontent.com/p/AF1QipOC7LjtgWl8EG2wS7ikuf1ypSIROMioDgr-4Bou=w80-h106-k-no","11650969171884971381","ChIJ9z71l9UWQi4RdRU7e7uOsKE"
"Catering Rangkas (LEBAK)","Kp. Ranca Gawe, Rt 003/002 , Desa Aweh, Kec Kalanganyar, Aweh, Kec. Kalanganyar, Kabupaten Lebak, Banten 42312","Kp. Ranca Gawe, Rt 003/002 , Desa Aweh, Kec Kalanganyar","Aweh","Restoran Seafood","0858-1414-3334","0858-1414-3334, +62 858-1414-3334","NO",85,3.9,"https://search.google.com/local/reviews?placeid=ChIJ11OSctkWQi4RPfAPVbAvcac&q=warung+dekat+arung+jeram+sungai+ciberang&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=12065477311090126909",-6.3631975,106.2367876,"","","Kamis:[07.00-23.00], Jumat:[07.00-23.00], Sabtu:[07.00-23.00], Minggu:[Buka 24 jam], Senin:[07.00-23.00], Selasa:[07.00-23.00], Rabu:[07.00-23.00]","https://lh5.googleusercontent.com/p/AF1QipMCgQy0zGu7UYvImKLYfsVsBnyAXvjQf0uQZJap=w152-h92-k-no","12065477311090126909","ChIJ11OSctkWQi4RPfAPVbAvcac"
"Dinas Koperasi dan UKM","J6MW+PHR, Rangkasbitung Bar., Kec. Rangkasbitung, Kabupaten Lebak, Banten 42312","J6MW+PHR","Rangkasbitung Bar.","Restoran","","","NO","","","","https://www.google.com/maps?cid=16779722742155587140",-6.365649899999999,106.246399,"","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=i2Xl4jHo-PlPUMVl3hj29Q&cb_client=search.gws-prod.gps&w=80&h=92&yaw=218.47673&pitch=0&thumbfov=100","16779722742155587140","ChIJfzZ93EMXQi4RRC66Y-6M3eg"
"Lahan Riza","59H3+PVG, Cicarucub, Neglasari, Kec. Cibeber, Kabupaten Lebak, Banten 42394","59H3+PVG","Cicarucub","Restoran","0816-629-722","0816-629-722, +62 816-629-722","NO",2,5,"https://search.google.com/local/reviews?placeid=ChIJL7f0uRyHQi4R4ER9Gdnf5gU&q=warung+dekat+arung+jeram+sungai+ciberang&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=425273338361627872",-6.8206945999999995,106.3547172,"","","","","425273338361627872","ChIJL7f0uRyHQi4R4ER9Gdnf5gU"
"Warung Zirra","Jl. Raya Korelet Gang Ambon No. 26 Desa Ranca Kalapa, RT02/RW04, Kec. Panongan, Kabupaten Tangerang, Banten 15710","Jl. Raya Korelet Gang Ambon No. 26 Desa Ranca Kalapa","RT02/RW04","Rumah Makan,Pujasera","","","YES",18,4.8,"https://search.google.com/local/reviews?placeid=ChIJdbJSRD8HQi4ReddBTB7OOoI&q=warung+dekat+arung+jeram+sungai+ciberang&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=9384039403103573881",-6.2935254,106.5284406,"https://gofood.link/a/AZn9Dn3","gofood.link","Kamis:[10.00-22.00], Jumat:[10.00-22.00], Sabtu:[10.00-22.00], Minggu:[10.00-22.00], Senin:[10.00-22.00], Selasa:[10.00-22.00], Rabu:[10.00-22.00]","https://lh5.googleusercontent.com/p/AF1QipO5np0tJdau_0jBCNgi_SkdCVhXexuP0E1ukFzV=w132-h92-k-no","9384039403103573881","ChIJdbJSRD8HQi4ReddBTB7OOoI"
"Warung nasi uduk Elvan","Jl. Raya Jasinga Koleang, kp.baru, Kec. Cisarua, Kabupaten Bogor, Jawa Barat 16670","Jl. Raya Jasinga Koleang","kp.baru","Dapur Umum","0857-7401-0262","0857-7401-0262, +62 857-7401-0262","YES","","","","https://www.google.com/maps?cid=1195783838532954210",-6.449913,106.4234783,"","","Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam], Rabu:[Buka 24 jam]","https://lh5.googleusercontent.com/p/AF1QipOqLb_BTyM7VTEUHEL1ASQVz5ZiyaC4cFwzv8tq=w163-h92-k-no","1195783838532954210","ChIJ4Yi2AjkNQi4RYujoyxBHmBA"
