"Name","Fulladdress","Street","Municipality","Categories","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening hours","Featured image","Cid","Place Id"
"Sup Iga dan Senerek Mr. Yos","47QQ+PGX, Jl. Pringgading, Pringgading, Guwosari, Kec. Pajangan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55751","47QQ+PGX","Jl. Pringgading","Restoran Sup","","","NO",11,5,"https://search.google.com/local/reviews?placeid=ChIJ0X5Flvr5ei4RU4t7LYNou1g&q=warung+dekat+curug+pulosari&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=6393819008595626835",-7.8606459,110.28886399999999,"","","Kamis:[06.30-20.00], Jumat:[06.30-20.00], Sabtu:[06.30-20.00], Minggu:[06.30-20.00], Senin:[06.30-20.00], Selasa:[06.30-20.00], Rabu:[06.30-20.00]","https://lh5.googleusercontent.com/p/AF1QipMeAxvD-snyhr35Rh8-V_LMc4gf8dp1OqOP2HFT=w163-h92-k-no","6393819008595626835","ChIJ0X5Flvr5ei4RU4t7LYNou1g"
"Pawon 168","Ndalem Pulosari Kav 67, Krebet RT02, Krebet, Sendangsari, Kec. Pajangan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55751","Ndalem Pulosari Kav 67, Krebet RT02","Krebet, Sendangsari","Restoran","","","YES",4,4,"https://search.google.com/local/reviews?placeid=ChIJ51AA2Cz5ei4RQWdkbmNNAE8&q=warung+dekat+curug+pulosari&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=5692635018445481793",-7.8606466,110.2888646,"","","Kamis:[07.00-22.00], Jumat:[07.00-22.00], Sabtu:[07.00-22.00], Minggu:[13.00-22.00], Senin:[07.00-22.00], Selasa:[07.00-22.00], Rabu:[07.00-22.00]","https://lh5.googleusercontent.com/p/AF1QipPepczQlQl1qrFcHlKK2x0548cdcRvo-gvhINYp=w122-h92-k-no","5692635018445481793","ChIJ51AA2Cz5ei4RQWdkbmNNAE8"
"Ayam Bakar Geprek 168","47QQ+QGG, Krebet, RT.02, Krebet, Sendangsari, Kec. Pajangan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55751","47QQ+QGG","Krebet","Restoran Masakan Ayam","0819-0408-4782","0819-0408-4782, +62 819-0408-4782","NO",8,5,"https://search.google.com/local/reviews?placeid=ChIJd7WZ7rT5ei4RoCMmKWvFZGs&q=warung+dekat+curug+pulosari&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=7738527123771892640",-7.8605585,110.2888306,"","","Kamis:[09.00-21.00], Jumat:[09.00-21.00], Sabtu:[09.00-23.00], Minggu:[Tutup], Senin:[09.00-21.00], Selasa:[09.00-21.00], Rabu:[09.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipMDLWPsQuxxYLKBpgkq4LmylE6Zc8VV71mo2OGv=w163-h92-k-no","7738527123771892640","ChIJd7WZ7rT5ei4RoCMmKWvFZGs"
"Warung bubur Bu Yati","48W6+G98, Jl. Daniswara, Bibis, Guwosari, Kec. Pajangan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55751","48W6+G98","Jl. Daniswara","Restoran Bubur,Rumah Makan","","","NO",327,4.6,"https://search.google.com/local/reviews?placeid=ChIJX0txu5P4ei4RyX_jRrP275M&q=warung+dekat+curug+pulosari&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=10660010092858146761",-7.853719099999999,110.31095839999999,"","","Kamis:[06.00-19.30], Jumat:[06.00-19.30], Sabtu:[06.00-19.30], Minggu:[06.00-19.30], Senin:[06.00-19.30], Selasa:[06.00-19.30], Rabu:[06.00-19.30]","https://lh5.googleusercontent.com/p/AF1QipPzQ3DWJ4JhW6vEyE_oATgmafNUxnMvtv9OzpSE=w122-h92-k-no","10660010092858146761","ChIJX0txu5P4ei4RyX_jRrP275M"
"Angkringan Rizky Pojok Ndeso","47R7+342, Jl. Kayuhan-Sudimoro, Kayuan Wetan, Triwidadi, Kec. Pajangan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55751","47R7+342","Jl. Kayuhan-Sudimoro","Restoran","0895-3775-99846","0895-3775-99846, +62 895-3775-99846","NO",64,4.7,"https://search.google.com/local/reviews?placeid=ChIJQb9A3rz5ei4RQI4xUURLrBE&q=warung+dekat+curug+pulosari&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=1273475551431069248",-7.8598509,110.262766,"","","Kamis:[10.00-22.10], Jumat:[10.00-22.10], Sabtu:[10.00-22.10], Minggu:[10.00-22.10], Senin:[10.00-22.10], Selasa:[10.00-22.10], Rabu:[10.00-22.10]","https://lh5.googleusercontent.com/p/AF1QipPJ8iEIjV9p64EdL5A-eYUkoiUHvAY1YSwfDPoH=w122-h92-k-no","1273475551431069248","ChIJQb9A3rz5ei4RQI4xUURLrBE"
"Ndalem Pulosari","47QQ+QMF, Krebet, Sendangsari, Kec. Pajangan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55751","47QQ+QMF","Krebet, Sendangsari","Pembangunan Perumahan","0856-4758-3259","0856-4758-3259, +62 856-4758-3259","NO",23,4.5,"https://search.google.com/local/reviews?placeid=ChIJ80PTtOD4ei4RnqVgwMJfKh4&q=warung+dekat+curug+pulosari&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=2173655060215539102",-7.860551,110.2891827,"","","Kamis:[08.00-16.00], Jumat:[08.00-16.00], Sabtu:[08.00-16.00], Minggu:[09.00-15.00], Senin:[08.00-16.00], Selasa:[08.00-16.00], Rabu:[08.00-16.00]","https://lh5.googleusercontent.com/p/AF1QipPPbm4kKdrZg5no3I1VSS5g-Rzqrjs0a0I7TD9D=w122-h92-k-no","2173655060215539102","ChIJ80PTtOD4ei4RnqVgwMJfKh4"
"Jurang Pulosari","47QP+JR8, Sendangsari, Pajangan, Krebet, Sendangsari, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55751","47QP+JR8","Sendangsari, Pajangan","Tujuan Wisata,Taman Rekreasi Air","","","NO",147,4,"https://search.google.com/local/reviews?placeid=ChIJtZmtkeD4ei4Rt9B84D6Ndzk&q=warung+dekat+curug+pulosari&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=4140933683584225463",-7.8609615999999995,110.2870897,"","","Kamis:[06.00-18.00], Jumat:[06.00-18.00], Sabtu:[06.00-18.00], Minggu:[06.00-18.00], Senin:[06.00-18.00], Selasa:[06.00-18.00], Rabu:[06.00-18.00]","https://lh5.googleusercontent.com/p/AF1QipPf2eNSNAaEuVSuPByjVzlTOywq6Ih2il1oR2TB=w122-h92-k-no","4140933683584225463","ChIJtZmtkeD4ei4Rt9B84D6Ndzk"
"Kedai Simbok","Kamijoro, Sendangsari, Kec. Pajangan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55751","Kamijoro, Sendangsari","Kec. Pajangan","Restoran","0852-1892-8495","0852-1892-8495, +62 852-1892-8495","YES",1,5,"https://search.google.com/local/reviews?placeid=ChIJ_-mKPyb5ei4R-WaQTtc-bG8&q=warung+dekat+curug+pulosari&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=8028861330151728889",-7.882837899999999,110.2704301,"","","Kamis:[06.00-21.00], Jumat:[06.00-21.00], Sabtu:[06.00-21.00], Minggu:[06.00-21.00], Senin:[06.00-21.00], Selasa:[06.00-21.00], Rabu:[06.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipMm6Ty8pCfUDgYCyfjQhDXkygOlKHn7PHvI73Ou=w122-h92-k-no","8028861330151728889","ChIJ_-mKPyb5ei4R-WaQTtc-bG8"
"Warung Prasmanan Lawasan","Jl. Jend. Sudirman, Badegan, Bantul, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55711","Jl. Jend. Sudirman","Badegan, Bantul","Restoran Jawa,Kedai Sarapan,Restoran Prasmanan","0813-2863-4909","0813-2863-4909, +62 813-2863-4909","YES",229,4.5,"https://search.google.com/local/reviews?placeid=ChIJxQF_xv9Vei4RLBwLGSpORnU&q=warung+dekat+curug+pulosari&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=8450527693523065900",-7.880808,110.33300399999999,"https://lawasan.business.site/","lawasan.business.site","Kamis:[07.00-14.00], Jumat:[07.00-14.00], Sabtu:[07.00-14.00], Minggu:[Tutup], Senin:[07.00-14.00], Selasa:[07.00-14.00], Rabu:[07.00-14.00]","https://lh3.googleusercontent.com/gps-proxy/AGL7lfA6bSz3Dd8uEiUb6U4HzDWekSkNs0IHQ_7VWOVE2Yyb2NInOe7ADGr1RVHlHfESwC2O5TcJh1nZs6VHBQAQHZmnRnizu4mJQ6vzxuCcqXeJPDXNwzzYOEI_lrL-O0WfAxy9Y0qifioI86czM1s7y0GwXd1jjb44Qi4_4Jxq2252RZQB9yV47PHPNEHYBH0jMq_JK_c=w122-h92-k-no","8450527693523065900","ChIJxQF_xv9Vei4RLBwLGSpORnU"
"Warung Mami Galak","Jl. Asem, Geneng, Panggungharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55188","Jl. Asem","Geneng, Panggungharjo","Rumah Makan","0857-8668-7601","0857-8668-7601, +62 857-8668-7601","YES",11,4.8,"https://search.google.com/local/reviews?placeid=ChIJp2gmfDlXei4RZtFHm4KYqSA&q=warung+dekat+curug+pulosari&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=2353579966996140390",-7.855763199999999,110.3501084,"","","Kamis:[05.15-11.00], Jumat:[05.15-11.00], Sabtu:[05.15-11.00], Minggu:[05.15-11.00], Senin:[Tutup], Selasa:[05.15-11.00], Rabu:[05.15-11.00]","https://lh5.googleusercontent.com/p/AF1QipOBbJ-u-JzNEG-Ps2EQEzDSwI-t9oyW1fmc5CkJ=w138-h92-k-no","2353579966996140390","ChIJp2gmfDlXei4RZtFHm4KYqSA"
