"Name","Fulladdress","Street","Municipality","Categories","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening hours","Featured image","Cid","Place Id"
"Warung Ibu Eli","5W3G+F2C, Gede Pangrango, Kec. Kadudampit, Kabupaten Sukabumi, Jawa Barat 43153","5W3G+F2C","Gede Pangrango","Restoran","0857-2248-5955","0857-2248-5955, +62 857-2248-5955","NO",10,4.5,"https://search.google.com/local/reviews?placeid=ChIJydUAOCdLaC4R3aA8J1r3Z0w&q=warung+dekat+danau+situ+gunung&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=5505641036061122781",-6.8463094,106.9250215,"","","Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam], Rabu:[Buka 24 jam]","https://lh5.googleusercontent.com/p/AF1QipOPnFZ-4Miq8argevC8Gps64ZcqFoNVBUQXBlou=w80-h106-k-no","5505641036061122781","ChIJydUAOCdLaC4R3aA8J1r3Z0w"
"De'Balcony","Gede Pangrango, Kec. Kadudampit, Kabupaten Sukabumi, Jawa Barat 43153","Gede Pangrango","Kec. Kadudampit","Restoran","","","YES",150,4.5,"https://search.google.com/local/reviews?placeid=ChIJlc11ypxLaC4Rje97cWaabu8&q=warung+dekat+danau+situ+gunung&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=17252896987284238221",-6.8319947,106.928713,"","","Kamis:[07.00-18.00], Jumat:[07.00-18.00], Sabtu:[07.00-18.00], Minggu:[07.00-18.00], Senin:[07.00-18.00], Selasa:[07.00-18.00], Rabu:[07.00-18.00]","https://lh5.googleusercontent.com/p/AF1QipP3TG2ZYaC9QE44Z9oCiHLXHTba6pnCfVjt8h7_=w80-h106-k-no","17252896987284238221","ChIJlc11ypxLaC4Rje97cWaabu8"
"WARUNG BUNDA NTIE","5W6G+5HW, Jalan, Gede Pangrango, Kadudampit, Sukabumi Regency, West Java 43153","5W6G+5HW","Jalan","Kafe","","","NO",9,4.9,"https://search.google.com/local/reviews?placeid=ChIJAburSLxLaC4R4vvkcZmhdF4&q=warung+dekat+danau+situ+gunung&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=6806242617276562402",-6.8395000999999995,106.9264678,"","","Kamis:[09.00-19.00], Jumat:[09.00-19.00], Sabtu:[09.00-19.00], Minggu:[09.00-19.00], Senin:[09.00-19.00], Selasa:[09.00-19.00], Rabu:[09.00-19.00]","https://lh5.googleusercontent.com/p/AF1QipOggDCf_3f7RiDsqYSPqNs32Z6rrXRJcim5s5eI=w122-h92-k-no","6806242617276562402","ChIJAburSLxLaC4R4vvkcZmhdF4"
"Warung Ibu Mimin","5W45+FG8, Jl. Neglasari, Cikahuripan, Kec. Kadudampit, Kabupaten Sukabumi, Jawa Barat 43153","5W45+FG8","Jl. Neglasari","Warung nasi","","","NO","","","","https://www.google.com/maps?cid=7087436507345148788",-6.8438251,106.90882699999999,"","","","","7087436507345148788","ChIJybBs2Hg1aC4RdFtx3POhW2I"
"Asap Isep","5W5G+GQX, Jalan, Gede Pangrango, Kadudampit, Sukabumi Regency, West Java 43153","5W5G+GQX","Jalan","Restoran Barbeque","0812-1083-0483","0812-1083-0483, +62 812-1083-0483","NO",8,5,"https://search.google.com/local/reviews?placeid=ChIJ6aA8JUpLaC4RrVzs_JDqnn4&q=warung+dekat+danau+situ+gunung&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=9123987803538742445",-6.841126999999999,106.9269755,"","","Kamis:[09.00-21.00], Jumat:[Tutup], Sabtu:[Tutup], Minggu:[Tutup], Senin:[09.00-21.00], Selasa:[09.00-21.00], Rabu:[09.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipMKZRWzIZ6p7RcR1G6XpX7PWxxQiG94B0RtUJxm=w80-h106-k-no","9123987803538742445","ChIJ6aA8JUpLaC4RrVzs_JDqnn4"
"Warung seblak Anis cibunar kulon","4WR8+6J9, Kp.cibunar kulon, RT.17/RW.05","4WR8+6J9","Kp.cibunar kulon","Kedai Sarapan","0813-8190-0330","0813-8190-0330, +62 813-8190-0330","NO","","","","https://www.google.com/maps?cid=14553708187805290184",-6.8594572,106.9165948,"","","Kamis:[09.59-21.00], Jumat:[09.59-21.00], Sabtu:[09.59-21.00], Minggu:[09.59-21.00], Senin:[09.59-21.00], Selasa:[09.59-21.00], Rabu:[09.59-21.00]","https://lh5.googleusercontent.com/p/AF1QipPAQQjMiqe1SZ9x_BZpDWO4AETjJIxkWQQaxhHz=w80-h106-k-no","14553708187805290184","ChIJwc26HelLaC4RyA7U6nwo-ck"
"RUMAH MAKAN JOGLO PECI","pengkolan cijagung, Jl. Kadudampit, Gede Pangrango, Kec. Kadudampit, Kabupaten Sukabumi, Jawa Barat 43153","pengkolan cijagung","Jl. Kadudampit","Restoran Keluarga","0813-1065-5669","0813-1065-5669, +62 813-1065-5669","YES",61,4.8,"https://search.google.com/local/reviews?placeid=ChIJhZg5v5lLaC4RNMwUiBs95-g&q=warung+dekat+danau+situ+gunung&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=16782449724875918388",-6.851108,106.9256302,"","","Kamis:[09.00-20.00], Jumat:[09.00-20.00], Sabtu:[09.00-20.00], Minggu:[09.00-20.00], Senin:[09.00-20.00], Selasa:[09.00-20.00], Rabu:[09.00-20.00]","https://lh5.googleusercontent.com/p/AF1QipPTS3ySc98Jcu7PnLkuFk1OzbMYHNhpt0HwXhsa=w122-h92-k-no","16782449724875918388","ChIJhZg5v5lLaC4RNMwUiBs95-g"
"Warung Mang Ubin","4VRV+788, Cikahuripan, Kec. Kadudampit, Kabupaten Sukabumi, Jawa Barat 43153","4VRV+788","Cikahuripan","Restoran","","","NO","","","","https://www.google.com/maps?cid=17447808548309487002",-6.859349,106.8933383,"","","","","17447808548309487002","ChIJqYSyNuU1aC4Rms0Cp24RI_I"
"Warung Sate adi","4WQ9+Q7G, Jalan, Gede Pangrango, Kadudampit, Sukabumi Regency, West Java 43153","4WQ9+Q7G","Jalan","Restoran Sate","0857-9731-5458","0857-9731-5458, +62 857-9731-5458","NO",9,4.8,"https://search.google.com/local/reviews?placeid=ChIJX5RnGw1LaC4RcD9gSIU3Yc4&q=warung+dekat+danau+situ+gunung&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=14871228490138533744",-6.860568499999999,106.91819339999999,"","","Kamis:[09.00-20.00], Jumat:[09.00-20.00], Sabtu:[09.00-20.00], Minggu:[09.00-20.00], Senin:[09.00-20.00], Selasa:[09.00-20.00], Rabu:[09.00-20.00]","https://lh5.googleusercontent.com/p/AF1QipNoUkeNiBnkCDADdCKVuChGbFowb7mFagXIgnxS=w122-h92-k-no","14871228490138533744","ChIJX5RnGw1LaC4RcD9gSIU3Yc4"
"Warung CHOPAS","Jl. Kadudampit, Gede Pangrango, Kec. Kadudampit, Kabupaten Sukabumi, Jawa Barat 43153","Jl. Kadudampit","Gede Pangrango","Pusat Informasi Pariwisata","0856-9555-2444","0856-9555-2444, +62 856-9555-2444","YES",8,5,"https://search.google.com/local/reviews?placeid=ChIJj1MOGBhLaC4R7rxT5G8bb2o&q=warung+dekat+danau+situ+gunung&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=7669378857821256942",-6.8416318,106.92585419999999,"","","Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam], Rabu:[Buka 24 jam]","https://lh5.googleusercontent.com/p/AF1QipMTP7j4W-AjIw5SDKuxcTlCgKwR8688dsOoWToa=w122-h92-k-no","7669378857821256942","ChIJj1MOGBhLaC4R7rxT5G8bb2o"
