"Name","Fulladdress","Street","Municipality","Categories","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening hours","Featured image","Cid","Place Id"
"Warung Makan Forever Dieng","Jl. Kawah Sikidang, Km. 10, Dieng Kulon, Batur, Karangsari, Dieng Kulon, Kec. Batur, Kab. Banjarnegara, Jawa Tengah 56354","Jl. Kawah Sikidang, Km. 10, Dieng Kulon, Batur","Karangsari, Dieng Kulon","Restoran Keluarga","0812-2898-7316","0812-2898-7316, +62 812-2898-7316","NO",32,4.2,"https://search.google.com/local/reviews?placeid=ChIJP1Ue3_oMcC4RrmncTY3OkMs&q=warung+dekat+dieng+plateau&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=14668451092637706670",-7.2083165,109.90569769999999,"","","Kamis:[06.00-22.00], Jumat:[06.00-22.00], Sabtu:[06.00-22.00], Minggu:[06.00-22.00], Senin:[06.00-22.00], Selasa:[06.00-22.00], Rabu:[06.00-22.00]","https://lh5.googleusercontent.com/p/AF1QipOb2kmhPLrxDeYVKefmMaI_XYE5gNpTwOTe7Smj=w80-h142-k-no","14668451092637706670","ChIJP1Ue3_oMcC4RrmncTY3OkMs"
"Warung Makan Mbak Yati Dieng","DIENG (Komplek Terminal wisata dieng lantai dua, Kalilembu, Dieng, Kec. Kejajar, Kabupaten Wonosobo, Jawa Tengah 56354","DIENG (Komplek Terminal wisata dieng lantai dua","Kalilembu, Dieng","Restoran,Restoran Jawa,Restoran Nasi Goreng","0813-2821-3598","0813-2821-3598, +62 813-2821-3598","YES",16,4.8,"https://search.google.com/local/reviews?placeid=ChIJxy44DP0McC4RKcLiR6hjLew&q=warung+dekat+dieng+plateau&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=17018368141314671145",-7.203665699999999,109.91145709999999,"","","Kamis:[06.30-17.00], Jumat:[06.30-17.00], Sabtu:[06.30-17.00], Minggu:[06.30-17.00], Senin:[06.30-17.00], Selasa:[06.30-17.00], Rabu:[06.00-17.00]","https://lh5.googleusercontent.com/p/AF1QipOFoCa6j73STOpvW8zLW1CTL1I6AGnrlP5Qin3K=w122-h92-k-no","17018368141314671145","ChIJxy44DP0McC4RKcLiR6hjLew"
"Warung Mbok Suli Dieng","QWQ6+PXP, Jl. Telaga Warna, Dieng, Kec. Kejajar, Kabupaten Wonosobo, Jawa Tengah 56354","QWQ6+PXP","Jl. Telaga Warna","Restoran","0821-1265-9227","0821-1265-9227, +62 821-1265-9227","NO",26,4.8,"https://search.google.com/local/reviews?placeid=ChIJPVJNR1ANcC4RXBis4UunEGU&q=warung+dekat+dieng+plateau&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=7282504541808629852",-7.2106524,109.91246,"","","Kamis:[07.00-23.00], Jumat:[07.00-23.00], Sabtu:[07.00-23.00], Minggu:[07.00-23.00], Senin:[07.00-23.00], Selasa:[07.00-23.00], Rabu:[07.00-23.00]","https://lh5.googleusercontent.com/p/AF1QipOqYAUur00nFoKRpROoA31jwt6DIFeKQVBkKsn3=w163-h92-k-no","7282504541808629852","ChIJPVJNR1ANcC4RXBis4UunEGU"
"Warung Makan Barokah","QWV6+7JQ, Jl. Telaga Warna, Dieng, Kec. Kejajar, Kabupaten Wonosobo, Jawa Tengah 56354","QWV6+7JQ","Jl. Telaga Warna","Restoran","","","NO",11,4.7,"https://search.google.com/local/reviews?placeid=ChIJZZgehfwMcC4R56bdv79aKHE&q=warung+dekat+dieng+plateau&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=8153866904958510823",-7.2067782,109.9116011,"","","Kamis:[08.30-22.00], Jumat:[08.30-22.00], Sabtu:[08.30-22.00], Minggu:[07.00-22.00], Senin:[08.30-22.00], Selasa:[08.30-22.00], Rabu:[08.30-22.00]","https://lh5.googleusercontent.com/p/AF1QipMgJAL4b87DYGUajfyYtjA8F6376JjoqHQRMm5j=w122-h92-k-no","8153866904958510823","ChIJZZgehfwMcC4R56bdv79aKHE"
"Warung Berkah Mulia","Karangsari, Dieng Kulon, Kec. Batur, Kab. Banjarnegara, Jawa Tengah","Karangsari, Dieng Kulon","Kec. Batur","Restoran","","","NO","","","","https://www.google.com/maps?cid=2876770477319082195",-7.2189917999999995,109.9063343,"","","","https://lh5.googleusercontent.com/p/AF1QipMTcMsasJNydHBxadpAQ5llWQvCfn_kNEXvx4wB=w80-h178-k-no","2876770477319082195","ChIJJemBP_QMcC4R01Dv4IFX7Cc"
"Warung Makan Dieng","QWR6+6QW, Jl. Telaga Warna, Dieng, Kec. Kejajar, Kabupaten Wonosobo, Jawa Tengah 56354","QWR6+6QW","Jl. Telaga Warna","Rumah Makan","0823-2949-5411","0823-2949-5411, +62 823-2949-5411","NO",92,4.2,"https://search.google.com/local/reviews?placeid=ChIJ7-scj_wMcC4RjUOG_2i198M&q=warung+dekat+dieng+plateau&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=14120954619211694989",-7.209390699999999,109.9119472,"","","Kamis:[08.00-21.00], Jumat:[08.00-21.00], Sabtu:[08.00-21.00], Minggu:[08.00-21.00], Senin:[08.00-21.00], Selasa:[08.00-21.00], Rabu:[08.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipO2Ia_-2AALmEvZ6CztC-E-scJ5fGURdxY2RDIT=w204-h92-k-no","14120954619211694989","ChIJ7-scj_wMcC4RjUOG_2i198M"
"Warung Makan Mbak Mien Dieng","Jl. Dieng, Kalilembu, Dieng, Kec. Kejajar, Kabupaten Wonosobo, Jawa Tengah 56354","Jl. Dieng","Kalilembu, Dieng","Restoran Jawa,Restoran Mie","0852-2960-5716","0852-2960-5716, +62 852-2960-5716","YES",33,4.1,"https://search.google.com/local/reviews?placeid=ChIJJW8PD_0McC4RZ83NU45KERE&q=warung+dekat+dieng+plateau&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=1229846148400663911",-7.2040004,109.9113821,"https://warung-makan-mbak-mien.business.site/","business.site","Kamis:[06.00-22.00], Jumat:[06.00-22.00], Sabtu:[06.00-22.00], Minggu:[06.00-22.00], Senin:[06.00-22.00], Selasa:[06.00-22.00], Rabu:[06.00-22.00]","","1229846148400663911","ChIJJW8PD_0McC4RZ83NU45KERE"
"Temu Jumpa Coffee & Resto","Jl. Dieng No.31, RT.03/RW.03, Pauan, Dieng Kulon, Kec. Batur, Kab. Banjarnegara, Jawa Tengah 53456","Jl. Dieng No.31","RT.03/RW.03, Pauan, Dieng Kulon","Restoran","0811-2900-302","0811-2900-302, +62 811-2900-302","YES",71,4.8,"https://search.google.com/local/reviews?placeid=ChIJhQ3dL5QNcC4RDQBQwQA1hVM&q=warung+dekat+dieng+plateau&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=6018274754410053645",-7.203026899999999,109.9033709,"https://temujumpa.business.site/?utm_source=gmb&utm_medium=referral","temujumpa.business.site","Kamis:[12.30-20.30], Jumat:[12.30-20.30], Sabtu:[12.30-20.30], Minggu:[12.30-20.30], Senin:[12.30-20.30], Selasa:[Tutup], Rabu:[12.30-20.30]","https://lh5.googleusercontent.com/p/AF1QipNxdYh1gT5a6LJkOv9Hl0Rdc8gcNmKpapr-OE88=w138-h92-k-no","6018274754410053645","ChIJhQ3dL5QNcC4RDQBQwQA1hVM"
"Warung Makan ""Sederhana""","QWV6+XGW, Jl. Telaga Warna, Dieng, Kec. Kejajar, Kabupaten Wonosobo, Jawa Tengah 56354","QWV6+XGW","Jl. Telaga Warna","Restoran","","","NO",1,5,"https://search.google.com/local/reviews?placeid=ChIJXY-m_vwMcC4RzvdZAqVndRc&q=warung+dekat+dieng+plateau&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=1690371193554204622",-7.2050028,109.9113354,"","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BReeMUEEHp6AtOnnLc8fYQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=307.34515&pitch=0&thumbfov=100","1690371193554204622","ChIJXY-m_vwMcC4RzvdZAqVndRc"
"Kedai Ongklok","jln Dieng Batur Km 0 Komplek Candi Arjuna Karangsari, Karangsari, Dieng Kulon, Kec. Batur, Kab. Banjarnegara, Jawa Tengah 53456","jln Dieng Batur Km 0 Komplek Candi Arjuna Karangsari","Karangsari, Dieng Kulon","Restoran,Toko Makanan Sehat,Restoran Mie,Restoran Sate","0812-1572-0529","0812-1572-0529, +62 812-1572-0529","YES",817,4.2,"https://search.google.com/local/reviews?placeid=ChIJ29fKj_0McC4RBNnzMx_kb1w&q=warung+dekat+dieng+plateau&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=6660793196570990852",-7.2030294999999995,109.91000179999999,"https://kedaiongklokdieng.com/","kedaiongklokdieng.com","Kamis:[07.00-22.00], Jumat:[07.00-22.00], Sabtu:[07.00-22.00], Minggu:[07.00-22.00], Senin:[07.00-22.00], Selasa:[07.00-22.00], Rabu:[07.00-22.00]","https://lh5.googleusercontent.com/p/AF1QipPLxLFwU7yxGP_gAfkmGz5G_orerUDJmXyyqpY=w122-h92-k-no","6660793196570990852","ChIJ29fKj_0McC4RBNnzMx_kb1w"
