"Name","Fulladdress","Street","Municipality","Categories","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening hours","Featured image","Cid","Place Id"
"Warung Nasi Lisna","Green Canyon, Kertayasa, Kec. Cijulang, Kab. Pangandaran, Jawa Barat 46394","Green Canyon","Kertayasa","Warung nasi","0853-2450-2143","0853-2450-2143, +62 853-2450-2143","YES",1,5,"https://search.google.com/local/reviews?placeid=ChIJLU1_UCe_ZS4RAvhGllaX7z4&q=warung+dekat+green+canyon+pangandaran&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=4535009747929593858",-7.7343983,108.4563943,"https://warung-nasi-lisna.business.site/?utm_source=gmb&utm_medium=referral","business.site","Kamis:[07.00-18.00], Jumat:[07.00-18.00], Sabtu:[07.00-18.00], Minggu:[07.00-18.00], Senin:[07.00-18.00], Selasa:[07.00-18.00], Rabu:[07.00-18.00]","https://lh5.googleusercontent.com/p/AF1QipNHps_Gu_yir7uZj_aSX27RfmFuQvCf0hZ_pRQ1=w122-h92-k-no","4535009747929593858","ChIJLU1_UCe_ZS4RAvhGllaX7z4"
"RM Sederhana Green Canyon","Green Canyon, Jl. Cijulang, Kertayasa, Cijulang, Kertayasa, Kec. Cijulang, Kab. Pangandaran, Jawa Barat 46394","Green Canyon, Jl. Cijulang, Kertayasa, Cijulang","Kertayasa","Restoran Sunda,Rumah Makan","0813-2120-6939","0813-2120-6939, +62 813-2120-6939","YES",24,4.5,"https://search.google.com/local/reviews?placeid=ChIJq6qqql6VZS4RZiZ6-aZdZtI&q=warung+dekat+green+canyon+pangandaran&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=15160908167320839782",-7.7346509999999995,108.456999,"","","Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam], Rabu:[Buka 24 jam]","https://lh5.googleusercontent.com/p/AF1QipNigzzpWitRJMqseMVAQnc2aqPXx4A7AI5CSqri=w163-h92-k-no","15160908167320839782","ChIJq6qqql6VZS4RZiZ6-aZdZtI"
"RM Intan Green Canyon","7F84+5HW, Jl. Raya Cijulang - Green Canyon, Kertayasa, Kec. Cijulang, Kab. Pangandaran, Jawa Barat 46394","7F84+5HW","Jl. Raya Cijulang - Green Canyon","Restoran","0812-2283-5935","0812-2283-5935, +62 812-2283-5935","NO","","","","https://www.google.com/maps?cid=7283336422023259877",-7.7345016,108.4564537,"","","Kamis:[Tutup], Jumat:[Tutup], Sabtu:[07.00-22.00], Minggu:[07.00-22.00], Senin:[Tutup], Selasa:[Tutup], Rabu:[Tutup]","https://lh5.googleusercontent.com/p/AF1QipNpj9WIEO0hyRx_Wdj9uZX7MOhl9kPpbRztz0Y=w80-h106-k-no","7283336422023259877","ChIJK6b3ABS_ZS4R5WZcFuObE2U"
"Lesehan Green Canyon","7F84+7MG, Kertayasa, Kec. Cijulang, Ciamis, Jawa Barat 46394","7F84+7MG","Kertayasa","Restoran","0857-2382-0754","0857-2382-0754, +62 857-2382-0754","NO",3,5,"https://search.google.com/local/reviews?placeid=ChIJmc6Cj8O_ZS4Rc5gEKIkyaWc&q=warung+dekat+green+canyon+pangandaran&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=7451542623124494451",-7.7343234999999995,108.45671469999999,"","","Kamis:[06.00-20.30], Jumat:[06.00-20.30], Sabtu:[06.00-20.30], Minggu:[06.00-20.30], Senin:[06.00-20.30], Selasa:[06.00-20.30], Rabu:[06.00-20.30]","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kC8A10jViXnhc7sFf20aiw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=29.942001&pitch=0&thumbfov=100","7451542623124494451","ChIJmc6Cj8O_ZS4Rc5gEKIkyaWc"
"Warung Makan Sadulur","Dusun karangpaci, Kertayasa, Kec. Cijulang, Kab. Pangandaran, Jawa Barat 46394","Dusun karangpaci","Kertayasa","Kafetaria","0823-3605-9992","0823-3605-9992, +62 823-3605-9992","YES","","","","https://www.google.com/maps?cid=2270334515536762435",-7.7342816,108.45656969999999,"","","Kamis:[07.00-21.00], Jumat:[13.00-21.00], Sabtu:[07.00-21.00], Minggu:[07.00-21.00], Senin:[07.00-21.00], Selasa:[07.00-21.00], Rabu:[07.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipP3QY7TGZbA-7dMPs6AzZRUaMLMAsJvVUEtS-xa=w80-h100-k-no","2270334515536762435","ChIJQfFqTrq_ZS4RQ5bgjzbZgR8"
"Warung Dadi","7F62+64W, Jl. Pasir Gadung, Batukaras, Kec. Cijulang, Kab. Pangandaran, Jawa Barat 46394","7F62+64W","Jl. Pasir Gadung","Restoran","","","NO",3,3.7,"https://search.google.com/local/reviews?placeid=ChIJI2o5ieq_ZS4RAttWt0qcLYw&q=warung+dekat+green+canyon+pangandaran&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=10100901383979326210",-7.739380799999999,108.4503424,"","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=V38el8N-wtGBX-kQG9_sJQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=120.83105&pitch=0&thumbfov=100","10100901383979326210","ChIJI2o5ieq_ZS4RAttWt0qcLYw"
"RM Shangrilla Teh Lilis Green Canyon","Jl. Raya Cijulang, RT.002/Rw10/RW.Ciseuruh Ds, karangpaci, Kertayasa, Kec. Cijulang, Kab. Pangandaran, Jawa Barat 46394","Jl. Raya Cijulang","RT.002/Rw10/RW.Ciseuruh Ds, karangpaci, Kertayasa","Rumah Makan","0813-2301-6392","0813-2301-6392, +62 813-2301-6392","YES",8,4.5,"https://search.google.com/local/reviews?placeid=ChIJz6EgLhm_ZS4RoEn7Eqjl0z8&q=warung+dekat+green+canyon+pangandaran&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=4599272154511133088",-7.7344631999999995,108.4564139,"https://wa.me/qr/YNYRKF2743EBF1","wa.me","Kamis:[07.00-17.00], Jumat:[07.00-17.30], Sabtu:[06.30-17.30], Minggu:[06.30-17.30], Senin:[07.00-17.00], Selasa:[07.00-17.00], Rabu:[07.00-17.00]","https://lh5.googleusercontent.com/p/AF1QipM6iZfnm_GXtEw0xQ_NrJSnHBxAACO5Zs-tbCFr=w80-h106-k-no","4599272154511133088","ChIJz6EgLhm_ZS4RoEn7Eqjl0z8"
"Saung Supa","7F84+49J, Jl. Raya Cijulang - Green Canyon Cimerak, Kertayasa, Kec. Cijulang, Kabupaten Ciamis, Jawa Barat 46394","7F84+49J","Jl. Raya Cijulang - Green Canyon Cimerak","Restoran Sunda,Rumah Makan","0852-2066-6633","0852-2066-6633, +62 852-2066-6633","NO",2,4,"https://search.google.com/local/reviews?placeid=ChIJQYcHvcO_ZS4RNrTxo5DyDgE&q=warung+dekat+green+canyon+pangandaran&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=76264946751616054",-7.7346645999999994,108.45589299999999,"http://www.survive-giezag.org/","survive-giezag.org","Kamis:[Tutup], Jumat:[Tutup], Sabtu:[08.00-17.30], Minggu:[08.00-17.30], Senin:[Tutup], Selasa:[Tutup], Rabu:[Tutup]","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9g9VLaj_u8yXA_Khtvwo2A&cb_client=search.gws-prod.gps&w=80&h=92&yaw=233.33916&pitch=0&thumbfov=100","76264946751616054","ChIJQYcHvcO_ZS4RNrTxo5DyDgE"
"Warung Singgah Heru","Jl. Raya Cijulang No.46394, RT.02/RW.10, Cijulang, Kec. Cijulang, Kab. Pangandaran, Jawa Barat 46394","Jl. Raya Cijulang No.46394","RT.02/RW.10, Cijulang","Nao-Y9rGJpSWseMPpcmryAw,0ahUKEwiatcOFr8v6AhUUS2wGHaXkCskQ8BcIxgIoAA,Jl. Raya Cijulang No.46394,RT.02/RW.10, Cijulang,Kec. Cijulang,Kab. Pangandaran, Jawa Barat 46394,,,,,https://search.google.com/local/reviews?placeid=ChIJFdkGE1q_ZS4RuvqzafnnLY0&q=warung+dekat+green+canyon+pangandaran&authuser=0&hl=in&gl=ID,4 ulasan,,0ahUKEwiatcOFr8v6AhUUS2wGHaXkCskQ6W4I2AIoAA,,,,5,4,,,,,,,-7.733845799999999,108.46395,0x2e65bf5a1306d915:0x8d2de7f969b3faba,Warung Singgah Heru,,,Cijulang, Kecamatan Cijulang,,,,Warung Singgah Heru, Jl. Raya Cijulang No.46394, RT.02/RW.10, Cijulang, Kec. Cijulang, Kab. Pangandaran, Jawa Barat 46394,,,,,,2,,,,,,,,0,0,,,,7,0,2,,,,,,0,6,,0,22,,,,,,,,,,,,,,,,,,,1,Favorit,,1,,,,,,,,0ahUKEwiatcOFr8v6AhUUS2wGHaXkCskQwaQDCOQCKAA,2,Ingin dikunjungi,,1,,,,,,,,0ahUKEwiatcOFr8v6AhUUS2wGHaXkCskQwaQDCOUCKAE,7,Rencana perjalanan,,1,,,,,,,,0ahUKEwiatcOFr8v6AhUUS2wGHaXkCskQwaQDCOYCKAI,4,Tempat berbintang,,1,,,,,,,,0ahUKEwiatcOFr8v6AhUUS2wGHaXkCskQwaQDCOcCKAM,,,,0ahUKEwiatcOFr8v6AhUUS2wGHaXkCskQ0JcGCOMCKBI,,,,,Asia/Jakarta,,,,,Kamis,06.00–22.00,,,2022-10-06,1,6,0,22,0,0,Jumat,06.00–22.00,,,2022-10-07,1,6,0,22,0,0,Sabtu,06.00–22.00,,,2022-10-08,1,6,0,22,0,0,Minggu,06.00–22.00,,,2022-10-09,1,6,0,22,0,0,Senin,06.00–22.00,,,2022-10-10,1,6,0,22,0,0,Selasa,06.00–22.00,,,2022-10-11,1,6,0,22,0,0,Rabu,06.00–22.00,,,2022-10-12,1,6,0,22,0,0,,,Kamis,06.00–22.00,,,2022-10-06,1,6,0,22,0,0,1,1,0,Buka ⋅ Tutup pukul 22.00,,Kamis,06.00–22.00,,,2022-10-06,1,6,0,22,0,0,2,,,AF1QipOlmYMSnYS6mOBksLRfk1A_GhfPDovZ0zUwnIRw,10,12,,,343.6789,https://lh5.googleusercontent.com/p/AF1QipOlmYMSnYS6mOBksLRfk1A_GhfPDovZ0zUwnIRw=w137-h92-k-no,14 Foto,3460,2322,80,92,,3,108.4639582,-7.7338825,0,90,3460,2322,75,Nao-Y9rGJpSWseMPpcmryAw,0ahUKEwiatcOFr8v6AhUUS2wGHaXkCskQzCcI6QIoAA,,,,,0x2e65bf5a1306d915:0x8d2de7f969b3faba,,Jl. Raya Cijulang No.46394, RT.02/RW.10, Cijulang, Kec. Cijulang, Kab. Pangandaran, Jawa Barat 46394,,,Foto,,10,AF1QipOlmYMSnYS6mOBksLRfk1A_GhfPDovZ0zUwnIRw,10,3,2322,3460,,,2,,,-7.7338825,108.4639582,2,,,8,2,,,photos:gmm_android,6,7,4,1,3,,,2019,9,16,7,1,,,,,,,3343288691979639061,-8273701882003457350,,7AXmpmVJY5s,14,,Nao-Y9rGJpSWseMPpcmryAw,,EvgDKYQi49-NlUMIDwAAAAEAAAMAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAQAgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAgAAAAAAACAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAGARCVCmEIuPfjZVD6AEAACAAAAADAAAAAAAAAAAAAAAAAAgAAAAEAAgAAAACAAAAAAAAAAAAAEAAAAAACAAAAAAAAABIAAAAAIAAAgAAAAAAAAAACAAAAA,,,1,13,1,,0,13,,Jl. Raya Cijulang No.46394, RT.02/RW.10, Cijulang, Kec. Cijulang, Kab. Pangandaran, Jawa Barat 46394,,,,,,,,,,https://business.google.com/create?fp=10173042191706094266&hl=id&authuser=0&gmbsrc=id-id-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=id-id-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted,Klaim bisnis ini,,0ahUKEwiatcOFr8v6AhUUS2wGHaXkCskQ_1kI7AIoFg,,,,,,0,0,0,0,4,,,,,,Beri rating dan ulas,Bagikan pengalaman Anda untuk membantu orang lain,,1,Bagikan pengalaman Anda tentang tempat ini,,,,,,0,,,,,,Warung Singgah Heru (Pemilik),,,,,,,100313826034030036550,,,,1,,,,,,1,,,,,AF1QipOlmYMSnYS6mOBksLRfk1A_GhfPDovZ0zUwnIRw,10,12,,,343.6789,https://lh5.googleusercontent.com/p/AF1QipOlmYMSnYS6mOBksLRfk1A_GhfPDovZ0zUwnIRw=w128-h86-k-no,Warung Singgah Heru,3460,2322,86,86,,3,108.4639582,-7.7338825,0,90,3460,2322,75,Nao-Y9rGJpSWseMPpcmryAw,0ahUKEwiatcOFr8v6AhUUS2wGHaXkCskQzCcI6gIoFA,,,,,0x2e65bf5a1306d915:0x8d2de7f969b3faba,,Jl. Raya Cijulang No.46394, RT.02/RW.10, Cijulang, Kec. Cijulang, Kab. Pangandaran, Jawa Barat 46394,,,Foto,,10,AF1QipOlmYMSnYS6mOBksLRfk1A_GhfPDovZ0zUwnIRw,10,3,2322,3460,,,2,,,-7.7338825,108.4639582,2,,,8,2,,,photos:gmm_android,6,7,4,1,3,,,2019,9,16,7,1,,,,,,,3343288691979639061,-8273701882003457350,,7AXmpmVJY5s,AF1QipOlmYMSnYS6mOBksLRfk1A_GhfPDovZ0zUwnIRw,10,12,,,343.6789,https://lh5.googleusercontent.com/p/AF1QipOlmYMSnYS6mOBksLRfk1A_GhfPDovZ0zUwnIRw=w408-h273-k-no,Warung Singgah Heru,3460,2322,408,240,,3,108.4639582,-7.7338825,0,90,3460,2322,75,Nao-Y9rGJpSWseMPpcmryAw,0ahUKEwiatcOFr8v6AhUUS2wGHaXkCskQzCcI6wIoFQ,,,,,0x2e65bf5a1306d915:0x8d2de7f969b3faba,,Jl. Raya Cijulang No.46394, RT.02/RW.10, Cijulang, Kec. Cijulang, Kab. Pangandaran, Jawa Barat 46394,,,Foto,,10,AF1QipOlmYMSnYS6mOBksLRfk1A_GhfPDovZ0zUwnIRw,10,3,2322,3460,,,2,,,-7.7338825,108.4639582,2,,,8,2,,,photos:gmm_android,6,7,4,1,3,,,2019,9,16,7,1,,,,,,,3343288691979639061,-8273701882003457350,,7AXmpmVJY5s,,,,,,ChIJFdkGE1q_ZS4RuvqzafnnLY0,,,,Cijulang, Kecamatan Cijulang,Jl. Raya Cijulang No.46394, RT.02/RW.10,Jl. Raya Cijulang No.46394, RT.02/RW.10,Kab. Pangandaran,,,,,,,SearchResult.TYPE_RESTAURANT,SearchResult.TYPE_RESTAURANT,ID,54,84,85,151,Warung Singgah Heru,,,269,270,,583,/g/11h_6j1ly2,,,,,,,,,,,,service_options,Opsi layanan,/geo/type/establishment_poi/has_takeout,Bawa pulang,1,1,Bawa pulang,1,Bawa pulang,Bawa pulang,Bisa bawa pulang,,1,0,/geo/type/establishment_poi/serves_dine_in,Makan di tempat,1,1,Makan di tempat,1,Makan di tempat,Makan di tempat,Melayani makan di tempat,,1,0,offerings,Penawaran,/geo/type/establishment_poi/serves_coffee,Kopi,1,1,Kopi,1,Kopi,Kopi,Menyajikan kopi,,1,0,/geo/type/establishment_poi/serves_halal_food,Makanan halal,1,1,Makanan halal,1,Makanan halal,Makanan halal,Menyajikan makanan halal,,1,0,amenities,Fasilitas,/geo/type/establishment_poi/welcomes_children,Cocok untuk anak-anak,1,1,Cocok untuk anak-anak,1,Cocok untuk anak-anak,Cocok untuk anak-anak,Cocok untuk anak-anak,,9,0,atmosphere,Suasana,/geo/type/establishment_poi/feels_cozy,Nyaman,1,1,Nyaman,1,Nyaman,Nyaman,Nyaman,,1,0,/geo/type/establishment_poi/feels_casual,Santai,1,1,Santai,1,Santai,Santai,Santai,,1,0,crowd,Tipe pengunjung,/geo/type/establishment_poi/suitable_for_groups,Berkelompok,1,1,Cocok untuk grup,1,Cocok untuk grup,Berkelompok,Cocok untuk grup,,1,0,payments,Pembayaran,/geo/type/establishment_poi/requires_cash_only,Hanya tunai,1,1,Hanya tunai,1,Hanya tunai,Hanya tunai,Hanya tunai,,1,0,,/geo/type/establishment_poi/serves_dine_in,Makan di tempat,1,1,Makan di tempat,1,Makan di tempat,Makan di tempat,Melayani makan di tempat,,1,0,/geo/type/establishment_poi/has_takeout,Bawa pulang,1,1,Bawa pulang,1,Bawa pulang,Bawa pulang,Bisa bawa pulang,,1,0,,,,,,,Inggris,,,en,,Indonesia,id,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,95071,,,Makan di tempat,,,,Makan di tempat,Bawa pulang,,,,Bawa pulang,,,,,,0ahUKEwiatcOFr8v6AhUUS2wGHaXkCskQ7MIHCO4CKBg,,,,9,,,,,,1,,,,,,,,,,,,,,,,Kab. Pangandaran, Jawa Barat,,,,,,,,https://www.google.com/search?q=local+guide+program&ibp=gwp;0,26,OjYKNCIwV2FydW5nIFNpbmdnYWggSGVydSBLYWIuIFBhbmdhbmRhcmFuLCBKYXdhIEJhcmF0KAI&pcl=lp,,,,0853-1494-8951,0853-1494-8951,1,+62 853-1494-8951,2,,085314948951,,tel:085314948951,,,0ahUKEwiatcOFr8v6AhUUS2wGHaXkCskQ_doBCNYCKA8,,,,,7,Warung Singgah Heru,Jl. Raya Cijulang No.46394,RT.02/RW.10, Cijulang,Kec. Cijulang,Kab. Pangandaran, Jawa Barat 46394,2,Warung Singgah Heru, Jl. Raya Cijulang No.46394, RT.02/RW.10, Cijulang, Kec. Cijulang, Kab. Pangandaran, Jawa Barat 46394,1,Jl. Raya Cijulang No.46394, RT.02/RW.10, Cijulang, Kec. Cijulang, Kab. Pangandaran, Jawa Barat 46394,4,Kab. Pangandaran, Jawa Barat,Cijulang, Kecamatan Cijulang,Jl. Raya Cijulang No.46394, RT.02/RW.10,Jl. Raya Cijulang No.46394, RT.02/RW.10,Kab. Pangandaran,46394,Jawa Barat,ID,,,,,,,,,,,,,,,,,,,,Kamis,4,2022,10,6,06.00–22.00,6,22,0,1,Jumat,5,2022,10,7,06.00–22.00,6,22,0,1,Sabtu,6,2022,10,8,06.00–22.00,6,22,0,1,Minggu,7,2022,10,9,06.00–22.00,6,22,0,1,Senin,1,2022,10,10,06.00–22.00,6,22,0,1,Selasa,2,2022,10,11,06.00–22.00,6,22,0,1,Rabu,3,2022,10,12,06.00–22.00,6,22,0,1,Kamis,4,2022,10,6,06.00–22.00,6,22,0,1,0,1,,Buka ⋅ Tutup pukul 22.00,0,4,,4279795768,4286695829,Buka ⋅ Tutup pukul 22.00,0,4,,4279795768,4286695829,,,Buka,0,4,,4279795768,4286695829,4,2,,,1,,1,,,,,-7.733845799999999,108.46395,CiV3YXJ1bmcgZGVrYXQgZ3JlZW4gY2FueW9uIHBhbmdhbmRhcmFuWiciJXdhcnVuZyBkZWthdCBncmVlbiBjYW55b24gcGFuZ2FuZGFyYW6SARdzZWxmX3NlcnZpY2VfcmVzdGF1cmFudOABAA,,,,,1,,,,,,,,,,,,https://business.google.com/local/business/setup/create?fp=10173042191706094266&hl=id&authuser=0&gmbsrc=id-id-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=id-id-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted,,,,,,1,0x2e65bf5a1306d915:0x8d2de7f969b3faba,,,/g/11h_6j1ly2,ChIJFdkGE1q_ZS4RuvqzafnnLY0","0853-1494-8951","0853-1494-8951, +62 853-1494-8951","NO",4,5,"https://search.google.com/local/reviews?placeid=ChIJFdkGE1q_ZS4RuvqzafnnLY0&q=warung+dekat+green+canyon+pangandaran&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=10173042191706094266",-7.733845799999999,108.46395,"","","Kamis:[06.00-22.00], Jumat:[06.00-22.00], Sabtu:[06.00-22.00], Minggu:[06.00-22.00], Senin:[06.00-22.00], Selasa:[06.00-22.00], Rabu:[06.00-22.00]","https://lh5.googleusercontent.com/p/AF1QipOlmYMSnYS6mOBksLRfk1A_GhfPDovZ0zUwnIRw=w137-h92-k-no","10173042191706094266","ChIJFdkGE1q_ZS4RuvqzafnnLY0"
"Rumah Makan Tirta Bahari","Jl. Raya Cijulang - Green Canyon, Cijulang, Kec. Cijulang, Kab. Pangandaran, Jawa Barat 46394","Jl. Raya Cijulang - Green Canyon","Cijulang","Restoran,Katering,Rumah Makan,Hotel","0852-2324-2626","0852-2324-2626, +62 852-2324-2626","YES",91,3.7,"https://search.google.com/local/reviews?placeid=ChIJKUCcFMS_ZS4RxYwIB3DzJJU&q=warung+dekat+green+canyon+pangandaran&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=10746982273292733637",-7.734852,108.458224,"http://www.rm-tirtabahari.com/","rm-tirtabahari.com","","https://lh5.googleusercontent.com/p/AF1QipMISu3x99GDOckHsn7_UZCqB3fLq-PVFTqvGIwI=w138-h92-k-no","10746982273292733637","ChIJKUCcFMS_ZS4RxYwIB3DzJJU"
