"Name","Fulladdress","Street","Municipality","Categories","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening hours","Featured image","Cid","Place Id"
"Warung Gowes Ceu Edoh","Jl. Pakar Bar. No.23A, Ciburial, Kec. Cimenyan, Kabupaten Bandung, Jawa Barat 40198","Jl. Pakar Bar. No.23A","Ciburial","Restoran Atlantik Tengah (AS)","0838-2185-5574","0838-2185-5574, +62 838-2185-5574","NO",54,4.3,"https://search.google.com/local/reviews?placeid=ChIJFxCU4STnaC4RjNX03t3weBY&q=warung+dekat+gua+jepang+bandung&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=1619308901758719372",-6.8579156,107.6317818,"","","Kamis:[06.00-01.00], Jumat:[06.00-01.00], Sabtu:[06.00-01.00], Minggu:[06.00-01.00], Senin:[Tutup], Selasa:[06.00-01.00], Rabu:[06.00-01.00]","https://lh5.googleusercontent.com/p/AF1QipN7GhK2ANA-RIZ4xMWeBmxugLlCIQDuiMZRsigW=w80-h142-k-no","1619308901758719372","ChIJFxCU4STnaC4RjNX03t3weBY"
"Bubur Gowes","Jl. Bukit Pakar Utara No.21, Ciburial, Kec. Cimenyan, Kabupaten Bandung, Jawa Barat 40198","Jl. Bukit Pakar Utara No.21","Ciburial","Restoran Bubur","","","YES",691,4.5,"https://search.google.com/local/reviews?placeid=ChIJDZjw4CTnaC4RrAeTzQn5QGM&q=warung+dekat+gua+jepang+bandung&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=7151990028763334572",-6.857989,107.63159399999999,"","","Kamis:[06.30-11.00], Jumat:[06.30-11.00], Sabtu:[06.30-11.00], Minggu:[06.30-11.00], Senin:[Tutup], Selasa:[06.30-11.00], Rabu:[06.30-11.00]","https://lh5.googleusercontent.com/p/AF1QipP_OBaKetqHjfFdCljv_lGqejk_YhhmasitGirV=w122-h92-k-no","7151990028763334572","ChIJDZjw4CTnaC4RrAeTzQn5QGM"
"Warung Ibu Siti Mariah / Parkir Taman Hutan Raya","4JVM+452, Ciburial, Kec. Cimenyan, Kabupaten Bandung, Jawa Barat 40198","4JVM+452","Ciburial","Toko bahan makanan","","","NO",8,4.8,"https://search.google.com/local/reviews?placeid=ChIJHwusXtLnaC4RbfzfRhQ-NyU&q=warung+dekat+gua+jepang+bandung&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=2681680359931772013",-6.8572323,107.63289569999999,"","","Kamis:[06.30-21.00], Jumat:[06.30-21.00], Sabtu:[06.00-21.00], Minggu:[06.00-21.00], Senin:[06.30-21.00], Selasa:[06.30-21.00], Rabu:[06.30-21.00]","https://lh5.googleusercontent.com/p/AF1QipOm5S5iH4Ay5x2qMZCZ1dH1s9bHP2S2VmfrEm3z=w163-h92-k-no","2681680359931772013","ChIJHwusXtLnaC4RbfzfRhQ-NyU"
"Warung Gati","Jl. Rancakendal No.7, Cigadung, Kec. Cibeunying Kaler, Kota Bandung, Jawa Barat 40191","Jl. Rancakendal No.7","Cigadung","Restoran Sunda,Kafe","(022) 82522979","(022) 82522979, +62 22 82522979","NO",217,4.5,"https://search.google.com/local/reviews?placeid=ChIJdXLs1hjnaC4ROscGf2tNHQo&q=warung+dekat+gua+jepang+bandung&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=728823838791878458",-6.8683209,107.62791849999999,"https://gatiplace.wordpress.com/","gatiplace.wordpress.com","Kamis:[08.30-21.00], Jumat:[08.30-21.00], Sabtu:[08.30-21.00], Minggu:[08.30-21.00], Senin:[08.30-21.00], Selasa:[08.30-21.00], Rabu:[08.30-21.00]","https://lh5.googleusercontent.com/p/AF1QipObdNjr2T6j86fmg5Q70b3ZOR3ThP3Wx5KAL-qg=w122-h92-k-no","728823838791878458","ChIJdXLs1hjnaC4ROscGf2tNHQo"
"Gelanggang Olah Rasa","Jl. Bukit Pakar Utara No.31, Ciburial, Kec. Cimenyan, Kabupaten Bandung, Jawa Barat 40198","Jl. Bukit Pakar Utara No.31","Ciburial","Restoran","0813-1656-0241","0813-1656-0241, +62 813-1656-0241","YES",43,4.9,"https://search.google.com/local/reviews?placeid=ChIJvYNtPfXnaC4RLyhIAIWIuB0&q=warung+dekat+gua+jepang+bandung&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=2141611727631427631",-6.8578601,107.6323815,"","","Kamis:[12.00-21.00], Jumat:[12.00-21.00], Sabtu:[12.00-21.00], Minggu:[12.00-21.00], Senin:[12.00-21.00], Selasa:[12.00-21.00], Rabu:[12.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipNeMtZ-3PDJcnPneDp8LaFKSi17Em5zIswd_srj=w122-h92-k-no","2141611727631427631","ChIJvYNtPfXnaC4RLyhIAIWIuB0"
"WARDITA WARUNG DI TAHURA","4JRJ+RCG, Unnamed Road, Ciburial, Kec. Cimenyan, Kota Bandung, Jawa Barat 40198","4JRJ+RCG","Unnamed Road","Kedai Kopi","0822-1415-9005","0822-1415-9005, +62 822-1415-9005","NO",93,4.7,"https://search.google.com/local/reviews?placeid=ChIJO5Aw2JTnaC4RR1g5eZv-tcE&q=warung+dekat+gua+jepang+bandung&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=13958342563811907655",-6.857929599999999,107.6310668,"","","Kamis:[07.00-22.00], Jumat:[07.00-22.00], Sabtu:[07.00-22.00], Minggu:[07.00-22.00], Senin:[07.00-22.00], Selasa:[07.00-22.00], Rabu:[07.00-22.00]","https://lh5.googleusercontent.com/p/AF1QipMwzOZuNAaYhnUeI17ZF51ueneNOgueEU7w41JJ=w135-h92-k-no","13958342563811907655","ChIJO5Aw2JTnaC4RR1g5eZv-tcE"
"Cocorico Fantasy Garden & Shinmen Japanese Resto","Jl. Bukit Pakar Timur No.19, Ciburial, Kec. Cimenyan, Kabupaten Bandung, Jawa Barat 40198","Jl. Bukit Pakar Timur No.19","Ciburial","Restoran,Restoran Indonesia,Restoran Jepang,Restoran Masakan Barat","(022) 2503262","(022) 2503262, +62 22 2503262","YES",3044,4.4,"https://search.google.com/local/reviews?placeid=ChIJg1CUJCLnaC4RJwfKFHvN_aI&q=warung+dekat+gua+jepang+bandung&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=11744769331765577511",-6.86294,107.6296144,"http://instagram.com/cocoricofantasygarden","instagram.com","Kamis:[10.00-22.00], Jumat:[10.00-00.00], Sabtu:[10.00-00.00], Minggu:[10.00-22.00], Senin:[10.00-22.00], Selasa:[10.00-22.00], Rabu:[10.00-22.00]","https://lh5.googleusercontent.com/p/AF1QipN4u_WX49UocEGnk8qbPvXotkpA5DFtdMBx7yiM=w163-h92-k-no","11744769331765577511","ChIJg1CUJCLnaC4RJwfKFHvN_aI"
"Warung Sitinggil","Jl. Dago Giri No.90, Mekarwangi, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391","Jl. Dago Giri No.90","Mekarwangi","Kafe","0819-1000-3357","0819-1000-3357, +62 819-1000-3357","YES",312,4.5,"https://search.google.com/local/reviews?placeid=ChIJf-7UhyznaC4RWyDu6QkIdlI&q=warung+dekat+gua+jepang+bandung&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=5941945597034373211",-6.8478479,107.6279835,"https://instagram.com/warungsitinggil?igshid=6dun3r6qaq6a","instagram.com","Kamis:[12.00-22.00], Jumat:[12.00-22.00], Sabtu:[12.00-22.00], Minggu:[12.00-22.00], Senin:[Tutup], Selasa:[12.00-22.00], Rabu:[12.00-22.00]","https://lh5.googleusercontent.com/p/AF1QipNO85f1uabp6BbuP7PAQwvcvK4mGBfsbwqX-9ti=w122-h92-k-no","5941945597034373211","ChIJf-7UhyznaC4RWyDu6QkIdlI"
"Coffeenul by warung inul","Jl. Pakar Bar., Dago, Kecamatan Coblong, Kabupaten Bandung, Jawa Barat 40198","Jl. Pakar Bar.","Dago","Kedai Kopi","0821-2688-8489","0821-2688-8489, +62 821-2688-8489","YES",219,4.1,"https://search.google.com/local/reviews?placeid=ChIJ8xUT1RnnaC4RX6ddLe76up8&q=warung+dekat+gua+jepang+bandung&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=11509787698568996703",-6.8584551,107.6309948,"","","Kamis:[10.30-22.00], Jumat:[10.00-22.00], Sabtu:[09.00-22.00], Minggu:[09.30-22.00], Senin:[10.30-22.00], Selasa:[10.30-22.00], Rabu:[10.30-22.00]","https://lh5.googleusercontent.com/p/AF1QipMykEjVeOOScMcstvnYDXO5XhWJg_KIUsfVALFI=w122-h92-k-no","11509787698568996703","ChIJ8xUT1RnnaC4RX6ddLe76up8"
"Armor Kopi","Jl. Bukit Pakar Utara No.10, Ciburial, Kec. Cimenyan, Kabupaten Bandung, Jawa Barat 40135","Jl. Bukit Pakar Utara No.10","Ciburial","Kedai Kopi","0811-2222-1157","0811-2222-1157, +62 811-2222-1157","YES",5307,4.5,"https://search.google.com/local/reviews?placeid=ChIJKeJAdiXnaC4RnLEbf92A4yo&q=warung+dekat+gua+jepang+bandung&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=3090455458114941340",-6.858378999999999,107.6321832,"https://www.instagram.com/armorkopi.bdg/","instagram.com","Kamis:[08.00-20.00], Jumat:[08.00-20.00], Sabtu:[08.00-20.00], Minggu:[08.00-20.00], Senin:[08.00-20.00], Selasa:[08.00-20.00], Rabu:[08.00-20.00]","https://lh5.googleusercontent.com/p/AF1QipPg0fxiJzxGNqKfhAnNUhN3AQvDig8mxnXU-K5G=w122-h92-k-no","3090455458114941340","ChIJKeJAdiXnaC4RnLEbf92A4yo"
