"Name","Fulladdress","Street","Municipality","Categories","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening hours","Featured image","Cid","Place Id"
"NITHA CATERING KULINER GOA PINDUL","Jl. Goa Pindul, RT.03 / RW.16 Gelaran 2, Bejiharjo, Seropan, Bejiharjo, Kec. Karangmojo, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55891","Jl. Goa Pindul, RT.03 / RW.16 Gelaran 2, Bejiharjo","Seropan, Bejiharjo","Katering,Rumah Makan,Restoran","0812-2709-533","0812-2709-533, +62 812-2709-533","YES",8,3.3,"https://search.google.com/local/reviews?placeid=ChIJeeA1XTxLei4Rel5bwN0QbCE&q=warung+dekat+gua+pindul&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=2408318445337403002",-7.9307910999999995,110.648202,"http://www.pindul.net/2015/10/paket-kuliner-dan-catering-goa-pindul.html","pindul.net","Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam], Rabu:[Buka 24 jam]","https://lh5.googleusercontent.com/p/AF1QipMXAsZcYp4REus0SLDQ_8f64rQ2x_e_1T7GPB46=w138-h92-k-no","2408318445337403002","ChIJeeA1XTxLei4Rel5bwN0QbCE"
"RM Karindra Goa Pindul","Gunungbang, Bejiharjo, Kec. Karangmojo, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55891","Gunungbang, Bejiharjo","Kec. Karangmojo","Restoran Jawa","0822-2611-2028","0822-2611-2028, +62 822-2611-2028","YES",13,4.7,"https://search.google.com/local/reviews?placeid=ChIJWyeUmD1Lei4RDUmk4Me3RnQ&q=warung+dekat+gua+pindul&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=8378586225864624397",-7.9270081999999995,110.64915049999999,"https://wa.me/6282226112028","wa.me","Kamis:[07.00-21.00], Jumat:[07.00-21.00], Sabtu:[07.00-21.00], Minggu:[07.00-21.00], Senin:[07.00-21.00], Selasa:[07.00-21.00], Rabu:[07.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipM6rQY2czd73udOTgSDtC1G3-hg9yXDeC6CgvqH=w92-h92-k-no","8378586225864624397","ChIJWyeUmD1Lei4RDUmk4Me3RnQ"
"RM Cak Mamad Pindul","Depan Pintu Masuk Gua Pindul, Gunungbang, Bejiharjo, Kec. Karangmojo, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55891","Depan Pintu Masuk Gua Pindul","Gunungbang, Bejiharjo","Rumah Makan","0813-2825-3650","0813-2825-3650, +62 813-2825-3650","YES",14,4.8,"https://search.google.com/local/reviews?placeid=ChIJFW2kdztLei4RAfO6ATBWcIE&q=warung+dekat+gua+pindul&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=9327049592471745281",-7.928834999999999,110.64926399999999,"","","Kamis:[07.00-17.00], Jumat:[07.00-17.00], Sabtu:[07.00-17.00], Minggu:[07.00-17.00], Senin:[07.00-17.00], Selasa:[07.00-17.00], Rabu:[07.00-17.00]","https://lh5.googleusercontent.com/p/AF1QipOke-yfmWLA8gVV53MYG8PVf8k9Ukx65XLdscG4=w80-h106-k-no","9327049592471745281","ChIJFW2kdztLei4RAfO6ATBWcIE"
"Kurniawan Kuliner Goa Pindul","3M82+FW9, Unnamed Road, Seropan, Bejiharjo, Kec. Karangmojo, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55891","3M82+FW9","Unnamed Road","Rumah Makan","","","NO",4,5,"https://search.google.com/local/reviews?placeid=ChIJH1d8l11Lei4RO4CtrphMyWU&q=warung+dekat+gua+pindul&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=7334477686798909499",-7.933843899999999,110.6523493,"","","","https://lh5.googleusercontent.com/p/AF1QipO0bZ1nRunTDCPvaO6HFmmcqeMlA9XzfKKhRY85=w122-h92-k-no","7334477686798909499","ChIJH1d8l11Lei4RO4CtrphMyWU"
"Oleh - Oleh Warung Makan Khas Gunungkidul ""DW""","3J8R+236, Gelaran II, Bejiharjo, Kec. Karangmojo, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55891","3J8R+236","Gelaran II, Bejiharjo","Rumah Makan","","","NO",1,5,"https://search.google.com/local/reviews?placeid=ChIJTeTTjUdLei4R9Tv8jNkQKhM&q=warung+dekat+gua+pindul&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=1380934762301766645",-7.934973299999999,110.6401502,"","","Kamis:[08.00-20.00], Jumat:[08.00-20.00], Sabtu:[08.00-20.00], Minggu:[08.00-20.00], Senin:[08.00-20.00], Selasa:[08.00-20.00], Rabu:[08.00-20.00]","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5eRnbxLNTMOB6sTXO0f3Tw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=124.69285&pitch=0&thumbfov=100","1380934762301766645","ChIJTeTTjUdLei4R9Tv8jNkQKhM"
"Aula Bukut Pindul By Pak Warsiyo","3JCX+PJW, Gunungbang, Bejiharjo, Kec. Karangmojo, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55891","3JCX+PJW","Gunungbang, Bejiharjo","Restoran Bakso","","","NO",1,4,"https://search.google.com/local/reviews?placeid=ChIJrYXJrT1Lei4ROdK1G7zxMpE&q=warung+dekat+gua+pindul&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=10462690674556129849",-7.9281269,110.6490853,"","","","https://lh5.googleusercontent.com/p/AF1QipO_V_739T1nL-rCUKiiHYj2kVdi5L9jSHoyY4oA=w138-h92-k-no","10462690674556129849","ChIJrYXJrT1Lei4ROdK1G7zxMpE"
"Warung asik","Kulwo, Bejiharjo, Kec. Karangmojo, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55891","Kulwo, Bejiharjo","Kec. Karangmojo","Kafe","0878-2093-4375","0878-2093-4375, +62 878-2093-4375","YES",8,5,"https://search.google.com/local/reviews?placeid=ChIJ5YNpjSVLei4RCJv55Wo_3Tg&q=warung+dekat+gua+pindul&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=4097500964334443272",-7.9394781,110.64594459999999,"","","Kamis:[10.00-17.00], Jumat:[10.00-17.00], Sabtu:[10.00-17.00], Minggu:[10.00-17.00], Senin:[10.00-17.00], Selasa:[10.00-17.00], Rabu:[10.00-17.00]","","4097500964334443272","ChIJ5YNpjSVLei4RCJv55Wo_3Tg"
"RUMAH MAKAN PADMO (45) MASAKAN KHAS HANDAYANI","3M67+66F, Jl. Ngawis - Munggur, Gondang, Ngawis, Kec. Karangmojo, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55891","3M67+66F","Jl. Ngawis - Munggur","Restoran","(0274) 2903109","(0274) 2903109, +62 274 2903109","NO",321,4.5,"https://search.google.com/local/reviews?placeid=ChIJWSX2SX1Lei4RXJwLgCA-R_0&q=warung+dekat+gua+pindul&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=18250624324250344540",-7.939431099999999,110.66305659999999,"","","Kamis:[10.00-20.00], Jumat:[10.00-20.00], Sabtu:[10.00-20.00], Minggu:[10.00-20.00], Senin:[10.00-20.00], Selasa:[10.00-20.00], Rabu:[10.00-20.00]","https://lh5.googleusercontent.com/p/AF1QipMtOL3UCG7ktN8MSlqHRGQ8SRKF_IhNpsYH2RM-=w122-h92-k-no","18250624324250344540","ChIJWSX2SX1Lei4RXJwLgCA-R_0"
"Warung ijo","3J5W+279, Kulwo, Bejiharjo, Kec. Karangmojo, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55891","3J5W+279","Kulwo, Bejiharjo","Toko bahan makanan","0878-3858-3240","0878-3858-3240, +62 878-3858-3240","NO",4,5,"https://search.google.com/local/reviews?placeid=ChIJy0ZFpshLei4REyHVT0Wj6_c&q=warung+dekat+gua+pindul&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=17864551864982642963",-7.9424676,110.645726,"http://www.warungijo.com/","warungijo.com","Kamis:[09.00-17.00], Jumat:[09.00-17.00], Sabtu:[09.00-17.00], Minggu:[07.30-17.00], Senin:[09.00-17.00], Selasa:[09.00-17.00], Rabu:[09.00-17.00]","https://lh5.googleusercontent.com/p/AF1QipPed1ju2U82qshmq_WZFuNA3Tg7RMv6k8YIeF9K=w92-h92-k-no","17864551864982642963","ChIJy0ZFpshLei4REyHVT0Wj6_c"
"WARUNG NASI BU WATIK","3JC3+78G, Jl. Wonosari - Nglipar, Gelung, Gari, Kec. Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55851","3JC3+78G","Jl. Wonosari - Nglipar","Warung nasi,Rumah Makan","","","NO","","","","https://www.google.com/maps?cid=11454375880624663493",-7.9293087,110.60331479999999,"","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=V53p2qxDyhJ58UvvhqhZlQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=58.506374&pitch=0&thumbfov=100","11454375880624663493","ChIJqdr9HaVNei4RxWtv8Cwe9p4"
