"Name","Fulladdress","Street","Municipality","Categories","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening hours","Featured image","Cid","Place Id"
"Warung Pondok Tengger","Jl. Raya Bromo No.RT. 03, RW.3, Cemorolawang, Ngadisari, Kec. Sukapura, Kabupaten Probolinggo, Jawa Timur 67254","Jl. Raya Bromo No.RT. 03","RW.3, Cemorolawang, Ngadisari","Rumah Makan","0823-3535-1527","0823-3535-1527, +62 823-3535-1527","YES",95,4.3,"https://search.google.com/local/reviews?placeid=ChIJUUes-mc21i0RNkhgHlOZ6ms&q=warung+dekat+gunung+bromo&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=7776196288879544374",-7.921372399999999,112.96459039999999,"https://warung-pondok-tengger.business.site/","business.site","Kamis:[07.00-22.00], Jumat:[07.00-22.00], Sabtu:[07.00-22.00], Minggu:[07.00-22.00], Senin:[07.00-22.00], Selasa:[07.00-22.00], Rabu:[07.00-22.00]","https://lh5.googleusercontent.com/p/AF1QipNQ7c2xGcqdPzgGys5ZpXLGvBKdmuRjgJmX0mHj=w163-h92-k-no","7776196288879544374","ChIJUUes-mc21i0RNkhgHlOZ6ms"
"Warung Nasi goreng MALANG","3XG8+RF9, Ngadisari, Kec. Sukapura, Kabupaten Probolinggo, Jawa Timur 67254","3XG8+RF9","Ngadisari","Restoran Nasi Goreng","","","NO","","","","https://www.google.com/maps?cid=9151392806018350012",-7.9229625,112.9662407,"","","Kamis:[Tutup], Jumat:[Tutup], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Tutup], Selasa:[Tutup], Rabu:[Tutup]","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=98CWTqq7fZ7CS_QlEt-nSg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=235.67152&pitch=0&thumbfov=100","9151392806018350012","ChIJO-NgQ4U31i0RvPvJWkVHAH8"
"Warung Kita","3XH8+M7H, Ngadisari, Kec. Sukapura, Kabupaten Probolinggo, Jawa Timur 67254","3XH8+M7H","Ngadisari","Restoran","","","NO",11,4.4,"https://search.google.com/local/reviews?placeid=ChIJ1cKeC2g21i0R-VoIOqT0Ing&q=warung+dekat+gunung+bromo&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=8656750419944954617",-7.920816599999999,112.9657495,"","","Kamis:[07.00-21.00], Jumat:[07.00-21.00], Sabtu:[07.00-21.00], Minggu:[07.00-21.00], Senin:[07.00-21.00], Selasa:[07.00-21.00], Rabu:[07.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipMow-qYTcRHySfQwO7dHXtI7Z5Fs3HTvKaPxWY5=w122-h92-k-no","8656750419944954617","ChIJ1cKeC2g21i0R-VoIOqT0Ing"
"Warung Adas Mini","Jl. Raya Bromo No.KM. 01, Cemorolawang, Ngadisari, Kec. Sukapura, Kabupaten Probolinggo, Jawa Timur 67254","Jl. Raya Bromo No.KM. 01","Cemorolawang, Ngadisari","Rumah Makan","0852-3284-6379","0852-3284-6379, +62 852-3284-6379","YES",1,3,"https://search.google.com/local/reviews?placeid=ChIJ5WhxDws31i0Ran8kCm1hmFM&q=warung+dekat+gunung+bromo&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=6023671622557532010",-7.9226939,112.96492219999999,"https://warung-adas-mini.business.site/","warung-adas-mini.business.site","Kamis:[07.00-21.00], Jumat:[07.00-21.00], Sabtu:[07.00-21.00], Minggu:[07.00-21.00], Senin:[07.00-21.00], Selasa:[07.00-21.00], Rabu:[07.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipNNv8NHXjKgp9ds1giW2hkng5y_OWAMzfqI0RiH=w122-h92-k-no","6023671622557532010","ChIJ5WhxDws31i0Ran8kCm1hmFM"
"Warung Gunung","3XG7+VPC, Unnamed Road, Cemorolawang, Ngadisari, Sukapura, Probolinggo Regency, East Java 67254","3XG7+VPC","Unnamed Road","Restoran","","","NO",1,4,"https://search.google.com/local/reviews?placeid=ChIJSUbbuzA31i0R98dRpTnIy04&q=warung+dekat+gunung+bromo&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=5677851905142933495",-7.922803399999999,112.9642729,"","","","https://lh5.googleusercontent.com/p/AF1QipOP0mDXcQatxOFkpHZXXgl7qdrhgPP3KUVZuvRA=w80-h142-k-no","5677851905142933495","ChIJSUbbuzA31i0R98dRpTnIy04"
"Warung Bromo Indah","3XH7+G89, Cemorolawang, Ngadisari, Kec. Sukapura, Kabupaten Probolinggo, Jawa Timur 67254","3XH7+G89","Cemorolawang, Ngadisari","Rumah Makan","","","NO",7,4.6,"https://search.google.com/local/reviews?placeid=ChIJ09pHjmc21i0R5_7pojq4mck&q=warung+dekat+gunung+bromo&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=14526844635041103591",-7.9212124,112.96336249999999,"","","Kamis:[07.00-21.00], Jumat:[07.00-21.00], Sabtu:[07.00-21.00], Minggu:[07.00-21.00], Senin:[07.00-21.00], Selasa:[07.00-21.00], Rabu:[07.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipPD1ou39NEo9qX1tWcEpKwH_C8yPzE_EAxLBykm=w138-h92-k-no","14526844635041103591","ChIJ09pHjmc21i0R5_7pojq4mck"
"Warung Pelancong Bu Lusi","Jl. Raya Bromo No.67254, Cemorolawang, Ngadisari, Kec. Sukapura, Kabupaten Probolinggo, Jawa Timur 67254","Jl. Raya Bromo No.67254","Cemorolawang, Ngadisari","Restoran","0822-2852-8069","0822-2852-8069, +62 822-2852-8069","NO",5,5,"https://search.google.com/local/reviews?placeid=ChIJFVtoSFQ31i0RTJb7qMdWA3c&q=warung+dekat+gunung+bromo&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=8575793530977097292",-7.921796199999999,112.9649814,"","","Kamis:[07.00-21.00], Jumat:[07.00-21.00], Sabtu:[07.00-22.00], Minggu:[07.00-22.00], Senin:[07.00-21.00], Selasa:[07.00-21.00], Rabu:[07.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipOyKBypXr4PTZCOZXQOnwjRNF55WSL4OIoM9DDM=w163-h92-k-no","8575793530977097292","ChIJFVtoSFQ31i0RTJb7qMdWA3c"
"Warung Riska Jaya","Cemorolawang, Ngadisari, Kec. Sukapura, Kabupaten Probolinggo, Jawa Timur 67254","Cemorolawang, Ngadisari","Kec. Sukapura","Restoran","0858-5276-5559","0858-5276-5559, +62 858-5276-5559","YES",3,5,"https://search.google.com/local/reviews?placeid=ChIJQ4LvOS431i0RvyVUkseSUMs&q=warung+dekat+gunung+bromo&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=14650370973687358911",-7.9213869,112.96464909999999,"","","Kamis:[06.00-22.00], Jumat:[06.00-22.00], Sabtu:[06.00-22.00], Minggu:[06.00-22.00], Senin:[06.00-22.00], Selasa:[06.00-22.00], Rabu:[06.00-22.00]","https://lh5.googleusercontent.com/p/AF1QipMFJQ0igE5SfVZsZys9DXRgeXHUQqCaIZhF_TLB=w122-h92-k-no","14650370973687358911","ChIJQ4LvOS431i0RvyVUkseSUMs"
"Warung Rini Bromo","Jl. Raya Bromo No.KM. 01, Cemorolawang, Ngadisari, Kec. Sukapura, Kabupaten Probolinggo, Jawa Timur 67254","Jl. Raya Bromo No.KM. 01","Cemorolawang, Ngadisari","Rumah Makan","0858-5276-5559","0858-5276-5559, +62 858-5276-5559","NO",3,3.7,"https://search.google.com/local/reviews?placeid=ChIJMzy_fDs31i0RRX-Kj1onx1A&q=warung+dekat+gunung+bromo&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=5820664313308413765",-7.9225378,112.9646563,"https://warung-rini-bromo.business.site/","business.site","Kamis:[07.00-22.00], Jumat:[07.00-22.00], Sabtu:[07.00-22.00], Minggu:[07.00-22.00], Senin:[07.00-22.00], Selasa:[07.00-22.00], Rabu:[07.00-22.00]","https://lh5.googleusercontent.com/p/AF1QipNsI7lYBS1WSTkUWT5GWAqMdrbCwxvryJ4wa94F=w80-h142-k-no","5820664313308413765","ChIJMzy_fDs31i0RRX-Kj1onx1A"
"Warung Gunung Bromo","Taman Nasional Bromo Tengger Semeru, Cemorolawang, Ngadisari, Kec. Sukapura, Kabupaten Probolinggo, Jawa Timur 67254","Taman Nasional Bromo Tengger Semeru","Cemorolawang, Ngadisari","Guest house","","","NO",6,4.3,"https://search.google.com/local/reviews?placeid=ChIJiemkt7Y31i0RQdxe4mQ7KKQ&q=warung+dekat+gunung+bromo&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=11828769725769243713",-7.9230681,112.9644067,"","","","https://lh5.googleusercontent.com/p/AF1QipNEr9YVyM1q1z-pxVgjw8Re90qsCwXUxeJkFwCr=w122-h92-k-no","11828769725769243713","ChIJiemkt7Y31i0RQdxe4mQ7KKQ"
