"Name","Fulladdress","Street","Municipality","Categories","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening hours","Featured image","Cid","Place Id"
"Rumah Makan Griseng","6JR5+4WR, Cikahuripan, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391","6JR5+4WR","Cikahuripan","Restoran Padang,Rumah Makan","","","NO",1,3,"https://search.google.com/local/reviews?placeid=ChIJ_5iKoCgeaS4RNo0Q_2o7Ed8&q=warung+dekat+gunung+tangkuban+parahu&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=16073693875793857846",-6.7596377,107.6097807,"","","Kamis:[08.30-21.00], Jumat:[08.30-21.00], Sabtu:[08.30-21.00], Minggu:[08.30-21.00], Senin:[08.30-21.00], Selasa:[08.30-21.00], Rabu:[08.30-21.00]","","16073693875793857846","ChIJ_5iKoCgeaS4RNo0Q_2o7Ed8"
"Warung Ema Puncak Jayagiri","6JCC+CPF, Jayagiri, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391","6JCC+CPF","Jayagiri","Restoran","","","NO",253,4.5,"https://search.google.com/local/reviews?placeid=ChIJ90pyrDTgaC4RkNtomLaqgQE&q=warung+dekat+gunung+tangkuban+parahu&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=108555567251381136",-6.7789464,107.6217861,"","","Kamis:[06.00-21.00], Jumat:[06.00-21.00], Sabtu:[06.00-21.00], Minggu:[06.00-21.00], Senin:[06.00-21.00], Selasa:[06.00-21.00], Rabu:[06.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipONOlbO0zfQbZMDwr4PQylWkQdVd1o0RkBkEqHv=w80-h160-k-no","108555567251381136","ChIJ90pyrDTgaC4RkNtomLaqgQE"
"Warung Abah","Pd. Kulawarga, Jl. Raya Tangkuban Parahu No.207, Cikole, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391","Pd. Kulawarga","Jl. Raya Tangkuban Parahu No.207","Restoran Nasi Goreng,Rumah Makan","0821-2910-1954","0821-2910-1954, +62 821-2910-1954","NO",25,4.3,"https://search.google.com/local/reviews?placeid=ChIJz7wMm2_gaC4RJxku846v_KA&q=warung+dekat+gunung+tangkuban+parahu&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=11600339768699656487",-6.7923006,107.65435199999999,"","","Kamis:[06.00-21.00], Jumat:[06.00-21.00], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[06.00-21.00], Selasa:[06.00-21.00], Rabu:[06.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipOE9Apl6feAVbnVAyga3q_V5RoDsKgTezyFQaJu=w80-h142-k-no","11600339768699656487","ChIJz7wMm2_gaC4RJxku846v_KA"
"Warung Nasi Bu Ade","Jl. Raya Tangkuban Parahu No.106, Cibogo, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391","Jl. Raya Tangkuban Parahu No.106","Cibogo","Restoran Sunda,Warung nasi","","","YES",773,4.4,"https://search.google.com/local/reviews?placeid=ChIJRTUBb_DgaC4Ruv_UUh_ePww&q=warung+dekat+gunung+tangkuban+parahu&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=882668278102949818",-6.8123076,107.6342073,"","","Kamis:[09.00-21.00], Jumat:[09.00-21.00], Sabtu:[09.00-21.00], Minggu:[09.00-21.00], Senin:[09.00-21.00], Selasa:[09.00-21.00], Rabu:[09.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipPUFKbkEYz46nUVjfGoFOsEYQJHU2MyreNUGylG=w80-h106-k-no","882668278102949818","ChIJRTUBb_DgaC4Ruv_UUh_ePww"
"Warung Nasi Ma Ika","6M32+6J7, Jl. Raya Tangkuban Parahu, Cikole, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391","6M32+6J7","Jl. Raya Tangkuban Parahu","Warung nasi","","","NO",23,4.7,"https://search.google.com/local/reviews?placeid=ChIJHYqD64rhaC4R_oat-pwa6Zs&q=warung+dekat+gunung+tangkuban+parahu&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=11234540006975309566",-6.796964,107.6515316,"","","Kamis:[06.00-17.00], Jumat:[06.00-17.00], Sabtu:[06.00-17.00], Minggu:[06.00-17.00], Senin:[06.00-17.00], Selasa:[06.00-17.00], Rabu:[06.00-17.00]","https://lh5.googleusercontent.com/p/AF1QipN5_1WpgaxK0VCUqjCsGiY3FP8z-1nelRzdTEBi=w138-h92-k-no","11234540006975309566","ChIJHYqD64rhaC4R_oat-pwa6Zs"
"Warung Nasi Khas Sunda Bu Hj Onda 3","Jl. Raya Tangkuban Parahu No.75, Cibogo, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391","Jl. Raya Tangkuban Parahu No.75","Cibogo","Restoran,Warung nasi,Restoran Sunda","","","YES",306,4.4,"https://search.google.com/local/reviews?placeid=ChIJE0Gq-ZThaC4RH9D_U5s5GcE&q=warung+dekat+gunung+tangkuban+parahu&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=13914215863029846047",-6.811935399999999,107.6334452,"","","Kamis:[07.30-22.00], Jumat:[07.30-22.00], Sabtu:[07.30-22.00], Minggu:[07.30-22.00], Senin:[07.30-22.00], Selasa:[07.30-22.00], Rabu:[07.30-22.00]","https://lh5.googleusercontent.com/p/AF1QipPDT9XhRdxUcd8ztY23BEKA86dLqg1Z04n_srm3=w80-h106-k-no","13914215863029846047","ChIJE0Gq-ZThaC4RH9D_U5s5GcE"
"Gubug Makan Mang Engking","Jalan Raya Tangkuban Perahu KM.1 No.68, Cibogo, Lembang, Cibogo, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391","Jalan Raya Tangkuban Perahu KM.1 No.68, Cibogo, Lembang","Cibogo","Restoran Seafood,Restoran Indonesia,Restoran Sunda","(022) 2784978","(022) 2784978, +62 22 2784978","NO",3584,4.3,"https://search.google.com/local/reviews?placeid=ChIJ37FsoxzhaC4RePntVP-5bRQ&q=warung+dekat+gunung+tangkuban+parahu&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=1472037159512701304",-6.810489,107.6270706,"","","Kamis:[10.00-20.00], Jumat:[10.00-20.00], Sabtu:[10.00-20.00], Minggu:[10.00-20.00], Senin:[10.00-20.00], Selasa:[10.00-20.00], Rabu:[10.00-20.00]","https://lh5.googleusercontent.com/p/AF1QipPSLSEjCOb6SNsqon4s8V-DgF3k8lJqcCeZXurw=w122-h92-k-no","1472037159512701304","ChIJ37FsoxzhaC4RePntVP-5bRQ"
"Rumah Makan Kurnia Jatim","Jalan Tangkuban Perahu KM. 3.5 No.144, Cibogo, Lembang, Cibogo, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391","Jalan Tangkuban Perahu KM. 3.5 No.144, Cibogo, Lembang","Cibogo","Restoran Sunda","(022) 82782000","(022) 82782000, +62 22 82782000","NO",2926,4.1,"https://search.google.com/local/reviews?placeid=ChIJPdYsf_TgaC4RXR73U_9sQ9o&q=warung+dekat+gunung+tangkuban+parahu&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=15727534167589068381",-6.8086348999999995,107.6416756,"","","Kamis:[06.00-22.00], Jumat:[06.00-22.00], Sabtu:[06.00-22.00], Minggu:[06.00-22.00], Senin:[06.00-22.00], Selasa:[06.00-22.00], Rabu:[06.00-22.00]","https://lh5.googleusercontent.com/p/AF1QipPD3cTUoWJX6gFa14EKbYEt785hz_20BTivwmmy=w163-h92-k-no","15727534167589068381","ChIJPdYsf_TgaC4RXR73U_9sQ9o"
"Saung Pengkolan 2","No.81, Jl. Raya Tangkuban Parahu No.Raya, Cikole, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391","No.81","Jl. Raya Tangkuban Parahu No.Raya","Restoran Sunda,Rumah Makan","0821-1820-2525","0821-1820-2525, +62 821-1820-2525","YES",2902,4,"https://search.google.com/local/reviews?placeid=ChIJeUkZfWXgaC4RpGj3mw7X_X4&q=warung+dekat+gunung+tangkuban+parahu&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=9150706475632912548",-6.796982,107.65327579999999,"","","Kamis:[07.30-21.00], Jumat:[07.30-21.00], Sabtu:[07.30-21.00], Minggu:[07.30-21.00], Senin:[07.30-21.00], Selasa:[07.30-21.00], Rabu:[07.30-21.00]","https://lh5.googleusercontent.com/p/AF1QipPaIdAvwcUOz9bC9-4E6pQUVh1NxizExXf7EAnW=w163-h92-k-no","9150706475632912548","ChIJeUkZfWXgaC4RpGj3mw7X_X4"
"RM Cikole","Jl. Raya Tangkuban Parahu No.8, Cikole, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391","Jl. Raya Tangkuban Parahu No.8","Cikole","Restoran Sunda,Kedai Sarapan,Restoran Keluarga","(022) 2786880","(022) 2786880, +62 22 2786880","YES",2148,4.2,"https://search.google.com/local/reviews?placeid=ChIJbZ1pCorgaC4RieAvK0RawOM&q=warung+dekat+gunung+tangkuban+parahu&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=16411216290966921353",-6.8030326,107.6501059,"http://www.rmcikole.com/index.php/lokasi-reservasi","rmcikole.com","Kamis:[10.00-20.00], Jumat:[10.00-20.00], Sabtu:[10.00-20.30], Minggu:[10.00-20.30], Senin:[10.00-20.00], Selasa:[10.00-20.00], Rabu:[10.00-20.00]","https://lh5.googleusercontent.com/p/AF1QipNjhH6JvQ7oQZvzv-pPynLGMfLfVEutbOshTLK4=w122-h92-k-no","16411216290966921353","ChIJbZ1pCorgaC4RieAvK0RawOM"
