"Name","Fulladdress","Street","Municipality","Categories","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening hours","Featured image","Cid","Place Id"
"RESTO RM OLAHAN NDESO BUKIT PENGGER","4FH6+H3P, Jl. Pleret-Patuk, Sendangsari, Terong, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783","4FH6+H3P","Jl. Pleret-Patuk","Restoran","0812-2611-4474","0812-2611-4474, +62 812-2611-4474","NO",216,4.4,"https://search.google.com/local/reviews?placeid=ChIJzZEVYChRei4Rz8-t39LRr9A&q=warung+dekat+hutan+pinus+pengger&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=15037468384439422927",-7.871046799999999,110.4602068,"","","Kamis:[07.30-22.00], Jumat:[07.30-22.00], Sabtu:[07.30-22.00], Minggu:[07.30-22.00], Senin:[07.30-22.00], Selasa:[07.30-22.00], Rabu:[07.30-22.00]","https://lh5.googleusercontent.com/p/AF1QipNJdPDWbAd8ON_HvCaWTmFx32LAh9h9AjXGanTS=w137-h92-k-no","15037468384439422927","ChIJzZEVYChRei4Rz8-t39LRr9A"
"Resto Pawon Mbok Surip","Sendangsari, Terong, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55792","Sendangsari, Terong","Kec. Dlingo","Restoran","0821-4412-2865","0821-4412-2865, +62 821-4412-2865","YES",29,4.8,"https://search.google.com/local/reviews?placeid=ChIJzT2ej2VRei4RuRFkSEmkUDU&q=warung+dekat+hutan+pinus+pengger&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=3841751116801118649",-7.869614299999999,110.4611925,"https://bit.ly/3fFa6CR","bit.ly","Kamis:[09.00-20.00], Jumat:[09.00-20.00], Sabtu:[09.00-20.00], Minggu:[09.00-20.00], Senin:[09.00-20.00], Selasa:[09.00-20.00], Rabu:[09.00-20.00]","https://lh5.googleusercontent.com/p/AF1QipNmuYY2GG07jiO3mdnQwc2RnR8Mrx23s9nyqXl8=w80-h106-k-no","3841751116801118649","ChIJzT2ej2VRei4RuRFkSEmkUDU"
"Mie Ayam dan Bakso Urat “wong pati”","Sendangsari, Terong, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783","Sendangsari, Terong","Kec. Dlingo","Kedai Sarapan & Makan Siang,Restoran Mie","","","YES",6,5,"https://search.google.com/local/reviews?placeid=ChIJxbx6kZJRei4RaTFv38-sPhM&q=warung+dekat+hutan+pinus+pengger&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=1386735744083505513",-7.8713947,110.45934899999999,"","","","https://lh5.googleusercontent.com/p/AF1QipNaAROGJD1FvC2a2ZJlGol1OkXk_1KudBeae4MO=w80-h106-k-no","1386735744083505513","ChIJxbx6kZJRei4RaTFv38-sPhM"
"Party House Cafe","4FH5+9Q7, Jl. Dlingo-Patuk, Pantirejo, Terong, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783","4FH5+9Q7","Jl. Dlingo-Patuk","Restoran Indonesia","","","NO",6,4.7,"https://search.google.com/local/reviews?placeid=ChIJHyfSInBRei4RfUQiv5jb8Bg&q=warung+dekat+hutan+pinus+pengger&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=1797177700409033853",-7.871598199999999,110.45942529999999,"https://www.instagram.com/partyhousecafe.id?r=nametag","instagram.com","Kamis:[08.00-21.00], Jumat:[08.00-21.00], Sabtu:[08.00-21.00], Minggu:[08.00-21.00], Senin:[08.00-21.00], Selasa:[08.00-21.00], Rabu:[08.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipMTvrbbM0fJ0pqwnKvSnb-OP8CRH58YnCuIGK-v=w80-h142-k-no","1797177700409033853","ChIJHyfSInBRei4RfUQiv5jb8Bg"
"Warung Sundul","4FVF+346, Jl. Dlingo-Patuk, Duwen Bintang, Srimulyo, Kec. Piyungan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55792","4FVF+346","Jl. Dlingo-Patuk","Restoran","0877-3873-7643","0877-3873-7643, +62 877-3873-7643","NO",364,4.6,"https://search.google.com/local/reviews?placeid=ChIJkeirDnZRei4R0IV-271XNfk&q=warung+dekat+hutan+pinus+pengger&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=17957355562152658384",-7.857335399999999,110.4727624,"","","Kamis:[13.00-01.00], Jumat:[13.00-01.00], Sabtu:[13.00-01.00], Minggu:[13.00-01.00], Senin:[13.00-01.00], Selasa:[13.00-01.00], Rabu:[13.00-01.00]","https://lh5.googleusercontent.com/p/AF1QipMbNJyPiWU0ri-F2zqoBEgTQYnw-H2Ctfu9Bwtn=w194-h92-k-no","17957355562152658384","ChIJkeirDnZRei4R0IV-271XNfk"
"Warung W.A","4FRF+V4R, Jalan Pleret-Patuk, Pandeyan, Srimulyo, Piyungan, Duwen Bintang, Srimulyo, Kec. Piyungan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55792","4FRF+V4R","Jalan Pleret-Patuk, Pandeyan, Srimulyo, Piyungan","Kedai Sarapan & Makan Siang,Restoran","0813-2767-8424","0813-2767-8424, +62 813-2767-8424","NO",29,4.4,"https://search.google.com/local/reviews?placeid=ChIJfxBAx3tRei4RWBUwztxO3fU&q=warung+dekat+hutan+pinus+pengger&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=17716403219404428632",-7.8577666,110.47276699999999,"","","Kamis:[13.00-00.00], Jumat:[13.00-00.00], Sabtu:[13.00-00.00], Minggu:[13.00-00.00], Senin:[13.00-00.00], Selasa:[13.00-00.00], Rabu:[13.00-00.00]","https://lh5.googleusercontent.com/p/AF1QipMenrkXsIj9K5NWxeAv_knAmIQCaHKKsJcGjCx2=w184-h92-k-no","17716403219404428632","ChIJfxBAx3tRei4RWBUwztxO3fU"
"Bakso Beranak","Pantirejo, Terong, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta","Pantirejo, Terong","Kec. Dlingo","Restoran","","","NO","","","","https://www.google.com/maps?cid=8715836122965651595",-7.871523,110.4594939,"","","Kamis:[10.00-21.00], Jumat:[10.00-21.00], Sabtu:[10.00-21.00], Minggu:[10.00-21.00], Senin:[10.00-21.00], Selasa:[10.00-21.00], Rabu:[10.00-21.00]","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5T8XScLQB6KnsLzSU05kxg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=179.72034&pitch=0&thumbfov=100","8715836122965651595","ChIJvSOY-2JRei4Ri7Difcbe9Hg"
"Warung bu warti","4FG5+W6H, Hutan Pinus Sendangsari, Jl. Dlingo-Patuk, Pantirejo, Terong, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783","4FG5+W6H","Hutan Pinus Sendangsari","Pusat Perbelanjaan","","","NO",1,5,"https://search.google.com/local/reviews?placeid=ChIJ5bb6SltRei4Rmg3qRR6Xud8&q=warung+dekat+hutan+pinus+pengger&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=16121082497427180954",-7.872681999999999,110.45811859999999,"","","Kamis:[05.30-20.30], Jumat:[05.30-20.30], Sabtu:[05.30-20.30], Minggu:[05.30-20.30], Senin:[05.30-20.30], Selasa:[05.30-20.30], Rabu:[05.30-20.30]","https://lh5.googleusercontent.com/p/AF1QipNafg3kBEeNFIemTrVQlChv0sft-Zs5Sux6vxOS=w122-h92-k-no","16121082497427180954","ChIJ5bb6SltRei4Rmg3qRR6Xud8"
"Warung kelontong asigit","4FG5+PPJ, Unnamed Road, Pantirejo, Terong, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783","4FG5+PPJ","Unnamed Road","Pusat Perbelanjaan","","","NO",3,4.7,"https://search.google.com/local/reviews?placeid=ChIJy4ylXqNRei4RMDJTx8vq5B8&q=warung+dekat+hutan+pinus+pengger&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=2298219870809174576",-7.8731674,110.459251,"","","","https://lh5.googleusercontent.com/p/AF1QipMNIzMAXunPRcyCeLEeqJadpG-XPKO_neQxbMw8=w163-h92-k-no","2298219870809174576","ChIJy4ylXqNRei4RMDJTx8vq5B8"
"Warung Puncak Mbok Lemoe","Jalan Gunungcilik RT. 07 / RW. 02, Area Wisata Puncak Becici No.8 Muntuk,, Dlin, Gn. Cilik, Muntuk, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783","Jalan Gunungcilik RT. 07 / RW. 02, Area Wisata Puncak Becici No.8 Muntuk,, Dlin","Gn. Cilik, Muntuk","Rumah Makan","0812-2605-6462","0812-2605-6462, +62 812-2605-6462","NO",276,4.3,"https://search.google.com/local/reviews?placeid=ChIJN252F45Tei4Rrj2HN58UZfg&q=warung+dekat+hutan+pinus+pengger&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=17898734968117869998",-7.9008875,110.4360858,"","","Kamis:[08.00-17.00], Jumat:[08.00-17.00], Sabtu:[08.00-17.00], Minggu:[08.00-17.00], Senin:[08.00-17.00], Selasa:[08.00-17.00], Rabu:[08.00-17.00]","https://lh5.googleusercontent.com/p/AF1QipOTj8g0GaMG2DVRvvjGuGiQp48oq0r6PCn0auLp=w80-h106-k-no","17898734968117869998","ChIJN252F45Tei4Rrj2HN58UZfg"
