"Name","Fulladdress","Street","Municipality","Categories","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening hours","Featured image","Cid","Place Id"
"Warung Teh Dewi Cipengsmp1wanaraja(tidak ada cabang)","Jl. Talaga Bodas No.38, Wanamekar, Kec. Wanaraja, Kabupaten Garut, Jawa Barat 44183","Jl. Talaga Bodas No.38","Wanamekar","Restoran,Toko Makanan","0895-3851-94193","0895-3851-94193, +62 895-3851-94193","YES",107,5,"https://search.google.com/local/reviews?placeid=ChIJ74yQ6CWzaC4RCcub6GOZp_k&q=warung+dekat+kawah+telaga+bodas&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=17989515890938071817",-7.1769656,107.98758939999999,"","","Kamis:[09.00-21.00], Jumat:[09.00-21.00], Sabtu:[09.00-21.00], Minggu:[12.00-21.00], Senin:[09.00-21.00], Selasa:[09.00-21.00], Rabu:[09.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipOpgXeNM0PKM7bqD9KM5IfCrbcXu2yUJNfCSnsW=w164-h92-k-no","17989515890938071817","ChIJ74yQ6CWzaC4RCcub6GOZp_k"
"Kedai Talaga","Jl. Talaga Bodas, Wanajaya, Kec. Wanaraja, Kabupaten Garut, Jawa Barat 44183","Jl. Talaga Bodas","Wanajaya","Restoran","0812-2096-9112","0812-2096-9112, +62 812-2096-9112","YES",12,4.8,"https://search.google.com/local/reviews?placeid=ChIJESgGtIuzaC4R87N0JVoDXJ0&q=warung+dekat+kawah+telaga+bodas&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=11338941647522411507",-7.1727548,107.9822315,"https://www.instagram.com/kedai_talaga/","instagram.com","Kamis:[10.00-20.00], Jumat:[10.00-20.00], Sabtu:[10.00-20.00], Minggu:[10.00-20.00], Senin:[10.00-20.00], Selasa:[10.00-20.00], Rabu:[10.00-20.00]","https://lh5.googleusercontent.com/p/AF1QipOKu7rDeWxaYyQZvGT45nGvWOk989MyI-663MOu=w92-h92-k-no","11338941647522411507","ChIJESgGtIuzaC4R87N0JVoDXJ0"
"Warung Bakso Ceu Nyai","R2Q5+VHQ, Jl. Raya Sukamukti-Cinta, Sukamukti, Kec. Sukawening, Kabupaten Garut, Jawa Barat 44184","R2Q5+VHQ","Jl. Raya Sukamukti-Cinta","Restoran Bakso","","","NO",49,4.5,"https://search.google.com/local/reviews?placeid=ChIJG8gXPvmzaC4RTsOfxGsLQgU&q=warung+dekat+kawah+telaga+bodas&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=378877876140753742",-7.1602792,108.008973,"","","Kamis:[09.00-19.00], Jumat:[09.00-19.00], Sabtu:[09.00-19.00], Minggu:[09.00-19.00], Senin:[09.00-19.00], Selasa:[09.00-19.00], Rabu:[09.00-19.00]","https://lh5.googleusercontent.com/p/AF1QipNTEXUPcAcaZBWOZxuM5jGAHsxAtS4-1jvAK0O9=w122-h92-k-no","378877876140753742","ChIJG8gXPvmzaC4RTsOfxGsLQgU"
"Warung bu deis","Jl. Cibolerang, Situsaeur, Kec. Karangpawitan, Kabupaten Garut, Jawa Barat 44182","Jl. Cibolerang","Situsaeur","Warung tegal","0898-8677-111","0898-8677-111, +62 898-8677-111","YES",6,4.5,"https://search.google.com/local/reviews?placeid=ChIJccr9CwqzaC4R0EropLxkjrY&q=warung+dekat+kawah+telaga+bodas&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=13154562322979113680",-7.194457099999999,107.9596961,"","","Kamis:[07.00-22.00], Jumat:[07.00-22.00], Sabtu:[07.00-22.00], Minggu:[07.00-22.00], Senin:[07.00-22.00], Selasa:[07.00-22.00], Rabu:[07.00-22.00]","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-Ablzxk7E6Xvv-IpFaJOmQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=325.6666&pitch=0&thumbfov=100","13154562322979113680","ChIJccr9CwqzaC4R0EropLxkjrY"
"WARUNG ALBAR","Situjaya, Kec. Karangpawitan, Kabupaten Garut, Jawa Barat 44182","Situjaya","Kec. Karangpawitan","Restoran","0852-1979-2404","0852-1979-2404, +62 852-1979-2404","YES",29,4.7,"https://search.google.com/local/reviews?placeid=ChIJh9sPSs6zaC4RYVXaVWvovCM&q=warung+dekat+kawah+telaga+bodas&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=2575188634648597857",-7.192441499999999,107.9671513,"http://www.albar.com/","albar.com","Kamis:[08.00-19.00], Jumat:[08.00-19.00], Sabtu:[08.00-19.00], Minggu:[08.00-19.00], Senin:[08.00-19.00], Selasa:[08.00-19.00], Rabu:[08.00-19.00]","https://lh5.googleusercontent.com/p/AF1QipP5XR951oVztEIyix4AxwsvWsgfeGyHDY4V5dto=w122-h92-k-no","2575188634648597857","ChIJh9sPSs6zaC4RYVXaVWvovCM"
"KEDAI NGEGEL","Jl. Kudang 1, Wanajaya, Kec. Wanaraja, Kabupaten Garut, Jawa Barat 44183","Jl. Kudang 1","Wanajaya","Restoran","0878-1303-5281","0878-1303-5281, +62 878-1303-5281","YES","","","","https://www.google.com/maps?cid=634137348659015831",-7.170225599999999,107.9851647,"","","Kamis:[09.00-21.00], Jumat:[09.00-21.00], Sabtu:[09.00-21.00], Minggu:[09.00-21.00], Senin:[09.00-21.00], Selasa:[09.00-21.00], Rabu:[09.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipOOqTrAunv3auFgUdEWAIyr21dzcYSKVGqLOPyc=w130-h92-k-no","634137348659015831","ChIJaTA09vGzaC4Rl_CgDY_ozAg"
"SAUNG SUNDA (AKI IYA)","R272+MM2, Unnamed Road, Sindangratu, Kec. Wanaraja, Kabupaten Garut, Jawa Barat 44183","R272+MM2","Unnamed Road","Restoran Sunda,Restoran Indonesia","","","NO",9,4.3,"https://search.google.com/local/reviews?placeid=ChIJM9tvl32zaC4RGHnnXn92ix0&q=warung+dekat+kawah+telaga+bodas&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=2128925538287843608",-7.1858695,108.0016435,"http://abiewroadrace.blogspot.com/","abiewroadrace.blogspot.com","Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam], Rabu:[Buka 24 jam]","https://lh5.googleusercontent.com/p/AF1QipOcb_hkx9HnKp5ZKkgQ_CtIONBKLzy9iZogvafw=w80-h106-k-no","2128925538287843608","ChIJM9tvl32zaC4RGHnnXn92ix0"
"Kawah Talaga Bodas Garut","Q3Q8+WP3, Galunggung, Sukamenak, Kec. Wanaraja, Kabupaten Garut, Jawa Barat 44184","Q3Q8+WP3","Galunggung","Tujuan Wisata","","","NO",683,4.4,"https://search.google.com/local/reviews?placeid=ChIJq6qqqrq0aC4RFJYq3U-ta9U&q=warung+dekat+kawah+telaga+bodas&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=15378575911111267860",-7.2102471999999995,108.06680399999999,"","","Kamis:[06.00-17.45], Jumat:[06.00-17.45], Sabtu:[06.00-17.45], Minggu:[06.00-16.00], Senin:[06.00-17.45], Selasa:[06.00-17.45], Rabu:[06.00-17.45]","https://lh5.googleusercontent.com/p/AF1QipNSpdum83Y29R2rcDUK26hf58OyjMRk-nRKxmI3=w122-h92-k-no","15378575911111267860","ChIJq6qqqrq0aC4RFJYq3U-ta9U"
"Dapoer Bunda Gibran, Salio","Jl. Talaga Bodas, RT.03/RW.07, Wanamekar, Kec. Wanaraja, Kabupaten Garut, Jawa Barat 44183","Jl. Talaga Bodas","RT.03/RW.07, Wanamekar","Restoran Cepat Saji","0821-2023-3662","0821-2023-3662, +62 821-2023-3662","YES",4,5,"https://search.google.com/local/reviews?placeid=ChIJnU4PmYyzaC4RZYGS0sx_0HI&q=warung+dekat+kawah+telaga+bodas&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=8273253033162473829",-7.177373299999999,107.98813369999999,"https://dapoer-bunda-gibran-salio.business.site/?utm_source=gmb&utm_medium=referral","business.site","Kamis:[08.00-20.00], Jumat:[08.00-20.00], Sabtu:[08.00-20.00], Minggu:[08.00-20.00], Senin:[08.00-20.00], Selasa:[08.00-20.00], Rabu:[08.00-20.00]","https://lh5.googleusercontent.com/p/AF1QipPeXbdsb4x0xyM36ix501UPH8GVqRY2PnQmN2XM=w163-h92-k-no","8273253033162473829","ChIJnU4PmYyzaC4RZYGS0sx_0HI"
"Warung Teh Imas","Jalan Raya Karangpawitan, RT. 01 / RW. 11, Tabrik, Jatisari, Karangpawitan, Jatisari, Kec. Karangpawitan, Kabupaten Garut, Jawa Barat 44182","Jalan Raya Karangpawitan, RT. 01 / RW. 11, Tabrik, Jatisari, Karangpawitan","Jatisari","Restoran","0823-3655-6111","0823-3655-6111, +62 823-3655-6111","NO",36,4.3,"https://search.google.com/local/reviews?placeid=ChIJh1IEf4OxaC4RW6s_EpMn7x4&q=warung+dekat+kawah+telaga+bodas&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=2229043853191523163",-7.208867799999999,107.9441439,"http://instagram.com/warungtehimas","instagram.com","Kamis:[10.00-21.00], Jumat:[10.00-21.00], Sabtu:[10.00-21.00], Minggu:[10.00-21.00], Senin:[10.00-21.00], Selasa:[10.00-21.00], Rabu:[10.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipMqWpGcQRwDn3tou4uIzNay6sMypFCvEZ_z2Fdu=w80-h106-k-no","2229043853191523163","ChIJh1IEf4OxaC4RW6s_EpMn7x4"
