"Name","Fulladdress","Street","Municipality","Categories","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening hours","Featured image","Cid","Place Id"
"Warung Ikan Bakar 3M","Jl. Raya Anyer-Sirih No.KM.127, Cikoneng, Kec. Anyar, Kabupaten Serang, Banten 42166","Jl. Raya Anyer-Sirih No.KM.127","Cikoneng","Restoran Seafood,Restoran Ikan Bakar","0878-7163-0150","0878-7163-0150, +62 878-7163-0150","NO",436,4.4,"https://search.google.com/local/reviews?placeid=ChIJzY8ZlkCEQS4RmZSAMolDbkE&q=warung+dekat+pantai+anyer&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=4714780116440355993",-6.061079899999999,105.9038626,"","","Kamis:[08.00-21.00], Jumat:[08.00-21.00], Sabtu:[08.00-21.00], Minggu:[08.00-21.00], Senin:[08.00-21.00], Selasa:[08.00-21.00], Rabu:[08.00-21.00]","","4714780116440355993","ChIJzY8ZlkCEQS4RmZSAMolDbkE"
"RM Abah Juned","WWR4+6CJ, Jl. Raya Anyer-Sirih, Pegadungan, Kec. Anyar, Kabupaten Serang, Banten 42166","WWR4+6CJ","Jl. Raya Anyer-Sirih","Restoran Sunda,Restoran Ikan Bakar,Restoran","0859-5999-7705","0859-5999-7705, +62 859-5999-7705","NO",1388,4.2,"https://search.google.com/local/reviews?placeid=ChIJn6YnKEeEQS4RRp57xxfHvdg&q=warung+dekat+pantai+anyer&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=15617857987735690822",-6.0594206999999995,105.9060263,"","","Kamis:[08.00-21.00], Jumat:[08.00-21.00], Sabtu:[08.00-21.00], Minggu:[08.00-21.00], Senin:[08.00-21.00], Selasa:[08.00-21.00], Rabu:[08.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipNlLgtH19uK2BSNEEGJ1-hLcvExBXd2CZUmMxFo=w80-h142-k-no","15617857987735690822","ChIJn6YnKEeEQS4RRp57xxfHvdg"
"Kembang Sari Anyer","Jl. Raya Anyer-Sirih No.128, Cikoneng, Kec. Anyar, Kabupaten Serang, Banten 42166","Jl. Raya Anyer-Sirih No.128","Cikoneng","Restoran Seafood","0818-672-447","0818-672-447, +62 818-672-447","YES",240,4.4,"https://search.google.com/local/reviews?placeid=ChIJVVVVVRmEQS4RQX_PHy8XTvg&q=warung+dekat+pantai+anyer&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=17892263860754153281",-6.0827013,105.8847053,"","","Kamis:[09.00-20.00], Jumat:[09.00-20.00], Sabtu:[09.00-20.00], Minggu:[09.00-20.00], Senin:[09.00-20.00], Selasa:[09.00-20.00], Rabu:[09.00-20.00]","https://lh5.googleusercontent.com/p/AF1QipPGUam_OQinch3BAjCwQMhTVpAddAZx4BOsEEa3=w80-h106-k-no","17892263860754153281","ChIJVVVVVRmEQS4RQX_PHy8XTvg"
"Rumah Makan Flamboyan Anyer","Jl. Raya Anyer-Sirih No.129, Cikoneng, Kec. Anyar, Kabupaten Serang, Banten 42166","Jl. Raya Anyer-Sirih No.129","Cikoneng","Restoran Seafood","0817-9862-809","0817-9862-809, +62 817-9862-809","NO",360,4.3,"https://search.google.com/local/reviews?placeid=ChIJa6GysxaEQS4RMb5FcedK4i0&q=warung+dekat+pantai+anyer&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=3306287434341662257",-6.0681967,105.893853,"","","Kamis:[06.00-21.00], Jumat:[06.00-21.00], Sabtu:[06.00-21.00], Minggu:[06.00-21.00], Senin:[06.00-21.00], Selasa:[06.00-21.00], Rabu:[06.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipPZZp8dXSTj38H2lq0OmnqQQZZpgHzAqZPAR_w=w122-h92-k-no","3306287434341662257","ChIJa6GysxaEQS4RMb5FcedK4i0"
"Warung Sederhana","Bandulu, Kec. Anyar, Kabupaten Serang, Banten","Bandulu","Kec. Anyar","Restoran","","","NO","","","","https://www.google.com/maps?cid=15647094480585874232",-6.0850941999999995,105.8841216,"","","","https://lh5.googleusercontent.com/p/AF1QipNDuI_l-_Jy1O1gBejeytmHQ6U-E1TICpbChGZd=w122-h92-k-no","15647094480585874232","ChIJscGTr6mGQS4RONtLOoelJdk"
"Warung Ikan Bakar ABAH JUNED","WWPC+72G, Mekarsari, Kec. Anyar, Kabupaten Serang, Banten 42166","WWPC+72G","Mekarsari","Restoran Ikan Bakar","","","NO",250,4.4,"https://search.google.com/local/reviews?placeid=ChIJIYZ69zSEQS4RsmJejU2HU1I&q=warung+dekat+pantai+anyer&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=5932233901331079858",-6.064318999999999,105.9200628,"","","Kamis:[09.00-18.00], Jumat:[09.00-18.00], Sabtu:[09.00-18.00], Minggu:[09.00-18.00], Senin:[09.00-18.00], Selasa:[09.00-18.00], Rabu:[09.00-18.00]","https://lh5.googleusercontent.com/p/AF1QipPncwv7CMaHomem9L0XcmrZDmwz3ygyIodqu9IV=w184-h92-k-no","5932233901331079858","ChIJIYZ69zSEQS4RsmJejU2HU1I"
"Waroeng Elbe","Jl. Raya Anyer KM. 129, Anyer, Cikoneng, Kec. Anyar, Kabupaten Serang, Banten 42166","Jl. Raya Anyer KM. 129, Anyer","Cikoneng","Restoran Seafood,Restoran Indonesia","(0254) 602173","(0254) 602173, +62 254 602173","NO",213,4,"https://search.google.com/local/reviews?placeid=ChIJOThDok6EQS4RT8Ww6GXaEaA&q=warung+dekat+pantai+anyer&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=11534240251903001935",-6.063324,105.90034299999999,"","","Kamis:[08.00-21.00], Jumat:[08.00-21.00], Sabtu:[08.00-21.00], Minggu:[08.00-21.00], Senin:[08.00-21.00], Selasa:[08.00-21.00], Rabu:[08.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipN6n_N0l-I_lU65vLfJ4gtNtXCneQOLfKCVuMHC=w122-h92-k-no","11534240251903001935","ChIJOThDok6EQS4RT8Ww6GXaEaA"
"Warung Nasi Ibu Erti","Pasar Sirih Anyer, Jalan Karang Bolong KM. 131, Kamasan, Kec. Cinangka, Kabupaten Serang, Banten 42166","Pasar Sirih Anyer, Jalan Karang Bolong KM. 131","Kamasan","Warung nasi","0859-2051-7028","0859-2051-7028, +62 859-2051-7028","NO","","","","https://www.google.com/maps?cid=4232637533541949978",-6.1148166999999995,105.875075,"","","","","4232637533541949978","ChIJg1j-RC2BQS4RGuLASWlZvTo"
"Warung Nasi Ibu Ito","WWWC+4VJ, Jl. Raya Anyer-Sirih, Anyar, Kec. Anyar, Kabupaten Serang, Banten 42166","WWWC+4VJ","Jl. Raya Anyer-Sirih","Warung nasi","0877-7258-8938","0877-7258-8938, +62 877-7258-8938","NO",27,3.8,"https://search.google.com/local/reviews?placeid=ChIJY9nFxUyEQS4R-yYJuVHg-ts&q=warung+dekat+pantai+anyer&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=15851228480085239547",-6.0546573,105.92212579999999,"","","Kamis:[11.00-23.00], Jumat:[11.00-23.00], Sabtu:[Tutup], Minggu:[Tutup], Senin:[11.00-23.00], Selasa:[11.00-23.00], Rabu:[11.00-23.00]","https://lh5.googleusercontent.com/p/AF1QipMondaWDGbyOz768NHigkZVMMA_oArtfxuZFG2t=w80-h106-k-no","15851228480085239547","ChIJY9nFxUyEQS4R-yYJuVHg-ts"
"Warung Makan Pecak Bandung Anyer","Jalan Karang Bolong, KM. 131, Cibaru, Cikoneng Anyer, Cikoneng, Kec. Anyar, Kabupaten Serang, Banten 42166","Jalan Karang Bolong, KM. 131, Cibaru, Cikoneng Anyer","Cikoneng","Restoran Indonesia","0878-0922-4238","0878-0922-4238, +62 878-0922-4238","NO","","","","https://www.google.com/maps?cid=3963480834854728963",-6.0824359,105.88456,"","","Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam], Rabu:[Buka 24 jam]","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=s-dzNYBkFj6TOZAhcP14ZQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=108.883125&pitch=0&thumbfov=100","3963480834854728963","ChIJOTTHfAKEQS4RA7WV49EcATc"
