"Name","Fulladdress","Street","Municipality","Categories","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening hours","Featured image","Cid","Place Id"
"Warung Kembang","Pantai Balekambang Blok E 1, Jalan Balekambang, Balaikambang, Srigonco, Kec. Bantur, Kabupaten Malang, Jawa Timur 65179","Pantai Balekambang Blok E 1, Jalan Balekambang","Balaikambang, Srigonco","Rumah Makan","","","NO",1,4,"https://search.google.com/local/reviews?placeid=ChIJiec60U6peC4RTNxLRTYywSs&q=warung+dekat+pantai+balekambang&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=3152856422808280140",-8.4019592,112.533087,"","","Kamis:[07.00-16.00], Jumat:[07.00-16.00], Sabtu:[07.00-16.00], Minggu:[07.00-16.00], Senin:[07.00-16.00], Selasa:[07.00-16.00], Rabu:[07.00-16.00]","","3152856422808280140","ChIJiec60U6peC4RTNxLRTYywSs"
"Warung Harin Balekambang","Ruko Pantai Balekambang Blok E No.6 Srigonco, Balaikambang, Srigonco, Kec. Bantur, Kabupaten Malang, Jawa Timur 65179","Ruko Pantai Balekambang Blok E No.6 Srigonco","Balaikambang, Srigonco","Restoran","0822-3023-7478","0822-3023-7478, +62 822-3023-7478","YES",9,5,"https://search.google.com/local/reviews?placeid=ChIJeSUxIU-peC4R9mwi1SQCASw&q=warung+dekat+pantai+balekambang&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=3170817969863421174",-8.4023007,112.53356939999999,"https://warung-harin.business.site/","warung-harin.business.site","Kamis:[08.00-18.00], Jumat:[08.00-18.00], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[08.00-18.00], Selasa:[08.00-18.00], Rabu:[08.00-18.00]","https://lh5.googleusercontent.com/p/AF1QipPPDJY9R2bgr1y9fwYEmI_lHSV0uc3qaT7RJGlK=w122-h92-k-no","3170817969863421174","ChIJeSUxIU-peC4R9mwi1SQCASw"
"Warung Idola","Pantai Balekambang Blok C 9, Jalan Balekambang, Balaikambang, Srigonco, Kec. Bantur, Kabupaten Malang, Jawa Timur 65179","Pantai Balekambang Blok C 9, Jalan Balekambang","Balaikambang, Srigonco","Rumah Makan","0897-5049-301","0897-5049-301, +62 897-5049-301","NO",1,5,"https://search.google.com/local/reviews?placeid=ChIJF72SXEGpeC4RL7GCTEW_k6s&q=warung+dekat+pantai+balekambang&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=12363435706419425583",-8.4028809,112.5365322,"","","Kamis:[07.00-16.00], Jumat:[07.00-16.00], Sabtu:[07.00-16.00], Minggu:[07.00-16.00], Senin:[07.00-16.00], Selasa:[07.00-16.00], Rabu:[07.00-16.00]","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QzaMuT0chl5_WKgcvMEwPQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=354.9289&pitch=0&thumbfov=100","12363435706419425583","ChIJF72SXEGpeC4RL7GCTEW_k6s"
"Warung Pantai Abadi","Pantai Balekambang Kios C3, Jalan Balekambang, Balaikambang, Srigonco, Kec. Bantur, Kabupaten Malang, Jawa Timur 65179","Pantai Balekambang Kios C3, Jalan Balekambang","Balaikambang, Srigonco","Rumah Makan","","","NO",1,5,"https://search.google.com/local/reviews?placeid=ChIJZTi8Y0-peC4Ri4Evq_EmCWI&q=warung+dekat+pantai+balekambang&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=7064220309908324747",-8.4030045,112.5361645,"","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tPeh7hpIOnP0wjuim-PEiQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=13.190959&pitch=0&thumbfov=100","7064220309908324747","ChIJZTi8Y0-peC4Ri4Evq_EmCWI"
"Warung Anda 2","Pantai Balekambang Blok B 21, Jalan Balekambang, Balaikambang, Srigonco, Kec. Bantur, Kabupaten Malang, Jawa Timur 65179","Pantai Balekambang Blok B 21, Jalan Balekambang","Balaikambang, Srigonco","Rumah Makan","0813-5798-1788","0813-5798-1788, +62 813-5798-1788","NO","","","","https://www.google.com/maps?cid=6656216211372069096",-8.4028599,112.5396615,"","","Kamis:[07.00-16.00], Jumat:[07.00-16.00], Sabtu:[07.00-16.00], Minggu:[07.00-16.00], Senin:[07.00-16.00], Selasa:[07.00-16.00], Rabu:[07.00-16.00]","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bd6MPMLML8JQuy0F5OHBXg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=7.663103&pitch=0&thumbfov=100","6656216211372069096","ChIJI71MTESpeC4R6FAHy2ChX1w"
"Warung Dua Lestari","Pantai Balekambang Kios B11, Jalan Balekambang, Balaikambang, Srigonco, Kec. Bantur, Kabupaten Malang, Jawa Timur 65179","Pantai Balekambang Kios B11, Jalan Balekambang","Balaikambang, Srigonco","Rumah Makan","","","NO","","","","https://www.google.com/maps?cid=17116036138233982217",-8.403021299999999,112.5389113,"","","","https://lh5.googleusercontent.com/p/AF1QipNy_3aogQTAZZubDdIcqycuFyv4cQsaLn2gfVt4=w122-h92-k-no","17116036138233982217","ChIJpYTGsUWpeC4RCW0v3i5giO0"
"Warung Depot Kita","Pantai Balekambang Kios C7, Jalan Balekambang, Balaikambang, Srigonco, Kec. Bantur, Kabupaten Malang, Jawa Timur 65179","Pantai Balekambang Kios C7, Jalan Balekambang","Balaikambang, Srigonco","Rumah Makan,Restoran","0813-5912-6943","0813-5912-6943, +62 813-5912-6943","NO",8,3.8,"https://search.google.com/local/reviews?placeid=ChIJc1qZZU-peC4RkSeJg5p8aVI&q=warung+dekat+pantai+balekambang&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=5938414586738321297",-8.4028534,112.5359266,"","","Kamis:[07.00-17.00], Jumat:[07.00-17.00], Sabtu:[07.00-17.00], Minggu:[07.00-17.00], Senin:[07.00-17.00], Selasa:[07.00-17.00], Rabu:[07.00-17.00]","https://lh5.googleusercontent.com/p/AF1QipNmc7RCfbzxmY-lxgatpZXUgm7ydgISBjRxrbwT=w122-h92-k-no","5938414586738321297","ChIJc1qZZU-peC4RkSeJg5p8aVI"
"Warung Ragil","Pantai Balekambang Blok D 3, Jalan Balekambang, Balaikambang, Srigonco, Kec. Bantur, Kabupaten Malang, Jawa Timur 65179","Pantai Balekambang Blok D 3, Jalan Balekambang","Balaikambang, Srigonco","Rumah Makan","","","NO","","","","https://www.google.com/maps?cid=11071336344748398769",-8.402141,112.534309,"","","Kamis:[07.00-16.00], Jumat:[07.00-16.00], Sabtu:[07.00-16.00], Minggu:[07.00-16.00], Senin:[07.00-16.00], Selasa:[07.00-16.00], Rabu:[07.00-16.00]","","11071336344748398769","ChIJGwyUOk-peC4RsZiZQb9JpZk"
"Warung Pina","Pantai Balekambang Blok D 5, Jalan Balekambang, Balaikambang, Srigonco, Kec. Bantur, Kabupaten Malang, Jawa Timur 65179","Pantai Balekambang Blok D 5, Jalan Balekambang","Balaikambang, Srigonco","Rumah Makan","","","NO","","","","https://www.google.com/maps?cid=10220156386977175038",-8.4022571,112.5342014,"","","Kamis:[07.00-16.00], Jumat:[07.00-16.00], Sabtu:[07.00-16.00], Minggu:[07.00-16.00], Senin:[07.00-16.00], Selasa:[07.00-16.00], Rabu:[07.00-16.00]","","10220156386977175038","ChIJzxYrO0-peC4R_tW20hVK1Y0"
"Warung Pojok","Pantai Balekambang Blok D 1, Jalan Balekambang, Balaikambang, Srigonco, Kec. Bantur, Kabupaten Malang, Jawa Timur 65179","Pantai Balekambang Blok D 1, Jalan Balekambang","Balaikambang, Srigonco","Restoran Jawa,Rumah Makan","","","NO",1,5,"https://search.google.com/local/reviews?placeid=ChIJ2fuuJk-peC4RoGMURIlTBiY&q=warung+dekat+pantai+balekambang&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=2739969272319337376",-8.4023604,112.53379129999999,"","","Kamis:[07.00-16.00], Jumat:[07.00-16.00], Sabtu:[07.00-16.00], Minggu:[07.00-16.00], Senin:[07.00-16.00], Selasa:[07.00-16.00], Rabu:[07.00-16.00]","","2739969272319337376","ChIJ2fuuJk-peC4RoGMURIlTBiY"
