"Name","Fulladdress","Street","Municipality","Categories","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening hours","Featured image","Cid","Place Id"
"Warung wurgemawang","6CH7+W5H, Tj. Karangboto, Pantai menganti, Kec. Ayah, Kabupaten Kebumen, Jawa Tengah 54473","6CH7+W5H","Tj. Karangboto, Pantai menganti","Kedai Sarapan & Makan Siang","","","NO","","","","https://www.google.com/maps?cid=10241229534964490599",-7.7701823999999995,109.4129837,"","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Fc1C7hh8zr_usGZs8k2eow&cb_client=search.gws-prod.gps&w=80&h=92&yaw=247.94104&pitch=0&thumbfov=100","10241229534964490599","ChIJh_khat8xZS4RZyHMbgAoII4"
"Warung Bu Tri Pantai Menganti","6CG7+74M, Jl. Pantai Menganti, Tj. Karangboto, Karangduwur, Kec. Ayah, Kabupaten Kebumen, Jawa Tengah 54473","6CG7+74M","Jl. Pantai Menganti","Restoran","","","NO",11,4.4,"https://search.google.com/local/reviews?placeid=ChIJ_aSfvsQwZS4RE5gsbQhonuY&q=warung+dekat+pantai+menganti&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=16617834060444375059",-7.774298699999999,109.41279689999999,"","","Kamis:[08.00-20.00], Jumat:[08.00-20.00], Sabtu:[08.00-20.00], Minggu:[08.00-20.00], Senin:[08.00-20.00], Selasa:[08.00-20.00], Rabu:[08.00-20.00]","https://lh5.googleusercontent.com/p/AF1QipOMEA5kdyzyhhJCuyfyDOAqxQxYhYfUJB3ltXmj=w122-h92-k-no","16617834060444375059","ChIJ_aSfvsQwZS4RE5gsbQhonuY"
"warung berkah dimas seafood","6CH7+336, Jl. Pantai Menganti, Tj. Karangboto, Karangduwur, Kec. Ayah, Kabupaten Kebumen, Jawa Tengah 54473","6CH7+336","Jl. Pantai Menganti","Restoran Seafood","0856-4013-4143","0856-4013-4143, +62 856-4013-4143","NO",2,1,"https://search.google.com/local/reviews?placeid=ChIJCw3zPvkxZS4Rnr5AmWrbWwA&q=warung+dekat+pantai+menganti&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=25855473764843166",-7.7723477,109.4126383,"","","Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam], Rabu:[Buka 24 jam]","https://lh5.googleusercontent.com/p/AF1QipPUKJtZNxpCfCprJUvUL2M7Gl8aTdTlJmMIIAzc=w122-h92-k-no","25855473764843166","ChIJCw3zPvkxZS4Rnr5AmWrbWwA"
"Pantai Menganti Warung Makan Monggo Mampir Seafood","Tj. Karangboto, Karangduwur, Kec. Ayah, Kabupaten Kebumen, Jawa Tengah 54473","Tj. Karangboto, Karangduwur","Kec. Ayah","Restoran Seafood,Rumah Makan","0852-1693-8466","0852-1693-8466, +62 852-1693-8466","YES",455,4.6,"https://search.google.com/local/reviews?placeid=ChIJ5civ46gxZS4RXjokkimCNHc&q=warung+dekat+pantai+menganti&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=8589633504359496286",-7.7657831999999996,109.4097165,"https://www.facebook.com/sigite.kasih","facebook.com","Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam], Rabu:[Buka 24 jam]","https://lh5.googleusercontent.com/p/AF1QipMZhdx_t6AXMfPOuTwxcbTUTWtH8SpFkBMK5Y6a=w163-h92-k-no","8589633504359496286","ChIJ5civ46gxZS4RXjokkimCNHc"
"Warunge Warni Rempong","6CH7+W7X, Jl. Pantai Menganti, Tj. Karangboto, Karangduwur, Kec. Ayah, Kabupaten Kebumen, Jawa Tengah 54473","6CH7+W7X","Jl. Pantai Menganti","Restoran","","","NO","","","","https://www.google.com/maps?cid=7281186311081880514",-7.7701499,109.41323469999999,"","","","https://lh5.googleusercontent.com/p/AF1QipOa6qMxtu4io1wBEZdqotV-Owo19Cez_Pm7Cbj7=w275-h92-k-no","7281186311081880514","ChIJs_k29Y4xZS4Rwut4X1_4C2U"
"WARUNG SEAFOOD ENDUT JAMBON","6CJ6+R9R, Jl. Pantai Menganti, Karangduwur, Kabupaten Kebumen, Jawa Tengah 54473","6CJ6+R9R","Jl. Pantai Menganti","Rumah Makan,Restoran Indonesia","0856-9368-3586","0856-9368-3586, +62 856-9368-3586","NO",1,5,"https://search.google.com/local/reviews?placeid=ChIJkZexdbkxZS4RWsqxzVFopSs&q=warung+dekat+pantai+menganti&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=3145034615340780122",-7.767987,109.41113519999999,"","","Kamis:[07.00-18.30], Jumat:[07.00-18.00], Sabtu:[07.00-19.00], Minggu:[07.00-19.00], Senin:[07.00-18.30], Selasa:[07.00-18.30], Rabu:[07.00-18.30]","https://lh5.googleusercontent.com/p/AF1QipN-YgKENmP-PrIU_YNX64_rKaolWMN1vZgCb2QQ=w193-h92-k-no","3145034615340780122","ChIJkZexdbkxZS4RWsqxzVFopSs"
"Wr Makan Bu Satiyem","6CH7+Q9X, Jl. Pantai Menganti, Tj. Karangboto, Karangduwur, Kec. Ayah, Kabupaten Kebumen, Jawa Tengah 54473","6CH7+Q9X","Jl. Pantai Menganti","Restoran","","","NO","","","","https://www.google.com/maps?cid=17560244446317560191",-7.7705196,109.4134752,"","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-u-Lzd7xcu3ARsjefjnPeA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=50.54218&pitch=0&thumbfov=100","17560244446317560191","ChIJlxPwUMUwZS4Rf8HIJ0mFsvM"
"Warung lesehan frida","6CG6+4XQ, Jl. Pantai Menganti, Tj. Karangboto, Karangduwur, Kec. Ayah, Kabupaten Kebumen, Jawa Tengah 54473","6CG6+4XQ","Jl. Pantai Menganti","Restoran","","","NO",1,5,"https://search.google.com/local/reviews?placeid=ChIJHW7oWzQxZS4R_OGoqDLYETo&q=warung+dekat+pantai+menganti&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=4184363240893506044",-7.7746612,109.412475,"","","","https://lh5.googleusercontent.com/p/AF1QipN2p4uons0DoSDHzYGpFiUKuAreGxqywg9lmiRg=w138-h92-k-no","4184363240893506044","ChIJHW7oWzQxZS4R_OGoqDLYETo"
"Warung lesehan burlot uye","6CG6+2WW, Jl. Pantai Menganti, Tj. Karangboto, Karangduwur, Kec. Ayah, Kabupaten Kebumen, Jawa Tengah 54473","6CG6+2WW","Jl. Pantai Menganti","Restoran","","","NO","","","","https://www.google.com/maps?cid=12892622420009067016",-7.7748887,109.4123429,"","","Kamis:[09.00-17.00], Jumat:[09.00-17.00], Sabtu:[09.00-17.00], Minggu:[09.00-17.00], Senin:[09.00-17.00], Selasa:[09.00-17.00], Rabu:[09.00-17.00]","https://lh5.googleusercontent.com/p/AF1QipNrwbHijt7y7qnPabG2tNy5qu5dv7Rk2mvvfcu5=w138-h92-k-no","12892622420009067016","ChIJ62c0o04xZS4RCKLgb8jL67I"
"Warung Makan Jurang Pitris","6CM5+RG4, Jalan Pantai Menganti, Karangduwur, Kec. Ayah, Kabupaten Kebumen, Jawa Tengah 54473","6CM5+RG4","Jalan Pantai Menganti","Rumah Makan","0853-2663-7144","0853-2663-7144, +62 853-2663-7144","NO",361,4,"https://search.google.com/local/reviews?placeid=ChIJzc75pc4wZS4RBCkBgdO9jpo&q=warung+dekat+pantai+menganti&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=11137047644633901316",-7.765483499999999,109.4088215,"","","Kamis:[09.00-17.00], Jumat:[09.00-17.00], Sabtu:[09.00-17.00], Minggu:[09.00-17.00], Senin:[09.00-17.00], Selasa:[09.00-17.00], Rabu:[09.00-17.00]","https://lh5.googleusercontent.com/p/AF1QipODJ2nxBGVQF-kPkmAgmfms22wV_Xbf5MjwlnBW=w122-h92-k-no","11137047644633901316","ChIJzc75pc4wZS4RBCkBgdO9jpo"
