"Name","Fulladdress","Street","Municipality","Categories","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening hours","Featured image","Cid","Place Id"
"Warung makan Bu wal","VHC4+3JG, Ngepung, Kemadang, Kec. Tanjungsari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881","VHC4+3JG","Ngepung, Kemadang","Restoran","","","NO","","","","https://www.google.com/maps?cid=12081475434198286815",-8.1298847,110.5566839,"","","","https://lh5.googleusercontent.com/p/AF1QipNYj-29hUEhNlDZu2-hoRjtdlNSh5H6sANEVdj8=w163-h92-k-no","12081475434198286815","ChIJPx6PJ3S7ey4R30H_oeUFqqc"
"WARUNG MAKAN ""NAUVAL”","VH7G+496, Jl. Watu Kodok, Kelor Kidul, Kemadang, Kec. Tanjungsari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881","VH7G+496","Jl. Watu Kodok","Restoran","0878-9955-1667","0878-9955-1667, +62 878-9955-1667","NO",1,5,"https://search.google.com/local/reviews?placeid=ChIJARgj0ui7ey4ROufXCuEI8do&q=warung+dekat+pantai+ngrawe&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=15776400732298143546",-8.1372232,110.5758852,"","","Kamis:[Tutup], Jumat:[Tutup], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Tutup], Selasa:[Tutup], Rabu:[Tutup]","https://lh5.googleusercontent.com/p/AF1QipOAqQUn0_tEygD6v2249dDls66H9WLKtwCQw7Uh=w80-h142-k-no","15776400732298143546","ChIJARgj0ui7ey4ROufXCuEI8do"
"Warung Zahra","VH78+8H, Ngalos, Kemadang, Kec. Tanjungsari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881","VH78+8H","Ngalos, Kemadang","Restoran","","","NO","","","","https://www.google.com/maps?cid=11002484446955855938",-8.1367274,110.5664709,"","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=74X4aE34qNn7txlZF0vAsQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=17.364529&pitch=0&thumbfov=100","11002484446955855938","ChIJHfnFiCy7ey4RQmCQk0-tsJg"
"warung makan bu warijah","VHH4+M43, Jl. Baron, Ngepung, Kemadang, Kec. Tanjungsari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881","VHH4+M43","Jl. Baron","Restoran","","","NO",3,5,"https://search.google.com/local/reviews?placeid=ChIJWxZAKKO7ey4R69ltnGNiTeg&q=warung+dekat+pantai+ngrawe&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=16739143569971730923",-8.120856,110.555309,"","","Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam], Rabu:[Buka 24 jam]","https://lh5.googleusercontent.com/p/AF1QipOafAkQkoxE3DjwMnCSr9SIU54ANHBzPDz5AXy2=w80-h142-k-no","16739143569971730923","ChIJWxZAKKO7ey4R69ltnGNiTeg"
"Warung Rizki","VH7F+9R2, Jl. Watu Kodok, Kelor Kidul, Kemadang, Kec. Tanjungsari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881","VH7F+9R2","Jl. Watu Kodok","Restoran","","","NO","","","","https://www.google.com/maps?cid=11179794181140900435",-8.136609,110.5745077,"","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tGHL1G5t2iw6VBWrxP9rZA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=16.610765&pitch=0&thumbfov=100","11179794181140900435","ChIJzUp0S-q7ey4RU-rhHJObJps"
"Warung Makan Riska Ayu","Pantai Baron, Rejosari, Kemadang, Tanjungsari, Gunung Kidul Regency, Special Region of Yogyakarta 55881","Pantai Baron","Rejosari, Kemadang","Restoran","","","NO",1,5,"https://search.google.com/local/reviews?placeid=ChIJh3UFrju7ey4R1ZUu50ZwLzU&q=warung+dekat+pantai+ngrawe&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=3832405257744192981",-8.128325499999999,110.54883579999999,"","","","https://lh5.googleusercontent.com/p/AF1QipO4E7f5hmtKbaJiUwQuF1OqLVERIxobUHnHD5g3=w80-h95-k-no","3832405257744192981","ChIJh3UFrju7ey4R1ZUu50ZwLzU"
"Warung Makan Mbah Narto","VH7F+6P8, Kelor Kidul, Kemadang, Kec. Tanjungsari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881","VH7F+6P8","Kelor Kidul, Kemadang","Restoran","0853-2930-8847","0853-2930-8847, +62 853-2930-8847","NO",1,5,"https://search.google.com/local/reviews?placeid=ChIJDz9a9lW7ey4Rrq6ohapCORM&q=warung+dekat+pantai+ngrawe&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=1385211660547436206",-8.1369726,110.57431369999999,"","","Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam], Rabu:[Buka 24 jam]","https://lh5.googleusercontent.com/p/AF1QipNs6OvlexltWEUuo5mXv7Gwn9tOETr2DX_ssSxo=w80-h169-k-no","1385211660547436206","ChIJDz9a9lW7ey4Rrq6ohapCORM"
"Warung Makan Mbok Ikuk","VH78+7Q, Kemadang, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta","VH78+7Q","Kemadang","Restoran","","","NO","","","","https://www.google.com/maps?cid=17192463929231549351",-8.1367958,110.5667928,"","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dXC2N62YBDdzu-tmnmPhzA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=357.87106&pitch=0&thumbfov=100","17192463929231549351","ChIJ1yu6JAe7ey4RpyOQo9rml-4"
"Warung Makan Lumayan","VHC4+3JG, Ngepung, Kemadang, Kec. Tanjungsari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta","VHC4+3JG","Ngepung, Kemadang","Rumah Makan","0813-2980-1433","0813-2980-1433, +62 813-2980-1433","NO","","","","https://www.google.com/maps?cid=13460235857307442663",-8.1298161,110.5565853,"","","","https://lh5.googleusercontent.com/p/AF1QipNxWmjW-3tHqoHclO4E7deCKcfW0XfQwPj3lFKG=w138-h92-k-no","13460235857307442663","ChIJ711MhPS7ey4R5x3JYzJdzLo"
"WARUNG MAKAN LARISSA","VH78+86Q, Jl. Sepanjang, Kemadang, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881","VH78+86Q","Jl. Sepanjang","Restoran","0878-3899-4859","0878-3899-4859, +62 878-3899-4859","NO",11,4.9,"https://search.google.com/local/reviews?placeid=ChIJdzw50vS6ey4RRnEtJ0FqG9c&q=warung+dekat+pantai+ngrawe&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=15500099370588401990",-8.1366709,110.5656143,"","","Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam], Rabu:[Buka 24 jam]","https://lh5.googleusercontent.com/p/AF1QipMAHjY5mLOdvdxLimKIfOkew8KRQZ8gkXoUPn9a=w80-h106-k-no","15500099370588401990","ChIJdzw50vS6ey4RRnEtJ0FqG9c"
