"Name","Fulladdress","Street","Municipality","Categories","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening hours","Featured image","Cid","Place Id"
"Warung Arema ..","HM8J+HQC, Jl. Sendang Biru, Kampungbaru, Tambakrejo, Kec. Sumbermanjing Wetan, Kabupaten Malang, Jawa Timur 65176","HM8J+HQC","Jl. Sendang Biru","Restoran","0812-3491-4619","0812-3491-4619, +62 812-3491-4619","NO",4,3.3,"https://search.google.com/local/reviews?placeid=ChIJr3uChxEB1i0RIVvjpE6gc58&q=warung+dekat+pantai+tiga+warna&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=11489703333986523937",-8.433572999999999,112.681877,"","","Kamis:[07.00-22.00], Jumat:[07.00-22.00], Sabtu:[07.00-22.00], Minggu:[07.00-22.00], Senin:[07.00-22.00], Selasa:[07.00-22.00], Rabu:[07.00-22.00]","https://lh5.googleusercontent.com/p/AF1QipNBZe2GpimW3ywIcSigCW3MOjuyljhlL9xtQHs=w80-h141-k-no","11489703333986523937","ChIJr3uChxEB1i0RIVvjpE6gc58"
"Warung Putri Tunggal","Wisata Pantai Timur No.06 Sendang Biru Jalan Kondang Bajol Tambakrejo, Sumbermanjing, Kampungbaru, Tambakrejo, Kec. Sumbermanjing Wetan, Kabupaten Malang, Jawa Timur 65176","Wisata Pantai Timur No.06 Sendang Biru Jalan Kondang Bajol Tambakrejo, Sumbermanjing","Kampungbaru, Tambakrejo","Rumah Makan","","","NO","","","","https://www.google.com/maps?cid=6918212076752390142",-8.430197,112.68136,"http://warung-putri-tunggal-diner.business.site/","business.site","Kamis:[07.00-18.00], Jumat:[07.00-18.00], Sabtu:[07.00-18.00], Minggu:[07.00-18.00], Senin:[07.00-18.00], Selasa:[07.00-18.00], Rabu:[07.00-18.00]","","6918212076752390142","ChIJ7WuG7hIB1i0R_sekwzptAmA"
"Warung Hijau ""Ibu Satunah""","Wana Wisata Sendang Biru, Jalan Kondang Bajol RT20 RW3, Desa Tambakrejo, Kec. Sumbermanjing, Area Sawah/Kebun, Tambakrejo, Kec. Sumbermanjing Wetan, Kabupaten Malang, Jawa Timur 65176","Wana Wisata Sendang Biru, Jalan Kondang Bajol RT20 RW3, Desa Tambakrejo, Kec. Sumbermanjing","Area Sawah/Kebun, Tambakrejo","Restoran","","","NO","","","","https://www.google.com/maps?cid=1677386570370542624",-8.4315927,112.6840445,"","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OITdn6W1y8IPvenMYCOPOg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=248.75432&pitch=0&thumbfov=100","1677386570370542624","ChIJxakBlxMB1i0RIGzy1TJGRxc"
"Warung Esa Jaya","Wisata Pantai Timur No.05 Sendang Biru Jalan Kondang Bajol Tambakrejo, Sumbermanjing, Kampungbaru, Tambakrejo, Kec. Sumbermanjing Wetan, Kabupaten Malang, Jawa Timur 65176","Wisata Pantai Timur No.05 Sendang Biru Jalan Kondang Bajol Tambakrejo, Sumbermanjing","Kampungbaru, Tambakrejo","Rumah Makan","","","NO","","","","https://www.google.com/maps?cid=611473973249381346",-8.4302008,112.681157,"","","Kamis:[Tutup], Jumat:[Tutup], Sabtu:[07.00-20.00], Minggu:[07.00-20.00], Senin:[Tutup], Selasa:[Tutup], Rabu:[Tutup]","","611473973249381346","ChIJGbVW7BIB1i0R4hPtxFZkfAg"
"Warung Mbak Sul","Wisata Pantai Timur, Jl. Sendang Biru No.1, Kampungbaru, Tambakrejo, Kec. Sumbermanjing Wetan, Kabupaten Malang, Jawa Timur 65176","Wisata Pantai Timur","Jl. Sendang Biru No.1","Rumah Makan","0852-3267-5036","0852-3267-5036, +62 852-3267-5036","NO",6,5,"https://search.google.com/local/reviews?placeid=ChIJ7Qdu7RIB1i0RcPPkNJ2kWuo&q=warung+dekat+pantai+tiga+warna&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=16886990747883336560",-8.43033,112.681085,"","","Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam], Rabu:[Buka 24 jam]","https://lh5.googleusercontent.com/p/AF1QipOwBv_RqnWBGzp9fQGnLUJGbmZoCDs9ZBqN-ETq=w215-h92-k-no","16886990747883336560","ChIJ7Qdu7RIB1i0RcPPkNJ2kWuo"
"Warung Luwes Bu Kholif","HM8J+MHH, Jl. Sendang Biru, Kampungbaru, Tambakrejo, Kec. Sumbermanjing Wetan, Kabupaten Malang, Jawa Timur 65176","HM8J+MHH","Jl. Sendang Biru","Restoran","0821-4198-6722","0821-4198-6722, +62 821-4198-6722","NO",2,3.5,"https://search.google.com/local/reviews?placeid=ChIJ7R5M6w8B1i0RtoaCtM-_P7Y&q=warung+dekat+pantai+tiga+warna&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=13132425937243244214",-8.4333101,112.6814706,"","","Kamis:[08.00-22.00], Jumat:[08.00-22.00], Sabtu:[08.00-22.00], Minggu:[08.00-22.00], Senin:[08.00-22.00], Selasa:[08.00-22.00], Rabu:[08.00-22.00]","https://lh5.googleusercontent.com/p/AF1QipMdhpmsRfKOE7Q64rW4RDGhRpjJGukHljeV7PN9=w92-h92-k-no","13132425937243244214","ChIJ7R5M6w8B1i0RtoaCtM-_P7Y"
"Warung Vivia","Wisata Pantai Timur, Jl. Sendang Biru No.3, Kampungbaru, Tambakrejo, Kec. Sumbermanjing Wetan, Kabupaten Malang, Jawa Timur 65176","Wisata Pantai Timur","Jl. Sendang Biru No.3","Rumah Makan","","","NO","","","","https://www.google.com/maps?cid=4676966149206187926",-8.430337999999999,112.680973,"","","Kamis:[Tutup], Jumat:[Tutup], Sabtu:[07.00-21.00], Minggu:[07.00-21.00], Senin:[Tutup], Selasa:[Tutup], Rabu:[Tutup]","","4676966149206187926","ChIJva5O7RIB1i0Rlh_23e7r50A"
"Warung Sederhana Mak Yem","Ps. Ikan Sendang Biru, Kampungbaru, Tambakrejo, Kec. Sumbermanjing Wetan, Kabupaten Malang, Jawa Timur 65176","Ps. Ikan Sendang Biru","Kampungbaru, Tambakrejo","Restoran","","","NO",5,4.6,"https://search.google.com/local/reviews?placeid=ChIJrXz3Pu4B1i0RKGudJ3Muq0I&q=warung+dekat+pantai+tiga+warna&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=4803984499641510696",-8.4346055,112.6818038,"","","Kamis:[07.00-21.00], Jumat:[07.00-21.00], Sabtu:[07.00-23.00], Minggu:[07.00-23.00], Senin:[07.00-21.00], Selasa:[07.00-21.00], Rabu:[07.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipMHfzm28OxhSwDGzJCRljbAYJ48OBFKlZtH-CZO=w122-h92-k-no","4803984499641510696","ChIJrXz3Pu4B1i0RKGudJ3Muq0I"
"Warung barokah buk nur","HM8J+MHV, Kampungbaru, Tambakrejo, Kec. Sumbermanjing Wetan, Kabupaten Malang, Jawa Timur 65176","HM8J+MHV","Kampungbaru, Tambakrejo","Rumah Makan","","","NO",4,4.3,"https://search.google.com/local/reviews?placeid=ChIJu_ApbfMB1i0R6rUdrwYyfu8&q=warung+dekat+pantai+tiga+warna&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=17257285826419471850",-8.433256,112.68142329999999,"","","Kamis:[09.00-17.00], Jumat:[09.00-17.00], Sabtu:[09.00-17.00], Minggu:[07.00-21.00], Senin:[07.00-21.00], Selasa:[09.00-17.00], Rabu:[09.00-17.00]","https://lh5.googleusercontent.com/p/AF1QipNcpszSU6R-K36EFpGuc7hrQ6Vwhnrovw2pOAOF=w163-h92-k-no","17257285826419471850","ChIJu_ApbfMB1i0R6rUdrwYyfu8"
"Warung As Ikan Bakar","Wisata Pantai Timur, Jl. Sendang Biru No.2, Kampungbaru, Tambakrejo, Kec. Sumbermanjing Wetan, Kabupaten Malang, Jawa Timur 65176","Wisata Pantai Timur","Jl. Sendang Biru No.2","Restoran Ikan Bakar,Rumah Makan","0812-3086-4192","0812-3086-4192, +62 812-3086-4192","NO",3,4.3,"https://search.google.com/local/reviews?placeid=ChIJfaLA8hIB1i0ReEB9M3KS7BY&q=warung+dekat+pantai+tiga+warna&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=1651856182525902968",-8.4304755,112.6810235,"","","Kamis:[07.00-23.00], Jumat:[07.00-23.00], Sabtu:[07.00-23.00], Minggu:[07.00-23.00], Senin:[07.00-23.00], Selasa:[07.00-23.00], Rabu:[07.00-23.00]","","1651856182525902968","ChIJfaLA8hIB1i0ReEB9M3KS7BY"
