"Name","Fulladdress","Street","Municipality","Categories","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening hours","Featured image","Cid","Place Id"
"Warung Makan Santoso","Jl. Ajibarang Secang No.7, Kalianggrung, Tlahap, Kec. Kledung, Kabupaten Temanggung, Jawa Tengah 56264","Jl. Ajibarang Secang No.7","Kalianggrung, Tlahap","Rumah Makan","","","NO",89,4.5,"https://search.google.com/local/reviews?placeid=ChIJ1c2JBg2eei4RpFRsaHWoQoM&q=warung+dekat+posong+temanggung&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=9458307389648032932",-7.3376269999999995,110.0355245,"","","Kamis:[08.00-16.00], Jumat:[08.00-16.00], Sabtu:[08.00-16.00], Minggu:[08.00-16.00], Senin:[08.00-16.00], Selasa:[08.00-16.00], Rabu:[08.00-16.00]","https://lh5.googleusercontent.com/p/AF1QipPRYoAaM_rL9Kn0Wo4gx2JLHqPEzsAdfOp0TS5m=w80-h106-k-no","9458307389648032932","ChIJ1c2JBg2eei4RpFRsaHWoQoM"
"Warung Nasi Lesehan","Jl. Campur Salam No.7, Sigaplok, Kledung, Kec. Kledung, Kabupaten Temanggung, Jawa Tengah 56264","Jl. Campur Salam No.7","Sigaplok, Kledung","Warung nasi","","","NO","","","","https://www.google.com/maps?cid=18282456864569695586",-7.340109099999999,110.03229639999999,"","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gpJs5lDoFeeJxJSQaANiow&cb_client=search.gws-prod.gps&w=80&h=92&yaw=5.988323&pitch=0&thumbfov=100","18282456864569695586","ChIJ4csLLFKfei4RYh0UWqdVuP0"
"Warung Makan & Kopi Suryatji Kledung","Jl. Raya Parakan - Wonosobo, Kalianggrung, Tlahap, Kec. Kledung, Kabupaten Temanggung, Jawa Tengah 56264","Jl. Raya Parakan - Wonosobo","Kalianggrung, Tlahap","Restoran","0812-2988-8033","0812-2988-8033, +62 812-2988-8033","YES",404,4.4,"https://search.google.com/local/reviews?placeid=ChIJV1kxSQyeei4RO66NMafo0Lk&q=warung+dekat+posong+temanggung&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=13389457496961035835",-7.3362728,110.03670199999999,"","","Kamis:[08.00-21.00], Jumat:[08.00-21.00], Sabtu:[08.00-21.00], Minggu:[08.00-21.00], Senin:[08.00-21.00], Selasa:[08.00-21.00], Rabu:[08.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipO2qVP6dv-xH25lkEhB5_8O4IR8iX7c6Cn0OKAc=w163-h92-k-no","13389457496961035835","ChIJV1kxSQyeei4RO66NMafo0Lk"
"Warung Mbok Yah","M28J+5QX, Unnamed Road, Area Sawah, Kledung, Kec. Kledung, Kabupaten Temanggung, Jawa Tengah 56264","M28J+5QX","Unnamed Road","Restoran","0815-7830-8617","0815-7830-8617, +62 815-7830-8617","NO",2,4,"https://search.google.com/local/reviews?placeid=ChIJVUYUUqqfei4RC6f6CaNSMvI&q=warung+dekat+posong+temanggung&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=17452102366214661899",-7.3345196999999995,110.03197779999999,"","","Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam], Rabu:[Buka 24 jam]","https://lh5.googleusercontent.com/p/AF1QipOHb9M-gYOW8v_KjA4-O_LQp3-rFGxKMSBVmHbZ=w92-h92-k-no","17452102366214661899","ChIJVUYUUqqfei4RC6f6CaNSMvI"
"Warung Rifna, Bakso, Mie Ayam dan Angkringan","M29R+MXV, RT.19/RW.03, Tlahab, Tlahap, Kec. Kledung, Kabupaten Temanggung, Jawa Tengah 56264","M29R+MXV","RT.19/RW.03, Tlahab, Tlahap","Restoran Keluarga","0823-3057-6177","0823-3057-6177, +62 823-3057-6177","NO","","","","https://www.google.com/maps?cid=12076387692558789004",-7.330756699999999,110.04241169999999,"","","Kamis:[13.00-23.01], Jumat:[13.00-23.01], Sabtu:[13.00-23.01], Minggu:[13.00-23.01], Senin:[13.00-23.01], Selasa:[13.00-23.01], Rabu:[13.00-23.01]","https://lh5.googleusercontent.com/p/AF1QipOFtIKTbuVkhy91fbGF13WXucTH8-klxSE7dWOZ=w92-h92-k-no","12076387692558789004","ChIJV8y3UsSfei4RjKndeJ_yl6c"
"Warung makan bu Anita","M25M+Q3F, Sigaplok, Kledung, Kec. Kledung, Kabupaten Temanggung, Jawa Tengah","M25M+Q3F","Sigaplok, Kledung","Kedai Sarapan & Makan Siang","0858-7769-6515","0858-7769-6515, +62 858-7769-6515","NO","","","","https://www.google.com/maps?cid=2630362305368701667",-7.340560099999999,110.0326788,"","","","https://lh5.googleusercontent.com/p/AF1QipOgWbVH1qoJsBXcaFZG4X6kv_2fo4L4ACYTe9j5=w80-h106-k-no","2630362305368701667","ChIJg9LgNxafei4R4zoUmpTsgCQ"
"Warung Bakso Mie Ayam Dan Kupat Tahu ""Bu Sri""","M3P4+HV8, Kwadungan Jurang, Kec. Kledung, Kabupaten Temanggung, Jawa Tengah 56264","M3P4+HV8","Kwadungan Jurang","Restoran,Restoran Bakso,Restoran Mie","","","NO","","","","https://www.google.com/maps?cid=3878478531966279778",-7.3135837,110.0571981,"","","Kamis:[10.00-20.00], Jumat:[13.00-20.00], Sabtu:[10.00-20.00], Minggu:[10.00-20.00], Senin:[10.00-20.00], Selasa:[10.00-20.00], Rabu:[10.00-20.00]","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WVjjTehOrKlN5mZYmWR-tA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=313.00195&pitch=0&thumbfov=100","3878478531966279778","ChIJTfktrBx2cC4RYiDU_qwf0zU"
"Kaki Bumi Coffee & Eatery","rest area, kaki bumi, Jl. Raya Parakan - Wonosobo, Kledung, Kec. Kledung, Kabupaten Temanggung, Jawa Tengah 56264","rest area","kaki bumi","Restoran,Tempat Istirahat","0877-7401-6564","0877-7401-6564, +62 877-7401-6564","YES",998,4.5,"https://search.google.com/local/reviews?placeid=ChIJky84kSmfei4RpFGBXXF9MnM&q=warung+dekat+posong+temanggung&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=8300834989050778020",-7.3419577,110.0314873,"https://www.instagram.com/kakibumicoffee","instagram.com","Kamis:[08.30-20.00], Jumat:[08.30-20.00], Sabtu:[08.30-20.00], Minggu:[08.30-20.00], Senin:[08.30-20.00], Selasa:[08.30-20.00], Rabu:[08.30-20.00]","https://lh5.googleusercontent.com/p/AF1QipML3UrGLbdVr9jvJIcCyBxhk6Jl_uAXPqip1Xjp=w163-h92-k-no","8300834989050778020","ChIJky84kSmfei4RpFGBXXF9MnM"
"Warung Bakso Dan Mie Ayam ¨Mba Sri Makmur¨","Kledung, Kec. Kledung, Kabupaten Temanggung, Jawa Tengah","Kledung","Kec. Kledung","Restoran","","","NO","","","","https://www.google.com/maps?cid=6831833071704149140",-7.340839399999999,110.0323186,"","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cS_NeikGJ3viGlOCpTecOg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=167.53992&pitch=0&thumbfov=100","6831833071704149140","ChIJj2-uRG2eei4RlAyxa_uLz14"
"Warung makan kledung Bu yuni","indonwsn kode pos, Jl. Parakan No.km 11, Kec. Kledung, Kabupaten Temanggung, Jawa Tengah 56264","indonwsn kode pos","Jl. Parakan No.km 11","Rumah Makan","","","NO",1,4,"https://search.google.com/local/reviews?placeid=ChIJ38OEzP-fei4RIFYk948G67k&q=warung+dekat+posong+temanggung&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=13396808731940116000",-7.351132799999999,110.0067924,"","","Kamis:[08.00-02.00], Jumat:[08.00-02.00], Sabtu:[08.00-02.00], Minggu:[08.00-02.00], Senin:[08.00-02.00], Selasa:[08.00-02.00], Rabu:[08.00-02.00]","https://lh5.googleusercontent.com/p/AF1QipMEndXp92zVLdlZ5bK66C5DMSJepYugs_FrhtLR=w122-h92-k-no","13396808731940116000","ChIJ38OEzP-fei4RIFYk948G67k"
