"Name","Fulladdress","Street","Municipality","Categories","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening hours","Featured image","Cid","Place Id"
"Warung Konco Dewe","4CCM+PQ4, Karimunjawa, Kabupaten Jepara, Jawa Tengah","4CCM+PQ4","Karimunjawa","Restoran","","","NO",11,5,"https://search.google.com/local/reviews?placeid=ChIJsX3bDhTRcy4RFwQV58XTIts&q=warung+dekat+pulau+menjangan+kecil&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=15790416090453312535",-5.878062,110.4344256,"","","","https://lh5.googleusercontent.com/p/AF1QipMOYHGtviT4i9HCckFMYl6h-7XMtz_El32VvkXN=w122-h92-k-no","15790416090453312535","ChIJsX3bDhTRcy4RFwQV58XTIts"
"Warung Makan","4CFM+9GV, Jl. Wage Rudolf Supratman, Karimunjawa, Kabupaten Jepara, Jawa Tengah","4CFM+9GV","Jl. Wage Rudolf Supratman","Restoran Jawa","","","NO",5,4.2,"https://search.google.com/local/reviews?placeid=ChIJB280FY_Rcy4RiiXHz9isLCk&q=warung+dekat+pulau+menjangan+kecil&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=2966936301729162634",-5.8765076,110.4337889,"","","Kamis:[08.00-21.00], Jumat:[08.00-21.00], Sabtu:[08.00-21.00], Minggu:[08.00-21.00], Senin:[08.00-21.00], Selasa:[08.00-21.00], Rabu:[08.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipOJZSbditE5jhHTFsNWKsmrLzAlrzM_4BIKNMd_=w80-h106-k-no","2966936301729162634","ChIJB280FY_Rcy4RiiXHz9isLCk"
"Warung Mbak Sri","4CFM+3C8, Karimunjawa, Kabupaten Jepara, Jawa Tengah","4CFM+3C8","Karimunjawa","Restoran","","","NO",2,4.5,"https://search.google.com/local/reviews?placeid=ChIJSTeYTYPRcy4R3A8Heqtsvdw&q=warung+dekat+pulau+menjangan+kecil&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=15905988942684950492",-5.8773326,110.4335807,"","","Kamis:[09.00-22.00], Jumat:[09.00-22.00], Sabtu:[09.00-22.00], Minggu:[09.00-22.00], Senin:[09.00-22.00], Selasa:[09.00-22.00], Rabu:[09.00-22.00]","","15905988942684950492","ChIJSTeYTYPRcy4R3A8Heqtsvdw"
"Warung Ibu Esther","Karimunjawa, Kabupaten Jepara, Jawa Tengah","Karimunjawa","Kabupaten Jepara","Restoran","","","YES",346,4.4,"https://search.google.com/local/reviews?placeid=ChIJgfDLK4TRcy4R_1dh6TdFV94&q=warung+dekat+pulau+menjangan+kecil&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=16021350305834817535",-5.8797904,110.43257829999999,"","","Kamis:[06.00-22.00], Jumat:[06.00-22.00], Sabtu:[06.00-22.00], Minggu:[06.00-22.00], Senin:[06.00-22.00], Selasa:[06.00-22.00], Rabu:[06.00-22.00]","https://lh5.googleusercontent.com/p/AF1QipNbthmmElMhQkknGXvIU3Xmsjdy82VIIEtVOqlZ=w163-h92-k-no","16021350305834817535","ChIJgfDLK4TRcy4R_1dh6TdFV94"
"Sunset Warung Gisca","National Park, Karimunjawa, Jepara Regency, Central Java","National Park","Karimunjawa","Restoran","0822-2150-6238","0822-2150-6238, +62 822-2150-6238","NO",4,5,"https://search.google.com/local/reviews?placeid=ChIJRSECQ7_Ncy4RLEJLoAKyJCs&q=warung+dekat+pulau+menjangan+kecil&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=3108805367141450284",-5.8386051,110.41379479999999,"https://www.facebook.com/warung.sunset.5","facebook.com","Kamis:[11.00-18.00], Jumat:[11.00-18.00], Sabtu:[11.00-18.00], Minggu:[11.00-18.00], Senin:[11.00-18.00], Selasa:[11.00-18.00], Rabu:[11.00-18.00]","https://lh5.googleusercontent.com/p/AF1QipNJ0Xlc6b6qwEeJuogr2tC1_V9isOOUUtre-VLP=w129-h92-k-no","3108805367141450284","ChIJRSECQ7_Ncy4RLEJLoAKyJCs"
"Mina Karimun, Warung Ibu Rofiah","4CCM+429, Karimunjawa, Kabupaten Jepara, Jawa Tengah","4CCM+429","Karimunjawa","Rumah Makan","0821-4174-2354","0821-4174-2354, +62 821-4174-2354","NO",5,5,"https://search.google.com/local/reviews?placeid=ChIJ49GU-HLRcy4RsgwAGYEVEkc&q=warung+dekat+pulau+menjangan+kecil&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=5121179370488073394",-5.8797169,110.4326049,"","","Kamis:[06.00-21.00], Jumat:[06.00-21.00], Sabtu:[06.00-21.00], Minggu:[06.00-21.00], Senin:[06.00-21.00], Selasa:[06.00-21.00], Rabu:[06.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipNBrVqVXtQTuHEiEf9V7ewtluMjYVShHbOxsbFu=w122-h92-k-no","5121179370488073394","ChIJ49GU-HLRcy4RsgwAGYEVEkc"
"Warung makan pingki","RT.01/RW.03, Karimunjawa, Kabupaten Jepara, Jawa Tengah 59455","RT.01/RW.03","Karimunjawa","Restoran","0812-3712-9262","0812-3712-9262, +62 812-3712-9262","YES",12,5,"https://search.google.com/local/reviews?placeid=ChIJ0dbsCwXRcy4R7srFAdaiW-g&q=warung+dekat+pulau+menjangan+kecil&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=16743155079716391662",-5.8795895,110.43249399999999,"","","Kamis:[16.00-03.00], Jumat:[16.00-03.00], Sabtu:[16.00-03.00], Minggu:[16.00-03.00], Senin:[16.00-03.00], Selasa:[16.00-03.00], Rabu:[16.00-03.00]","https://lh5.googleusercontent.com/p/AF1QipOM3CVtSJvl-XAU89LeWH54SGOSNWRHgGXWDcEb=w80-h92-k-no","16743155079716391662","ChIJ0dbsCwXRcy4R7srFAdaiW-g"
"Warung Makan Angkringan Bu Aspiyah","4CFM+VMX, Karimunjawa, Kabupaten Jepara, Jawa Tengah","4CFM+VMX","Karimunjawa","Restoran Jawa","","","NO",5,4.6,"https://search.google.com/local/reviews?placeid=ChIJ_VeE4o7Rcy4RbjoasmjK0JE&q=warung+dekat+pulau+menjangan+kecil&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=10507120481668840046",-5.8752716,110.4342315,"","","Kamis:[08.00-21.00], Jumat:[08.00-21.00], Sabtu:[08.00-21.00], Minggu:[08.00-21.00], Senin:[08.00-21.00], Selasa:[08.00-21.00], Rabu:[08.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipMZlf6TYbMCOW__k_f4psfFWkMLDSscYkgVWeVL=w80-h106-k-no","10507120481668840046","ChIJ_VeE4o7Rcy4RbjoasmjK0JE"
"ANGKRINGAN MAK NDUT","Jl. I. J. Kasimo, Karimunjawa, Kabupaten Jepara, Jawa Tengah","Jl. I. J. Kasimo","Karimunjawa","Restoran","0822-2768-5323","0822-2768-5323, +62 822-2768-5323","YES",38,4.7,"https://search.google.com/local/reviews?placeid=ChIJtSiQm-jRcy4R72AGwjmZmZg&q=warung+dekat+pulau+menjangan+kecil&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=10995988438549160175",-5.869212699999999,110.4336797,"","","Kamis:[08.00-22.00], Jumat:[08.00-22.00], Sabtu:[08.00-22.00], Minggu:[08.00-22.00], Senin:[08.00-22.00], Selasa:[08.00-22.00], Rabu:[08.00-22.00]","https://lh5.googleusercontent.com/p/AF1QipMEtDezJHTKrceniOIJKUAiCpMNVykK0VVihVf-=w138-h92-k-no","10995988438549160175","ChIJtSiQm-jRcy4R72AGwjmZmZg"
"Warung Mekar Sari Ibu As'fiah","4CFM+RQ2, Unnamed Rd, Karimunjawa, Kabupaten Jepara, Jawa Tengah","4CFM+RQ2","Unnamed Rd","Restoran Nasi Goreng","","","NO",9,3.9,"https://search.google.com/local/reviews?placeid=ChIJZVUgHY_Rcy4RCkg341lbTcI&q=warung+dekat+pulau+menjangan+kecil&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=14000947258187008010",-5.875477399999999,110.434381,"","","Kamis:[08.00-23.00], Jumat:[08.00-23.00], Sabtu:[08.00-23.00], Minggu:[08.00-23.00], Senin:[08.00-23.00], Selasa:[08.00-23.00], Rabu:[08.00-23.00]","https://lh5.googleusercontent.com/p/AF1QipMSflaMLwoPYjltcjmBfDxrOCNshC6_n3rsgly9=w122-h92-k-no","14000947258187008010","ChIJZVUgHY_Rcy4RCkg341lbTcI"
