"Name","Fulladdress","Street","Municipality","Categories","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening hours","Featured image","Cid","Place Id"
"Warung Pak Joko","4JVF+X89, Jl. Pantai Perawan, Pulau Pari, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14520","4JVF+X89","Jl. Pantai Perawan","Restoran","0811-8387-049","0811-8387-049, +62 811-8387-049","NO",2,4,"https://search.google.com/local/reviews?placeid=ChIJawFVAwYLai4RXEBlwygI87A&q=warung+dekat+pulau+sepa&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=12750543941185912924",-5.855079099999999,106.6233451,"","","Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam], Rabu:[Buka 24 jam]","https://lh5.googleusercontent.com/p/AF1QipOZZ6A52tw1gCAAkF00FdyDhVP5_HdqfI1XOi8=w122-h92-k-no","12750543941185912924","ChIJawFVAwYLai4RXEBlwygI87A"
"Warung Ibu Ani/Mul","3H8P+XV, Pulau Pari, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14520","3H8P+XV","Pulau Pari","Restoran","","","NO","","","","https://www.google.com/maps?cid=2100208573590454127",-5.932557399999999,106.5871986,"","","","","2100208573590454127","ChIJhbuIXqUJai4Rb78W_5FwJR0"
"Warung Makan Bang Oji","7J37+JF7, Unnamed Road, Pulau Panggang, Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14530","7J37+JF7","Unnamed Road","Rumah Makan","0812-8246-7269","0812-8246-7269, +62 812-8246-7269","NO","","","","https://www.google.com/maps?cid=10585006614900615389",-5.745962,106.61365769999999,"","","","https://lh5.googleusercontent.com/p/AF1QipMWQlGXthICfl_O7HvDHo68VidJJMP2myx861pY=w163-h92-k-no","10585006614900615389","ChIJ5dumL851ai4R3ahPOm9_5ZI"
"Warung PONCO","7J63+43J, Pulau Panggang, Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14530","7J63+43J","Pulau Panggang","Restoran Nasi Goreng","0877-7161-1332","0877-7161-1332, +62 877-7161-1332","NO",17,4.1,"https://search.google.com/local/reviews?placeid=ChIJU3z5nSF0ai4RPLWwd_P1mqY&q=warung+dekat+pulau+sepa&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=12005178182743405884",-5.739660199999999,106.6026287,"","","Kamis:[07.00-02.00], Jumat:[07.00-02.00], Sabtu:[07.00-02.00], Minggu:[07.00-02.00], Senin:[07.00-02.00], Selasa:[07.00-02.00], Rabu:[07.00-02.00]","https://lh5.googleusercontent.com/p/AF1QipNu6dcGC5CKwtp3-6V2CL9yaCxD2PKZOAW026b6=w124-h92-k-no","12005178182743405884","ChIJU3z5nSF0ai4RPLWwd_P1mqY"
"Nasi Uduk","dermaga, Pulau Pramuka, samping RSUD atau lurus saja dari","dermaga","Pulau Pramuka, samping RSUD atau lurus saja dari","Kedai Sarapan","","","NO","","","","https://www.google.com/maps?cid=12956245268329859451",-5.7445384,106.6134498,"","","Kamis:[06.30-09.00], Jumat:[06.30-09.00], Sabtu:[06.30-09.00], Minggu:[06.30-09.00], Senin:[06.30-09.00], Selasa:[06.30-09.00], Rabu:[06.30-09.00]","","12956245268329859451","ChIJd3uSu-F1ai4RewmjKW3UzbM"
"Warung nasi wa teteh","7H6X+FH6, Pulau Panggang, Administrasi, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14530","7H6X+FH6","Pulau Panggang","Restoran","0858-9233-6822","0858-9233-6822, +62 858-9233-6822","NO","","","","https://www.google.com/maps?cid=10918078000852480480",-5.7388373,106.59889179999999,"","","","https://lh5.googleusercontent.com/p/AF1QipPZlhaxZ54RUl0mmunWzdFzxZCZKY4DkBCJuNSC=w80-h142-k-no","10918078000852480480","ChIJV6ckmcR1ai4R4LHRZhjOhJc"
"Warung Makan Ibu Sanima","Warung makan, Pulau Panggang, Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14530","Warung makan","Pulau Panggang","Warung nasi","","","NO","","","","https://www.google.com/maps?cid=16517604199358401515",-5.739660199999999,106.6026287,"","","Kamis:[Tutup], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Tutup], Selasa:[Tutup], Rabu:[Tutup]","https://lh5.googleusercontent.com/p/AF1QipN6lspnUCr5SXcMzo0Pc1wRrybGRNj_ZlKmYUyg=w80-h173-k-no","16517604199358401515","ChIJya0FlJ11ai4R6wtCW4FROuU"
"Warung Bu Nisa","8HWG+JJ2, Klp., Pulau Klp., Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14540","8HWG+JJ2","Klp.","Restoran Jawa","","","NO",5,4.6,"https://search.google.com/local/reviews?placeid=ChIJxSEwJCp4ai4RSgCMxwjuMvU&q=warung+dekat+pulau+sepa&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=17668446009602867274",-5.6534778,106.576501,"","","Kamis:[07.00-21.45], Jumat:[Tutup], Sabtu:[07.00-21.45], Minggu:[07.00-21.45], Senin:[07.00-21.45], Selasa:[07.00-21.45], Rabu:[07.00-21.45]","","17668446009602867274","ChIJxSEwJCp4ai4RSgCMxwjuMvU"
"WARUNG MAKANAN MAMAH AZKA","4JVC+9RF, RT.001/RW.004 kel, Pulau Pari, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14520","4JVC+9RF","RT.001/RW.004 kel, Pulau Pari","Kedai Sarapan & Makan Siang","0838-7518-2287","0838-7518-2287, +62 838-7518-2287","NO","","","","https://www.google.com/maps?cid=16129834332839497268",-5.8565515999999995,106.6220402,"","","Kamis:[09.00-21.00], Jumat:[09.00-21.00], Sabtu:[09.00-21.00], Minggu:[09.00-21.00], Senin:[09.00-21.00], Selasa:[09.00-21.00], Rabu:[09.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipNbKvKokzfye-OUpZuDYAog6d4TxoBaAFQOqIeK=w122-h92-k-no","16129834332839497268","ChIJ0enXb8wLai4RNE7Mvt2u2N8"
"Warung Bakso Sari Gadis","Pulau Harapan RT.006, Pulau Klp., Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14540","Pulau Harapan RT.006","Pulau Klp.","Restoran Bakso,Kedai Sarapan & Makan Siang","0858-9055-7443","0858-9055-7443, +62 858-9055-7443","NO",1,5,"https://search.google.com/local/reviews?placeid=ChIJg8o1v_l5ai4RJQ4RbkJbyys&q=warung+dekat+pulau+sepa&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=3155716304775745061",-5.653586799999999,106.5777806,"","","Kamis:[09.00-11.00], Jumat:[09.00-11.00], Sabtu:[09.00-11.00], Minggu:[09.00-11.00], Senin:[09.00-11.00], Selasa:[09.00-11.00], Rabu:[09.00-11.00]","https://lh5.googleusercontent.com/p/AF1QipOXU_4H4JmDTnm7P7qME6i5M7NyuIdP8dwg-8my=w95-h92-k-no","3155716304775745061","ChIJg8o1v_l5ai4RJQ4RbkJbyys"
