"Name","Fulladdress","Street","Municipality","Categories","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening hours","Featured image","Cid","Place Id"
"WARUNG BAROKAH","Wisata Sumbermaron RT.13 RW.03, Dusun Adi Luwih, Karangsuko, Kec. Pagelaran, Kabupaten Malang, Jawa Timur 65174","Wisata Sumbermaron RT.13 RW.03","Dusun Adi Luwih, Karangsuko","Restoran Jawa,Rumah Makan","0822-2952-9300","0822-2952-9300, +62 822-2952-9300","NO",1,4,"https://search.google.com/local/reviews?placeid=ChIJT6htg2OfeC4RfquvMyMBMac&q=warung+dekat+sumber+sira+putukrejo&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=12047411728895421310",-8.1652136,112.5937302,"","","Kamis:[07.00-17.00], Jumat:[07.00-17.00], Sabtu:[07.00-17.00], Minggu:[07.00-17.00], Senin:[07.00-17.00], Selasa:[07.00-17.00], Rabu:[07.00-17.00]","","12047411728895421310","ChIJT6htg2OfeC4RfquvMyMBMac"
"Warung BH (Bang Holis)","Jl KH Hasyim Asy'ari, RT 08 RW 03, Putuk Selatan, Putukrejo, Kec. Gondanglegi, Kabupaten Malang, Jawa Timur 65174","Jl KH Hasyim Asy'ari, RT 08 RW 03","Putuk Selatan, Putukrejo","Kafe","","","NO",1,5,"https://search.google.com/local/reviews?placeid=ChIJj_Sb-GQh1i0Rbsk2kN8s47s&q=warung+dekat+sumber+sira+putukrejo&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=13538714243514681710",-8.130221299999999,112.62526709999999,"","","Kamis:[06.00-19.00], Jumat:[06.00-19.00], Sabtu:[06.00-19.00], Minggu:[06.00-19.00], Senin:[06.00-19.00], Selasa:[06.00-19.00], Rabu:[06.00-19.00]","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kJ4PmiYhV2XeOHD2pvAdZg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=350.32843&pitch=0&thumbfov=100","13538714243514681710","ChIJj_Sb-GQh1i0Rbsk2kN8s47s"
"Martabak BAROKAH bang hafid","Jl. KH. Syamsul Arifin No.50, Bulupayung, Krebet, Kec. Bululawang, Kabupaten Malang, Jawa Timur 65174","Jl. KH. Syamsul Arifin No.50","Bulupayung, Krebet","Restoran Martabak,Restoran","0822-2807-4117","0822-2807-4117, +62 822-2807-4117","NO",1,5,"https://search.google.com/local/reviews?placeid=ChIJD9q70Pgh1i0RrRGtz_PcXZw&q=warung+dekat+sumber+sira+putukrejo&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=11267404782470238637",-8.1199674,112.637239,"","","Kamis:[17.30-21.00], Jumat:[17.30-21.00], Sabtu:[17.30-21.00], Minggu:[17.30-21.00], Senin:[Tutup], Selasa:[17.30-21.00], Rabu:[17.30-21.00]","https://lh5.googleusercontent.com/p/AF1QipMMyIK3_SIppJd0E2uRzvtxZhHc_5hXanFiIWC6=w80-h142-k-no","11267404782470238637","ChIJD9q70Pgh1i0RrRGtz_PcXZw"
"Warung naura","RHPV+2PR, Wisata Sumber Maron Nomor, 35, Karangsuko, Kec. Pagelaran, Kabupaten Malang, Jawa Timur 65178","RHPV+2PR","Wisata Sumber Maron Nomor","Rumah Makan","0857-5500-7768","0857-5500-7768, +62 857-5500-7768","NO",2,4.5,"https://search.google.com/local/reviews?placeid=ChIJH9M1OdafeC4RV-NohvCS584&q=warung+dekat+sumber+sira+putukrejo&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=14909046653178143575",-8.1648854,112.594256,"","","Kamis:[07.00-17.00], Jumat:[07.00-17.00], Sabtu:[07.00-17.00], Minggu:[07.00-17.00], Senin:[07.00-17.00], Selasa:[07.00-17.00], Rabu:[07.00-17.00]","https://lh5.googleusercontent.com/p/AF1QipP74-7vEDGhyrkPQHB9PvWK-hYsO1RNOpadYd0i=w80-h106-k-no","14909046653178143575","ChIJH9M1OdafeC4RV-NohvCS584"
"Warung Bu Nurul Sumbermaron","Wisata Sumber Maron RT.13 RW.03, Dusun Adi Luwih, Karangsuko, Kec. Pagelaran, Kabupaten Malang, Jawa Timur 65174","Wisata Sumber Maron RT.13 RW.03","Dusun Adi Luwih, Karangsuko","Restoran Jawa,Rumah Makan","0858-0406-1440","0858-0406-1440, +62 858-0406-1440","NO","","","","https://www.google.com/maps?cid=237668299380240945",-8.1649563,112.5943593,"","","Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam], Rabu:[Buka 24 jam]","https://lh5.googleusercontent.com/p/AF1QipMcCJ_QfR-tQ8PTQv2eO_Z73TIjFsIF7SgTgX7U=w80-h106-k-no","237668299380240945","ChIJW0dxKxWfeC4RMTLuHg9eTAM"
"WARUNG WAREG KEPANJEN MALANG","Gambiran, Mojosari, Kec. Kepanjen, Kabupaten Malang, Jawa Timur","Gambiran, Mojosari","Kec. Kepanjen","Restoran Indonesia","0813-3451-8599","0813-3451-8599, +62 813-3451-8599","YES",262,4.3,"https://search.google.com/local/reviews?placeid=ChIJ2Vsrv9qfeC4R9VUM8XurlE0&q=warung+dekat+sumber+sira+putukrejo&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=5590281586287072757",-8.0920572,112.58551419999999,"","","Kamis:[09.30-21.00], Jumat:[09.30-21.00], Sabtu:[09.30-21.00], Minggu:[09.30-21.00], Senin:[09.30-21.00], Selasa:[09.30-21.00], Rabu:[09.30-21.00]","https://lh5.googleusercontent.com/p/AF1QipPaSec9WxDktg0nB3mm4dOKvNKo44KJs_Wmd_Lj=w163-h92-k-no","5590281586287072757","ChIJ2Vsrv9qfeC4R9VUM8XurlE0"
"Warung Rujak Cingur Khas Malang Jatim","Jalan Raya Jalibar Pertigaan Jalibar Mojosari, Dawukan, Jatirejoyoso, Kec. Kepanjen, Kabupaten Malang, Jawa Timur 65163","Jalan Raya Jalibar Pertigaan Jalibar Mojosari","Dawukan, Jatirejoyoso","Rumah Makan,Restoran Jawa Timur","0858-1507-7475","0858-1507-7475, +62 858-1507-7475","YES",59,4.3,"https://search.google.com/local/reviews?placeid=ChIJOxR8sXqeeC4R3UH0LMOUZVc&q=warung+dekat+sumber+sira+putukrejo&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=6297603219941245405",-8.096434499999999,112.5832083,"https://warung-rujak-cingur-khas-jatim.business.site/","business.site","Kamis:[09.00-18.30], Jumat:[09.00-18.30], Sabtu:[09.00-15.30], Minggu:[Tutup], Senin:[09.00-18.30], Selasa:[09.00-18.30], Rabu:[09.00-18.30]","https://lh5.googleusercontent.com/p/AF1QipMczwlI8rOejXtkBTvWgnEIrvP-gA_yNAJ-JKV1=w80-h133-k-no","6297603219941245405","ChIJOxR8sXqeeC4R3UH0LMOUZVc"
"Warung Nayamul","Jl. Trunojoyo No.4, Ngadiluwih, Kedungpedaringan, Kec. Kepanjen, Kabupaten Malang, Jawa Timur 65163","Jl. Trunojoyo No.4","Ngadiluwih, Kedungpedaringan","Restoran","0822-1999-5758","0822-1999-5758, +62 822-1999-5758","YES",676,4.5,"https://search.google.com/local/reviews?placeid=ChIJL2j7tlifeC4RYVE_pt2VWLQ&q=warung+dekat+sumber+sira+putukrejo&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=12995301503987044705",-8.1493875,112.5767169,"","","Kamis:[07.00-21.00], Jumat:[07.00-21.00], Sabtu:[07.00-21.00], Minggu:[07.00-21.00], Senin:[07.00-21.00], Selasa:[07.00-21.00], Rabu:[07.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipO-Uz8IJCAlBUoHB7Uues5ce__jMx1PCYwLRiuT=w194-h92-k-no","12995301503987044705","ChIJL2j7tlifeC4RYVE_pt2VWLQ"
"Warung Pecel ' Pong '","Jl. K H Agus Salim No.137, Kepanjen, Kec. Kepanjen, Kabupaten Malang, Jawa Timur 65163","Jl. K H Agus Salim No.137","Kepanjen","Kafe,Kedai Sarapan,Warung Makanan Kecil","0821-3193-3507","0821-3193-3507, +62 821-3193-3507","NO",18,4.4,"https://search.google.com/local/reviews?placeid=ChIJGzdSD6qfeC4RNQqi9gsDahw&q=warung+dekat+sumber+sira+putukrejo&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=2047452330510649909",-8.1326793,112.5725847,"","","Kamis:[05.30-15.30], Jumat:[05.30-12.00], Sabtu:[05.30-12.00], Minggu:[05.30-12.00], Senin:[05.30-15.30], Selasa:[05.30-15.30], Rabu:[05.30-15.30]","https://lh5.googleusercontent.com/p/AF1QipNez4wJbd7sYTRUdAT_rmkBT_IDT3H-q0vdEwfK=w122-h92-k-no","2047452330510649909","ChIJGzdSD6qfeC4RNQqi9gsDahw"
"mie lombok","VJRP+89J, Jl. Raya Krebet Blambangan, Blambangan, Krebet, Kec. Bululawang, Kabupaten Malang, Jawa Timur 65171","VJRP+89J","Jl. Raya Krebet Blambangan","Restoran Mie","0822-2970-8137","0822-2970-8137, +62 822-2970-8137","NO",1,4,"https://search.google.com/local/reviews?placeid=ChIJ739_SFgh1i0RVrNwbrupkRo&q=warung+dekat+sumber+sira+putukrejo&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=1914497939086029654",-8.1091517,112.6358961,"","","","https://lh5.googleusercontent.com/p/AF1QipOvQJoHe_6QuNdDGAN3KTqYb4Y8O1Buct3aniwI=w80-h106-k-no","1914497939086029654","ChIJ739_SFgh1i0RVrNwbrupkRo"
