"Name","Fulladdress","Street","Municipality","Categories","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening hours","Featured image","Cid","Place Id"
"Warnas ASSOKA","6G83+GH4, Jl. Taman Nasional Ujung Kulon, Tamanjaya, Kec. Sumur, Kabupaten Pandeglang, Banten 42283","6G83+GH4","Jl. Taman Nasional Ujung Kulon","Warung nasi,Kedai Sarapan & Makan Siang","","","NO",1,3,"https://search.google.com/local/reviews?placeid=ChIJibzBA5qnQy4Rq1r_51q6ZOM&q=warung+dekat+taman+nasional+ujung+kulon&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=16385426243882801835",-6.7837372,105.503948,"","","","https://lh5.googleusercontent.com/p/AF1QipPh97AInkF_CfdJOQ8eh_NdgPKWjKffNOEvQl7F=w163-h92-k-no","16385426243882801835","ChIJibzBA5qnQy4Rq1r_51q6ZOM"
"Warung makan","Tjikawung Ujungjaya, Kabupaten Pandeglang, Banten","Tjikawung Ujungjaya","Kabupaten Pandeglang","Rumah Makan","0816-753-013","0816-753-013, +62 816-753-013","YES",1,5,"https://search.google.com/local/reviews?placeid=ChIJ84nSoKbLaS4RVCzHWWTCMZQ&q=warung+dekat+taman+nasional+ujung+kulon&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=10678529927730900052",-6.8069824,105.496015,"https://bit.ly/GREENCAMPANDRESTOABUNPEUCENONGAN","bit.ly","Kamis:[09.00-18.00], Jumat:[09.00-19.00], Sabtu:[09.00-20.00], Minggu:[09.00-18.00], Senin:[09.00-17.00], Selasa:[09.00-18.00], Rabu:[09.00-18.00]","https://lh5.googleusercontent.com/p/AF1QipOeo6EARtWy5fH_jAoFWXj4yW4chcs2HEvTAHTN=w204-h92-k-no","10678529927730900052","ChIJ84nSoKbLaS4RVCzHWWTCMZQ"
"Warung Baso Solo","6G83+CJR, Jl. Taman Nasional Ujung Kulon, Tamanjaya, Kec. Sumur, Kabupaten Pandeglang, Banten 42283","6G83+CJR","Jl. Taman Nasional Ujung Kulon","Restoran Bakso","","","NO",3,5,"https://search.google.com/local/reviews?placeid=ChIJK9qno82mQy4RfgXVUzUpB6M&q=warung+dekat+taman+nasional+ujung+kulon&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=11747403462035703166",-6.783881999999999,105.50402,"","","Kamis:[08.00-21.00], Jumat:[08.00-21.00], Sabtu:[08.00-21.00], Minggu:[08.00-21.00], Senin:[08.00-21.00], Selasa:[08.00-21.00], Rabu:[08.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipNvsKgJcD2_78SidA38CId6DvbtUkNlFBQZnbci=w163-h92-k-no","11747403462035703166","ChIJK9qno82mQy4RfgXVUzUpB6M"
"Warung Makan Ibu Tini","Ujungjaya, Kec. Sumur, Kabupaten Pandeglang, Banten 42283","Ujungjaya","Kec. Sumur","Warung nasi","0877-7038-4842","0877-7038-4842, +62 877-7038-4842","YES",2,4,"https://search.google.com/local/reviews?placeid=ChIJeSgBrBenQy4Rh5tHCkZQLQ8&q=warung+dekat+taman+nasional+ujung+kulon&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=1093618546271296391",-6.8012419,105.5055398,"","","","https://lh5.googleusercontent.com/p/AF1QipMvC9yzO4Gcu7NWHb4JDJhumIV780zbi2PBgA-d=w80-h142-k-no","1093618546271296391","ChIJeSgBrBenQy4Rh5tHCkZQLQ8"
"Warung Kopi enak","6G93+5JW, Jl. Taman Nasional Ujung Kulon, Tamanjaya, Kec. Sumur, Kabupaten Pandeglang, Banten 42283","6G93+5JW","Jl. Taman Nasional Ujung Kulon","Kedai Kopi","","","NO","","","","https://www.google.com/maps?cid=13665800641650092640",-6.782015599999999,105.50407299999999,"","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=22JoAtd_6bfW6p-SbSztgQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=236.98706&pitch=0&thumbfov=100","13665800641650092640","ChIJsTlAbbGnQy4RYOrbcEetpr0"
"Bakso Urat ""BRJ"" Ujung Kulon","6G93+4P5, Jl. Taman Nasional Ujung Kulon, Tamanjaya, Kec. Sumur, Kabupaten Pandeglang, Banten 42283","6G93+4P5","Jl. Taman Nasional Ujung Kulon","Restoran","","","NO","","","","https://www.google.com/maps?cid=18231324988175656701",-6.7822472,105.50434899999999,"","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GH-3jlcoYHodd5bIjhGuvA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=114.23214&pitch=0&thumbfov=100","18231324988175656701","ChIJ80qlT8ymQy4R_abpqHutAv0"
"RM Rhino Warung Makan","8HQJ+GR3, Jl. Taman Nasional Ujung Kulon, Kertajaya, Kec. Sumur, Kabupaten Pandeglang, Banten 42283","8HQJ+GR3","Jl. Taman Nasional Ujung Kulon","Restoran","0852-2074-3686","0852-2074-3686, +62 852-2074-3686","NO",30,4.6,"https://search.google.com/local/reviews?placeid=ChIJpYTk0rG6Qy4RVViZDdA3qns&q=warung+dekat+taman+nasional+ujung+kulon&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=8910996179426826325",-6.6612335,105.58203809999999,"","","Kamis:[07.00-21.00], Jumat:[07.00-21.00], Sabtu:[07.00-21.00], Minggu:[07.00-21.00], Senin:[07.00-21.00], Selasa:[07.00-21.00], Rabu:[07.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipO4lMnNvinlCn-Mo15qm9bXk06pkQbYLSv0oOiT=w80-h106-k-no","8910996179426826325","ChIJpYTk0rG6Qy4RVViZDdA3qns"
"Warung mie ayam","6GH5+4P4, RT./003/RW.001 desa, Tamanjaya, Kec. Sumur, Kabupaten Pandeglang, Banten","6GH5+4P4","RT./003/RW.001 desa, Tamanjaya","Kedai Sarapan & Makan Siang","","","NO","","","","https://www.google.com/maps?cid=10139301500273267826",-6.772245,105.509339,"","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xc1bBwluTxQl01p2neiG3A&cb_client=search.gws-prod.gps&w=80&h=92&yaw=105.888824&pitch=0&thumbfov=100","10139301500273267826","ChIJP_1X_QSnQy4RcpRfgv4Itow"
"Warung Ule","8HQJ+8FM, Jl. Taman Nasional Ujung Kulon, Kertajaya, Kec. Sumur, Kabupaten Pandeglang, Banten 42283","8HQJ+8FM","Jl. Taman Nasional Ujung Kulon","Restoran","","","NO","","","","https://www.google.com/maps?cid=6712382535166680367",-6.6616626,105.5811872,"","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UM9LZLXWHlVvHhTN3Y1zaA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=297.93073&pitch=0&thumbfov=100","6712382535166680367","ChIJJzUuyLG6Qy4RL10lHVosJ10"
"Warung baso asah","7GCH+2CM, Kp. Garung, Tunggaljaya, Kec. Sumur, Kabupaten Pandeglang, Banten 42283","7GCH+2CM","Kp. Garung, Tunggaljaya","Restoran Bakso","0878-8449-1610","0878-8449-1610, +62 878-8449-1610","NO",1,5,"https://search.google.com/local/reviews?placeid=ChIJt3_tBO-lQy4R7FIumG7D_Gg&q=warung+dekat+taman+nasional+ujung+kulon&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=7565136353842582252",-6.7299096,105.5285522,"","","Kamis:[08.00-00.00], Jumat:[08.00-00.00], Sabtu:[08.00-00.00], Minggu:[08.00-00.00], Senin:[08.00-00.00], Selasa:[08.00-00.00], Rabu:[08.00-00.00]","https://lh5.googleusercontent.com/p/AF1QipNIpvCtZdHeiXfvtWhvyOBMSztirr4P2xkJMiox=w80-h142-k-no","7565136353842582252","ChIJt3_tBO-lQy4R7FIumG7D_Gg"
