"Name","Fulladdress","Street","Municipality","Categories","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening hours","Featured image","Cid","Place Id"
"Kedai Kopi Tempuran","Cikal, Srimulyo, Kec. Piyungan, Kabupaten Bantul, Daerah Istimewa Yogyakarta","Cikal, Srimulyo","Kec. Piyungan","Kedai Kopi","0813-2990-0411","0813-2990-0411, +62 813-2990-0411","YES",12,5,"https://search.google.com/local/reviews?placeid=ChIJG4aK9lhRei4RIsw42vhgVSs&q=warung+dekat+taman+tempuran+cikal&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=3122508538580618274",-7.8409217,110.4497835,"https://kedaikopitempuran.blogspot.com/?m=1","kedaikopitempuran.blogspot.com","Kamis:[Tutup], Jumat:[08.00-23.00], Sabtu:[07.00-23.00], Minggu:[07.00-23.00], Senin:[08.00-23.00], Selasa:[08.00-23.00], Rabu:[08.00-23.00]","https://lh5.googleusercontent.com/p/AF1QipOpZhznKqxKUENvcfO4Xzz0DkqcM9o1577njZxl=w194-h92-k-no","3122508538580618274","ChIJG4aK9lhRei4RIsw42vhgVSs"
"Ayam Kuah Pak Ragil","5C4W+W78, Jl. Karangploso Sitimulyo, Karang Gayam, Sitimulyo, Kec. Piyungan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55792","5C4W+W78","Jl. Karangploso Sitimulyo","Restoran","","","NO",28,4.7,"https://search.google.com/local/reviews?placeid=ChIJ-05TNhtRei4RGgTwWpnE20g&q=warung+dekat+taman+tempuran+cikal&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=5250005953565164570",-7.842701699999999,110.4457127,"","","Kamis:[11.00-01.00], Jumat:[11.00-01.00], Sabtu:[11.00-01.00], Minggu:[11.00-01.00], Senin:[11.00-01.00], Selasa:[11.00-01.00], Rabu:[11.00-01.00]","https://lh5.googleusercontent.com/p/AF1QipPifb-bU22_WtNDShS_3RLQ45el7NbOGJahmNF4=w163-h92-k-no","5250005953565164570","ChIJ-05TNhtRei4RGgTwWpnE20g"
"Warung Mas Wahyu","Cikal RT 02, Cikal, Srimulyo, Kec. Piyungan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55792","Cikal RT 02","Cikal, Srimulyo","Minimarket","","","NO",2,5,"https://search.google.com/local/reviews?placeid=ChIJ662bB-1Rei4R5-MlOnmm6C8&q=warung+dekat+taman+tempuran+cikal&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=3452192153976300519",-7.8430643,110.4495146,"","","Kamis:[07.00-17.00], Jumat:[07.00-17.00], Sabtu:[07.00-17.00], Minggu:[Tutup], Senin:[07.00-17.00], Selasa:[07.00-17.00], Rabu:[07.00-17.00]","https://lh5.googleusercontent.com/p/AF1QipNSxq3dUQM6KNXH5PhFDUctGw3ttjHXomqGjmTf=w163-h92-k-no","3452192153976300519","ChIJ662bB-1Rei4R5-MlOnmm6C8"
"Warung Dahar Lestari Mulyo","Jalan Sampakan, Jalan Wonolelo No.KM 3, Nganyang, Sitimulyo, Kec. Piyungan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55792","Jalan Sampakan","Jalan Wonolelo No.KM 3","Restoran","0877-3802-8756","0877-3802-8756, +62 877-3802-8756","YES",260,4.3,"https://search.google.com/local/reviews?placeid=ChIJb4HvtzBRei4R9CzhlgQ4-S4&q=warung+dekat+taman+tempuran+cikal&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=3384798187308002548",-7.848456499999999,110.4367092,"","","Kamis:[08.00-18.00], Jumat:[08.00-18.00], Sabtu:[08.00-18.00], Minggu:[08.00-18.00], Senin:[08.00-18.00], Selasa:[08.00-18.00], Rabu:[08.00-18.00]","https://lh5.googleusercontent.com/p/AF1QipMVklEqQtF9pnYbyVzX6pE0OYXajCKq4S9t00ML=w122-h92-k-no","3384798187308002548","ChIJb4HvtzBRei4R9CzhlgQ4-S4"
"Kopi opak #29","Jalan Jogja - Wonosari No.km 11,5, Karang Anom, Sitimulyo, Kec. Piyungan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55792","Jalan Jogja - Wonosari No.km 11,5","Karang Anom, Sitimulyo","Restoran","0877-1700-0043","0877-1700-0043, +62 877-1700-0043","YES",1504,4.4,"https://search.google.com/local/reviews?placeid=ChIJyaUiZ19Rei4R772ttN3aQvA&q=warung+dekat+taman+tempuran+cikal&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=17312640563319520751",-7.829283599999999,110.4521336,"","","Kamis:[09.00-22.00], Jumat:[09.00-22.00], Sabtu:[09.00-22.00], Minggu:[09.00-22.00], Senin:[09.00-22.00], Selasa:[09.00-22.00], Rabu:[09.00-22.00]","https://lh5.googleusercontent.com/p/AF1QipODAyMTer4UUDxJTmbB7hncgBAWsYm-Bbowqb1T=w80-h106-k-no","17312640563319520751","ChIJyaUiZ19Rei4R772ttN3aQvA"
"Tan Ndeso","Jl Pagergunung, Pager Gn. 2, Sitimulyo, Piyungan, Bantul Regency, Special Region of Yogyakarta 55792","Jl Pagergunung","Pager Gn. 2, Sitimulyo","Restoran","0857-4784-4977","0857-4784-4977, +62 857-4784-4977","YES",49,4.7,"https://search.google.com/local/reviews?placeid=ChIJQ1qXW9tRei4RPC-rmFntdK0&q=warung+dekat+taman+tempuran+cikal&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=12498875834929196860",-7.8476209,110.44357009999999,"","","","https://lh5.googleusercontent.com/p/AF1QipOatJYibi2MWSl1XCk6PbeaOYCsf4ncvcILDhBd=w204-h92-k-no","12498875834929196860","ChIJQ1qXW9tRei4RPC-rmFntdK0"
"Warung Pak Woko Wader mangut","Onggoparum, Srimulyo, Kec. Piyungan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55792","Onggoparum, Srimulyo","Kec. Piyungan","Restoran","0878-3925-3808","0878-3925-3808, +62 878-3925-3808","YES",229,4.6,"https://search.google.com/local/reviews?placeid=ChIJl65dW_1Qei4RLWoymms4o78&q=warung+dekat+taman+tempuran+cikal&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=13808942917247724077",-7.8317717,110.4630433,"","","Kamis:[10.00-17.30], Jumat:[Tutup], Sabtu:[10.00-17.30], Minggu:[10.00-17.30], Senin:[10.00-17.30], Selasa:[10.00-17.30], Rabu:[10.00-17.30]","https://lh5.googleusercontent.com/p/AF1QipMubsGaH6YEBWi2LampP5VyaChg4YOiHR4tOkN8=w122-h92-k-no","13808942917247724077","ChIJl65dW_1Qei4RLWoymms4o78"
"Warung Bakmi Cucu Sapar (Mbak Wiwik)","Jl. Wonosari No.10, Babadan, Sitimulyo, Kec. Piyungan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55792","Jl. Wonosari No.10","Babadan, Sitimulyo","Restoran Mie","0857-4235-2405","0857-4235-2405, +62 857-4235-2405","NO",151,4.3,"https://search.google.com/local/reviews?placeid=ChIJ2aWJA95Qei4RtcQHp_HZbMM&q=warung+dekat+taman+tempuran+cikal&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=14081869766793348277",-7.8284354,110.4498035,"","","Kamis:[18.00-23.00], Jumat:[18.00-23.00], Sabtu:[18.00-23.00], Minggu:[18.00-23.00], Senin:[18.00-23.00], Selasa:[18.00-23.00], Rabu:[18.00-23.00]","https://lh5.googleusercontent.com/p/AF1QipOg-VvjCBvtSX4-MpP-sKTVa6wXSUxR4EacVTqo=w163-h92-k-no","14081869766793348277","ChIJ2aWJA95Qei4RtcQHp_HZbMM"
"Warung W.A","4FRF+V4R, Jalan Pleret-Patuk, Pandeyan, Srimulyo, Piyungan, Duwen Bintang, Srimulyo, Kec. Piyungan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55792","4FRF+V4R","Jalan Pleret-Patuk, Pandeyan, Srimulyo, Piyungan","Kedai Sarapan & Makan Siang,Restoran","0813-2767-8424","0813-2767-8424, +62 813-2767-8424","NO",29,4.4,"https://search.google.com/local/reviews?placeid=ChIJfxBAx3tRei4RWBUwztxO3fU&q=warung+dekat+taman+tempuran+cikal&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=17716403219404428632",-7.8577666,110.47276699999999,"","","Kamis:[13.00-00.00], Jumat:[13.00-00.00], Sabtu:[13.00-00.00], Minggu:[13.00-00.00], Senin:[13.00-00.00], Selasa:[13.00-00.00], Rabu:[13.00-00.00]","https://lh5.googleusercontent.com/p/AF1QipMenrkXsIj9K5NWxeAv_knAmIQCaHKKsJcGjCx2=w184-h92-k-no","17716403219404428632","ChIJfxBAx3tRei4RWBUwztxO3fU"
"Rumah Makan Padang Group Murah Meriah","Jl. Wonosari No.10, RW.38, Babadan, Sitimulyo, Kec. Piyungan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55792","Jl. Wonosari No.10","RW.38, Babadan, Sitimulyo","Restoran Padang,Rumah Makan,Restoran Keluarga","(0274) 4353259","(0274) 4353259, +62 274 4353259","NO",1002,4.2,"https://search.google.com/local/reviews?placeid=ChIJwYs8zdtQei4RuD94CVmqCE8&q=warung+dekat+taman+tempuran+cikal&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=5694989028197679032",-7.8281506,110.44704689999999,"","","Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam], Rabu:[Buka 24 jam]","https://lh5.googleusercontent.com/p/AF1QipOXXsQbJRzeoyl_ZXPBfAysUZS1mcAPEeYJRjZj=w122-h92-k-no","5694989028197679032","ChIJwYs8zdtQei4RuD94CVmqCE8"
