"Name","Fulladdress","Street","Municipality","Categories","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening hours","Featured image","Cid","Place Id"
"Warung Evi Jaya","FP96+3CH, Jalan Raya Labuan, Citeureup, Panimbang, Pandeglang Regency, Banten 42281","FP96+3CH","Jalan Raya Labuan","Restoran Indonesia,Restoran","0857-7737-0989","0857-7737-0989, +62 857-7737-0989","NO",59,4.1,"https://search.google.com/local/reviews?placeid=ChIJNzNPJMi1Qy4RVrNz1g5UEo0&q=warung+dekat+tanjung+lesung&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=10165279731632812886",-6.5323189,105.71110449999999,"","","Kamis:[08.00-21.00], Jumat:[08.00-21.00], Sabtu:[08.00-21.00], Minggu:[08.00-22.00], Senin:[08.00-21.00], Selasa:[08.00-21.00], Rabu:[08.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipMByNcT_ChrvizxS8l5quJssrqRTu6-o4--ynks=w122-h92-k-no","10165279731632812886","ChIJNzNPJMi1Qy4RVrNz1g5UEo0"
"Restoran Jempol","FP9F+953, Jl. Raya Tj. Lesung, Mekarsari, Kec. Panimbang, Kabupaten Pandeglang, Banten 42281","FP9F+953","Jl. Raya Tj. Lesung","Restoran Seafood","0858-8144-0195","0858-8144-0195, +62 858-8144-0195","NO",690,4.4,"https://search.google.com/local/reviews?placeid=ChIJpRS1pq-1Qy4RrvDbVuOjg8c&q=warung+dekat+tanjung+lesung&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=14376514632306913454",-6.5316097,105.7229105,"https://www.instagram.com/restoranjempol/?hl=id","instagram.com","Kamis:[10.30-20.00], Jumat:[09.30-20.00], Sabtu:[09.30-20.00], Minggu:[09.30-20.00], Senin:[10.30-20.00], Selasa:[10.30-20.00], Rabu:[10.30-20.00]","https://lh5.googleusercontent.com/p/AF1QipMtrMl_6suURmw59c14UfSpO52wnIOUWutXCOa5=w163-h92-k-no","14376514632306913454","ChIJpRS1pq-1Qy4RrvDbVuOjg8c"
"Warung Nasi Ema Ndut","Jl. Raya Tj. Lesung, Citeureup, Kec. Panimbang, Kabupaten Pandeglang, Banten 42281","Jl. Raya Tj. Lesung","Citeureup","Warung nasi","0895-0594-7263","0895-0594-7263, +62 895-0594-7263","YES",10,5,"https://search.google.com/local/reviews?placeid=ChIJFaS0uUy1Qy4RQ67DX2Cf1K0&q=warung+dekat+tanjung+lesung&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=12525811699896528451",-6.5318027999999995,105.7096577,"","","Kamis:[10.00-22.00], Jumat:[10.00-22.00], Sabtu:[10.00-22.00], Minggu:[10.00-22.00], Senin:[10.00-22.00], Selasa:[10.00-22.00], Rabu:[10.00-22.00]","https://lh5.googleusercontent.com/p/AF1QipPllLlg2dOS8I6OFcj8T8n956EpQ3k9qeszUDCK=w122-h92-k-no","12525811699896528451","ChIJFaS0uUy1Qy4RQ67DX2Cf1K0"
"Warung Pusat Informasi Wisata Nelayan dan pondok makan padaidi 99","FMPH+R3X, Jl. Raya Tj. Lesung, Tanjungjaya, Kec. Panimbang, Kabupaten Pandeglang, Banten 42281","FMPH+R3X","Jl. Raya Tj. Lesung","Restoran","","","NO","","","","https://www.google.com/maps?cid=15971741194830035580",-6.5128844,105.67774209999999,"","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vOGT4qhvGjSp9eKo-2n2pw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=354.13397&pitch=0&thumbfov=100","15971741194830035580","ChIJZdTpjci3Qy4RfDpRqv4Fp90"
"Warung Mama Imas","FP95+GQ2, Citeureup, Kec. Panimbang, Kabupaten Pandeglang, Banten 42281","FP95+GQ2","Citeureup","Restoran","","","NO","","","","https://www.google.com/maps?cid=14387504007706560496",-6.5312481,105.7093867,"","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lyp9eVjE3rd2VT2UC7tB4g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=22.343748&pitch=0&thumbfov=100","14387504007706560496","ChIJlxy2YQW1Qy4R8Mfbr6quqsc"
"Warung lesehan mas paijo","FP99+2XX, Mekarsari, Kec. Panimbang, Kabupaten Pandeglang, Banten 42281","FP99+2XX","Mekarsari","Restoran","0858-8673-7161","0858-8673-7161, +62 858-8673-7161","NO",47,4.8,"https://search.google.com/local/reviews?placeid=ChIJkWvnOF21Qy4RC_DgwLdM0io&q=warung+dekat+tanjung+lesung&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=3085613046800904203",-6.5323989,105.7199876,"","","Kamis:[08.00-00.00], Jumat:[08.00-00.00], Sabtu:[08.00-00.00], Minggu:[08.00-00.00], Senin:[08.00-00.00], Selasa:[08.00-00.00], Rabu:[08.00-00.00]","https://lh5.googleusercontent.com/p/AF1QipODbGLZNQRiws9UNNzskOT4r4AS5X0lk69-CZDB=w163-h92-k-no","3085613046800904203","ChIJkWvnOF21Qy4RC_DgwLdM0io"
"RM DUA PUTRA MINANG","FP87+RQV, Jl. Raya Tj. Lesung, Citeureup, Kec. Panimbang, Kabupaten Pandeglang, Banten 42281","FP87+RQV","Jl. Raya Tj. Lesung","Kedai Sarapan","0857-7495-6654","0857-7495-6654, +62 857-7495-6654","NO",1,4,"https://search.google.com/local/reviews?placeid=ChIJ3TEko3S1Qy4RLyEnK7D1SNQ&q=warung+dekat+tanjung+lesung&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=15296746271350923567",-6.53289,105.7144289,"","","","https://lh5.googleusercontent.com/p/AF1QipOld58R7sL6xLtD86r2ZXPESeFRhYutIUQ60rFC=w80-h142-k-no","15296746271350923567","ChIJ3TEko3S1Qy4RLyEnK7D1SNQ"
"Nasi Uduk Spesial 164 Marni","JL Raya Tanjung Lesung, Km. 01, Panimbang, Tanjungjaya, Kec. Panimbang, Kabupaten Pandeglang, Banten 42281","JL Raya Tanjung Lesung, Km. 01, Panimbang","Tanjungjaya","Restoran Betawi,Rumah Makan,Restoran Nasi Uduk","0877-7311-1231","0877-7311-1231, +62 877-7311-1231","NO","","","","https://www.google.com/maps?cid=16744107339431689219",-6.531257,105.653365,"","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=832k0BthDmA13DQ6r3wK9Q&cb_client=search.gws-prod.gps&w=80&h=92&yaw=249.62694&pitch=0&thumbfov=100","16744107339431689219","ChIJc2T_W0W2Qy4RAzzWP-kEX-g"
"Warung Nasi Sederhana","Mekarsari, Kec. Panimbang, Kabupaten Pandeglang, Banten","Mekarsari","Kec. Panimbang","Warung nasi","","","NO",1,1,"https://search.google.com/local/reviews?placeid=ChIJexcn2Au1Qy4RUozhe_7aQss&q=warung+dekat+tanjung+lesung&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=14646509724697201746",-6.5242445,105.7387931,"","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=c33ldMQDfesDkPYTxesULA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=24.63492&pitch=0&thumbfov=100","14646509724697201746","ChIJexcn2Au1Qy4RUozhe_7aQss"
"Batagor & Alpulat kocok umi Mul","FMGP+XHW, Jl. Raya Tj. Lesung, Citeureup, Kec. Panimbang, Kabupaten Pandeglang, Banten 42281","FMGP+XHW","Jl. Raya Tj. Lesung","Kedai Sarapan","","","NO","","","","https://www.google.com/maps?cid=13960663160448083101",-6.5225218,105.68646109999999,"","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PFdFbj6YyaqZDg63d_kwGg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=233.26863&pitch=0&thumbfov=100","13960663160448083101","ChIJB7PLxxW3Qy4RneRjey09vsE"
