"Name","Fulladdress","Street","Municipality","Categories","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening hours","Featured image","Cid","Place Id"
"Rumah Makan Telaga Remis “Simpatik”","Jl. Telaga Remis, Cikalahang, Kec. Dukupuntang, Kabupaten Cirebon, Jawa Barat 45559","Jl. Telaga Remis","Cikalahang","Restoran","0821-1922-5086","0821-1922-5086, +62 821-1922-5086","YES",8,4.8,"https://search.google.com/local/reviews?placeid=ChIJOyviZNAhby4Rji5JCb7s2NY&q=warung+dekat+telaga+remis&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=15481384020029812366",-6.7802321,108.4190022,"https://rumah-makan-telaga-remis-simpatik.business.site/","business.site","Kamis:[08.00-17.00], Jumat:[08.00-17.00], Sabtu:[08.00-17.00], Minggu:[08.00-17.00], Senin:[08.00-17.00], Selasa:[08.00-17.00], Rabu:[08.00-17.00]","https://lh5.googleusercontent.com/p/AF1QipOdrY0kQ-cy5kM2UJfsKsqViGV9ES-V64edEIIn=w163-h92-k-no","15481384020029812366","ChIJOyviZNAhby4Rji5JCb7s2NY"
"Rumah Makan Kharitzma","Jl. Buyut Reksawiguna, Telagaremis No.5, Cikalahang, Kec. Dukupuntang, Kabupaten Cirebon, Jawa Barat 45652","Jl. Buyut Reksawiguna","Telagaremis No.5","Restoran Ikan Bakar,Rumah Makan","(0231) 8344834","(0231) 8344834, +62 231 8344834","NO",3342,4.4,"https://search.google.com/local/reviews?placeid=ChIJp4bIctEhby4Rl94AdoONxhY&q=warung+dekat+telaga+remis&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=1641154709983125143",-6.7830137,108.4181583,"","","Kamis:[09.00-19.00], Jumat:[09.00-19.00], Sabtu:[09.00-19.00], Minggu:[09.00-19.00], Senin:[09.00-19.00], Selasa:[09.00-19.00], Rabu:[09.00-19.00]","https://lh5.googleusercontent.com/p/AF1QipNYoohhONblJ504GPCyk3QNL7BziF55ZYy0lbQA=w122-h92-k-no","1641154709983125143","ChIJp4bIctEhby4Rl94AdoONxhY"
"Rumah Makan Pak Kayol","Jalan Telaga Remis, RT.04/RW.04, Cikalahang, Kec. Dukupuntang, Kabupaten Cirebon, Jawa Barat 45559","Jalan Telaga Remis","RT.04/RW.04, Cikalahang","Restoran","0813-1210-4211","0813-1210-4211, +62 813-1210-4211","YES",108,4.3,"https://search.google.com/local/reviews?placeid=ChIJkW65etAhby4RubeR9J0dQNs&q=warung+dekat+telaga+remis&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=15798660057065961401",-6.7840378999999995,108.41677949999999,"https://rumah-makan-pak-kayol.business.site/","business.site","Kamis:[09.00-20.00], Jumat:[09.00-20.00], Sabtu:[09.00-20.00], Minggu:[09.00-20.00], Senin:[09.00-20.00], Selasa:[09.00-20.00], Rabu:[09.00-20.00]","https://lh5.googleusercontent.com/p/AF1QipNHEiyKI2trIhCJ-gmLCQ8fZMYDLlrYFJsEbq_O=w80-h106-k-no","15798660057065961401","ChIJkW65etAhby4RubeR9J0dQNs"
"Ikan Bakar H. Arjum","JL. Wisata Telaga Remis No.1, Cikalahang, Kec. Dukupuntang, Kabupaten Cirebon, Jawa Barat 45652","JL. Wisata Telaga Remis No.1","Cikalahang","Restoran Ikan Bakar,Rumah Makan","0856-9333-3234","0856-9333-3234, +62 856-9333-3234","NO",21,4,"https://search.google.com/local/reviews?placeid=ChIJx3JwamYhby4Rf-V-WME6Hrg&q=warung+dekat+telaga+remis&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=13267106154367870335",-6.7831608999999995,108.41808379999999,"","","Kamis:[08.00-20.00], Jumat:[08.00-20.00], Sabtu:[08.00-20.00], Minggu:[08.00-20.00], Senin:[08.00-20.00], Selasa:[08.00-20.00], Rabu:[08.00-20.00]","https://lh5.googleusercontent.com/p/AF1QipNQ7Bs6nZo-ysLrJpSHgp4clI37fgxHulNSc9pF=w80-h142-k-no","13267106154367870335","ChIJx3JwamYhby4Rf-V-WME6Hrg"
"Nasi Goreng MANG CIPTO","Jl. Telaga Remis, Cikalahang, Kec. Dukupuntang, Kabupaten Cirebon, Jawa Barat 45559","Jl. Telaga Remis","Cikalahang","Restoran Nasi Goreng,Rumah Makan","0818-0469-2683","0818-0469-2683, +62 818-0469-2683","YES",201,4.6,"https://search.google.com/local/reviews?placeid=ChIJudy2tW3ibi4RUJQWfu0foPE&q=warung+dekat+telaga+remis&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=17410951264297456720",-6.7823571,108.4184361,"http://www.mangcipto.blogspot.com/","mangcipto.blogspot.com","Kamis:[17.00-04.00], Jumat:[17.00-04.00], Sabtu:[17.00-04.00], Minggu:[17.00-04.00], Senin:[17.00-04.00], Selasa:[17.00-04.00], Rabu:[17.00-04.00]","https://lh5.googleusercontent.com/p/AF1QipOLJox_U-T7PXWfPwpb1yYtGstuPNpWks2elIxW=w163-h92-k-no","17410951264297456720","ChIJudy2tW3ibi4RUJQWfu0foPE"
"Warung Makan Lesehan","Jl. Siliwangi No.45-2, Purwawinangun, Kec. Kuningan, Kabupaten Kuningan, Jawa Barat 45512","Jl. Siliwangi No.45-2","Purwawinangun","Restoran Jawa","","","NO",4,5,"https://search.google.com/local/reviews?placeid=ChIJ21Rcj4wXby4RQ4GJi6WZ330&q=warung+dekat+telaga+remis&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=9070137110837166403",-6.972298299999999,108.4859335,"","","Kamis:[08.00-21.00], Jumat:[08.00-21.00], Sabtu:[08.00-21.00], Minggu:[08.00-21.00], Senin:[08.00-21.00], Selasa:[08.00-21.00], Rabu:[08.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipNHqWQLB8Apnl360fHWhX98X15ZRUue9vUsnowt=w163-h92-k-no","9070137110837166403","ChIJ21Rcj4wXby4RQ4GJi6WZ330"
"Grage Lanai Resto","Jl. Raya Sangkanurip No.1, Panawuan, Kec. Cilimus, Kabupaten Kuningan, Jawa Barat 45556","Jl. Raya Sangkanurip No.1","Panawuan","Kedai Sarapan & Makan Siang,Restoran Sunda","0878-8166-1436","0878-8166-1436, +62 878-8166-1436","YES",1969,4.5,"https://search.google.com/local/reviews?placeid=ChIJpU7wmd0Zby4RWGGppkUYQ-c&q=warung+dekat+telaga+remis&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=16664189733628895576",-6.8865542,108.49804019999999,"","","Kamis:[10.00-21.00], Jumat:[10.00-21.00], Sabtu:[10.00-21.00], Minggu:[10.00-21.00], Senin:[10.00-21.00], Selasa:[10.00-21.00], Rabu:[10.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipOB81fITvv48wSmjn_EyTAN6Uubkn3xSLs-3N5e=w92-h92-k-no","16664189733628895576","ChIJpU7wmd0Zby4RWGGppkUYQ-c"
"Pemancingan Talaga Cipayung","Jl. Cirea-Pasawahan, Paniis, Kec. Pasawahan, Kabupaten Kuningan, Jawa Barat 45559","Jl. Cirea-Pasawahan","Paniis","Restoran Ikan Bakar","0813-1200-7297","0813-1200-7297, +62 813-1200-7297","YES",230,4.3,"https://search.google.com/local/reviews?placeid=ChIJV3R66TMfby4R8iO21sQaS1o&q=warung+dekat+telaga+remis&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=6506323519384986610",-6.809103599999999,108.45841349999999,"","","Kamis:[09.00-17.00], Jumat:[Tutup], Sabtu:[09.00-17.00], Minggu:[09.00-17.00], Senin:[09.00-17.00], Selasa:[09.00-17.00], Rabu:[09.00-17.00]","https://lh5.googleusercontent.com/p/AF1QipMJ1a3-ohFe6buu5T1XpUHMc7ZsiN7MkPsrSQbR=w122-h92-k-no","6506323519384986610","ChIJV3R66TMfby4R8iO21sQaS1o"
"RM. Lesehan Dangdeur","Jl. Raya Cilimus, Randobawailir, Kec. Mandirancan, Kabupaten Kuningan, Jawa Barat 45558","Jl. Raya Cilimus","Randobawailir","Rumah Makan,Restoran","0821-1605-5009","0821-1605-5009, +62 821-1605-5009","YES",164,4.2,"https://search.google.com/local/reviews?placeid=ChIJGw3FxSYZby4Ro5tm_2DE8Ng&q=warung+dekat+telaga+remis&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=15632210227483810723",-6.8269278,108.47905949999999,"https://lesehan-dangdeur.business.site/?utm_source=gmb&utm_medium=referral","lesehan-dangdeur.business.site","Kamis:[08.00-17.00], Jumat:[08.00-17.00], Sabtu:[08.00-17.00], Minggu:[08.00-17.00], Senin:[08.00-17.00], Selasa:[08.00-17.00], Rabu:[08.00-17.00]","https://lh5.googleusercontent.com/p/AF1QipNJ3WzNOrt36zHVfYcQfJOT7gXcdG0At2z7-20O=w80-h106-k-no","15632210227483810723","ChIJGw3FxSYZby4Ro5tm_2DE8Ng"
"Rumah Makan & Ikan Bakar KAYOL","Blok 3 Cipicung Ds, Cikalahang, Kec. Dukupuntang, Kabupaten Cirebon, Jawa Barat 45559","Blok 3 Cipicung Ds","Cikalahang","Restoran Ikan Bakar","0838-7600-7755","0838-7600-7755, +62 838-7600-7755","NO",22,4.4,"https://search.google.com/local/reviews?placeid=ChIJzdcKbyohby4RBCRdn9KfOoE&q=warung+dekat+telaga+remis&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=9311930906507551748",-6.7834411,108.4179592,"","","Kamis:[08.00-22.00], Jumat:[08.00-22.00], Sabtu:[08.00-22.00], Minggu:[08.00-22.00], Senin:[08.00-22.00], Selasa:[08.00-22.00], Rabu:[08.00-22.00]","https://lh5.googleusercontent.com/p/AF1QipPXPgi472mfOUaCv-Qpe70lsi4G99VkM7VYqBPw=w163-h92-k-no","9311930906507551748","ChIJzdcKbyohby4RBCRdn9KfOoE"
