"Name","Fulladdress","Street","Municipality","Categories","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening hours","Featured image","Cid","Place Id"
"Warung Cinta","Area Sawah, Tlahap, Kec. Kledung, Kabupaten Temanggung, Jawa Tengah","Area Sawah, Tlahap","Kec. Kledung","Restoran","","","NO","","","","https://www.google.com/maps?cid=11414404604653032624",-7.3177292,110.0236568,"","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FRYF860qp-8EiCa7gK_4uw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=13.161974&pitch=0&thumbfov=100","11414404604653032624","ChIJo1-1BfV1cC4RsFTtBoMcaJ4"
"Warung Makan ""Mbak Win""","Kalianggrung, Tlahap, Kec. Kledung, Kabupaten Temanggung, Jawa Tengah","Kalianggrung, Tlahap","Kec. Kledung","Restoran","","","NO","","","","https://www.google.com/maps?cid=3604854500268330307",-7.3349357,110.0374877,"","","","https://lh5.googleusercontent.com/p/AF1QipP6goS6RnLEKwvtOMmZklprZDjmZEhaWDKVTJiy=w80-h106-k-no","3604854500268330307","ChIJicpzIgyeei4RQ012kxEEBzI"
"Warung Transit Pendaki Liza","Jl. Raya Parakan - Wonosobo No.69, Garung, Reco, Kec. Kertek, Kabupaten Wonosobo, Jawa Tengah 56371","Jl. Raya Parakan - Wonosobo No.69","Garung, Reco","Restoran","0856-4005-0118","0856-4005-0118, +62 856-4005-0118","NO",5,4.4,"https://search.google.com/local/reviews?placeid=ChIJpXRtPGmeei4R0-SuTftQy7I&q=warung+dekat+telaga+warna&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=12883480199293756627",-7.347013199999999,110.0260701,"","","Kamis:[07.00-17.00], Jumat:[07.00-17.00], Sabtu:[07.00-17.00], Minggu:[Tutup], Senin:[07.00-17.00], Selasa:[07.00-17.00], Rabu:[07.00-17.00]","https://lh5.googleusercontent.com/p/AF1QipO5Cfp5hjanq2zKMysei7L24eIiQZz61e9v59iM=w80-h106-k-no","12883480199293756627","ChIJpXRtPGmeei4R0-SuTftQy7I"
"Warung Nasi Lesehan","Jl. Campur Salam No.7, Sigaplok, Kledung, Kec. Kledung, Kabupaten Temanggung, Jawa Tengah 56264","Jl. Campur Salam No.7","Sigaplok, Kledung","Warung nasi","","","NO","","","","https://www.google.com/maps?cid=18282456864569695586",-7.340109099999999,110.03229639999999,"","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gpJs5lDoFeeJxJSQaANiow&cb_client=search.gws-prod.gps&w=80&h=92&yaw=5.988323&pitch=0&thumbfov=100","18282456864569695586","ChIJ4csLLFKfei4RYh0UWqdVuP0"
"Warung Makan Eka Baru","M28P+3W4, Jl. Raya Parakan - Wonosobo, Kalianggrung, Tlahap, Kec. Kledung, Kabupaten Temanggung, Jawa Tengah","M28P+3W4","Jl. Raya Parakan - Wonosobo","Restoran","","","NO",1,5,"https://search.google.com/local/reviews?placeid=ChIJaabP4Lx5cC4R8IIPQOHVCWc&q=warung+dekat+telaga+warna&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=7424700624116089584",-7.3348602,110.0373171,"","","Kamis:[07.00-21.00], Jumat:[07.00-21.00], Sabtu:[07.00-21.00], Minggu:[07.00-21.00], Senin:[07.00-21.00], Selasa:[07.00-21.00], Rabu:[07.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipPqn9phS4AptkIGsSLMA6VyVLLTdMbumtxOH8UO=w80-h106-k-no","7424700624116089584","ChIJaabP4Lx5cC4R8IIPQOHVCWc"
"Warung Bakso & Mie Ayam Om Edie","Garung, Butuh, Kec. Kalikajar, Kabupaten Wonosobo, Jawa Tengah","Garung, Butuh","Kec. Kalikajar","Restoran,Restoran Bakso,Restoran Mie","","","NO","","","","https://www.google.com/maps?cid=7251286690444247893",-7.3470775999999995,110.0260541,"","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=W792hv8SXQ7DbcwePqshZQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=357.77283&pitch=0&thumbfov=100","7251286690444247893","ChIJiSCQO2meei4RVYNydNO-oWQ"
"Warung makan bu Anita","M25M+Q3F, Sigaplok, Kledung, Kec. Kledung, Kabupaten Temanggung, Jawa Tengah","M25M+Q3F","Sigaplok, Kledung","Kedai Sarapan & Makan Siang","0858-7769-6515","0858-7769-6515, +62 858-7769-6515","NO","","","","https://www.google.com/maps?cid=2630362305368701667",-7.340560099999999,110.0326788,"","","","https://lh5.googleusercontent.com/p/AF1QipOgWbVH1qoJsBXcaFZG4X6kv_2fo4L4ACYTe9j5=w80-h106-k-no","2630362305368701667","ChIJg9LgNxafei4R4zoUmpTsgCQ"
"Warung Makan & Kopi Suryatji Kledung","Jl. Raya Parakan - Wonosobo, Kalianggrung, Tlahap, Kec. Kledung, Kabupaten Temanggung, Jawa Tengah 56264","Jl. Raya Parakan - Wonosobo","Kalianggrung, Tlahap","Restoran","0812-2988-8033","0812-2988-8033, +62 812-2988-8033","YES",404,4.4,"https://search.google.com/local/reviews?placeid=ChIJV1kxSQyeei4RO66NMafo0Lk&q=warung+dekat+telaga+warna&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=13389457496961035835",-7.3362728,110.03670199999999,"","","Kamis:[08.00-21.00], Jumat:[08.00-21.00], Sabtu:[08.00-21.00], Minggu:[08.00-21.00], Senin:[08.00-21.00], Selasa:[08.00-21.00], Rabu:[08.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipO2qVP6dv-xH25lkEhB5_8O4IR8iX7c6Cn0OKAc=w163-h92-k-no","13389457496961035835","ChIJV1kxSQyeei4RO66NMafo0Lk"
"Waroeng Djoglo","J2X6+C76, Kapencar, Kec. Kertek, Kabupaten Wonosobo, Jawa Tengah 56371","J2X6+C76","Kapencar","Restoran Indonesia","0812-2915-8917","0812-2915-8917, +62 812-2915-8917","NO",2466,4.4,"https://search.google.com/local/reviews?placeid=ChIJR9t6tlqeei4RaPjBvJBGmoY&q=warung+dekat+telaga+warna&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=9699142334951848040",-7.351450499999999,110.0106507,"","","Kamis:[07.00-21.00], Jumat:[07.00-21.00], Sabtu:[07.00-21.00], Minggu:[07.00-21.00], Senin:[07.00-21.00], Selasa:[07.00-21.00], Rabu:[07.00-21.00]","https://lh5.googleusercontent.com/p/AF1QipO-ZfYNjO-qaQ___XhZYDi9Ptkbvq_tU_VhnZYe=w80-h106-k-no","9699142334951848040","ChIJR9t6tlqeei4RaPjBvJBGmoY"
"Warung Kupat Tahu & Soto Mbak Mis","Jl. Raya Parakan - Wonosobo No.69, Yososari, Reco, Kec. Kertek, Kabupaten Wonosobo, Jawa Tengah 56371","Jl. Raya Parakan - Wonosobo No.69","Yososari, Reco","Restoran Jawa,Rumah Makan,Restoran soto","0853-2607-5541","0853-2607-5541, +62 853-2607-5541","NO",7,4,"https://search.google.com/local/reviews?placeid=ChIJQUJIrW6eei4RRYIcfN_xbKc&q=warung+dekat+telaga+warna&authuser=0&hl=in&gl=ID","https://www.google.com/maps?cid=12064283443980960325",-7.345964899999999,110.0273321,"","","Kamis:[10.00-20.00], Jumat:[10.00-20.00], Sabtu:[10.00-20.00], Minggu:[10.00-20.00], Senin:[10.00-20.00], Selasa:[10.00-20.00], Rabu:[10.00-20.00]","https://lh5.googleusercontent.com/p/AF1QipMnhtDGISrKkAxM2yaaVOpEXrPNmuLYgOsDIPYN=w80-h106-k-no","12064283443980960325","ChIJQUJIrW6eei4RRYIcfN_xbKc"
